<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
COOKIEUSDTSWAP,1440,20250225,030000,0.1794,0.1951,0.1669,0.1864,1687415.59
COOKIEUSDTSWAP,1440,20250226,030000,0.1865,0.2248,0.1789,0.2143,1342749.27
COOKIEUSDTSWAP,1440,20250227,030000,0.2143,0.2499,0.2082,0.2188,2369532.67
COOKIEUSDTSWAP,1440,20250228,030000,0.2188,0.2405,0.2039,0.2327,1314592.63
COOKIEUSDTSWAP,1440,20250301,030000,0.2328,0.2347,0.202,0.209,624711.82
COOKIEUSDTSWAP,1440,20250302,030000,0.209,0.2337,0.2044,0.2289,849407.14
COOKIEUSDTSWAP,1440,20250303,030000,0.2289,0.2314,0.184,0.1867,785852.61
COOKIEUSDTSWAP,1440,20250304,030000,0.1866,0.1901,0.1615,0.1771,754204.17
COOKIEUSDTSWAP,1440,20250305,030000,0.1772,0.182,0.1686,0.1783,723718.47
COOKIEUSDTSWAP,1440,20250306,030000,0.1783,0.195,0.1739,0.1859,650647.55
COOKIEUSDTSWAP,1440,20250307,030000,0.1859,0.1946,0.1764,0.1785,758326.81
COOKIEUSDTSWAP,1440,20250308,030000,0.1786,0.1824,0.1622,0.1667,347937.98
COOKIEUSDTSWAP,1440,20250309,030000,0.1669,0.1706,0.1528,0.1557,361371.21
COOKIEUSDTSWAP,1440,20250310,030000,0.1558,0.1862,0.1544,0.1589,882962.22
COOKIEUSDTSWAP,1440,20250311,030000,0.159,0.199,0.1431,0.1872,1418852.08
COOKIEUSDTSWAP,1440,20250312,030000,0.1873,0.1907,0.1562,0.1655,633883.51
COOKIEUSDTSWAP,1440,20250313,030000,0.1655,0.1659,0.1424,0.1502,496036.43
COOKIEUSDTSWAP,1440,20250314,030000,0.1503,0.1554,0.1461,0.1466,224726.16
COOKIEUSDTSWAP,1440,20250315,030000,0.1466,0.1581,0.1445,0.1529,231890.41
COOKIEUSDTSWAP,1440,20250316,030000,0.1529,0.1585,0.1412,0.1437,429884.31
COOKIEUSDTSWAP,1440,20250317,030000,0.1438,0.1559,0.1436,0.149,332921.88
COOKIEUSDTSWAP,1440,20250318,030000,0.149,0.1494,0.1246,0.1331,627023.29
COOKIEUSDTSWAP,1440,20250319,030000,0.1331,0.145,0.1292,0.1423,401518.91
COOKIEUSDTSWAP,1440,20250320,030000,0.1423,0.1446,0.1316,0.1358,270689.75
COOKIEUSDTSWAP,1440,20250321,030000,0.1358,0.1359,0.1243,0.128,333545.17
COOKIEUSDTSWAP,1440,20250322,030000,0.128,0.1339,0.1274,0.131,149832.58
COOKIEUSDTSWAP,1440,20250323,030000,0.131,0.1337,0.1236,0.1282,193686.91
COOKIEUSDTSWAP,1440,20250324,030000,0.1282,0.1413,0.1255,0.1364,208454.23
COOKIEUSDTSWAP,1440,20250325,030000,0.1364,0.14,0.1328,0.1393,113215.82
