<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
COOKIEUSDTSWAP,60,20250531,190000,0.22222,0.22867,0.22054,0.22613,83138.95
COOKIEUSDTSWAP,60,20250531,200000,0.22614,0.22851,0.22269,0.22323,56880.77
COOKIEUSDTSWAP,60,20250531,210000,0.22321,0.22979,0.22257,0.2254,35632.35
COOKIEUSDTSWAP,60,20250531,220000,0.22541,0.2271,0.22378,0.22556,30570.33
COOKIEUSDTSWAP,60,20250531,230000,0.22554,0.22644,0.22301,0.22317,38493.81
COOKIEUSDTSWAP,60,20250601,000000,0.22317,0.22578,0.22225,0.22336,35017.6
COOKIEUSDTSWAP,60,20250601,010000,0.22337,0.22462,0.22102,0.22264,31875.79
COOKIEUSDTSWAP,60,20250601,020000,0.2226,0.22515,0.22101,0.22262,36984.54
COOKIEUSDTSWAP,60,20250601,030000,0.22264,0.22289,0.21613,0.2209,108506.94
COOKIEUSDTSWAP,60,20250601,040000,0.22099,0.22119,0.2144,0.21501,63316.95
COOKIEUSDTSWAP,60,20250601,050000,0.21496,0.21719,0.2116,0.21612,64566.89
COOKIEUSDTSWAP,60,20250601,060000,0.21616,0.21637,0.21049,0.21058,54444.87
COOKIEUSDTSWAP,60,20250601,070000,0.2106,0.21736,0.20976,0.21658,57026.69
COOKIEUSDTSWAP,60,20250601,080000,0.21659,0.21828,0.21496,0.21721,41668.88
COOKIEUSDTSWAP,60,20250601,090000,0.2172,0.21759,0.21426,0.21483,35421.63
COOKIEUSDTSWAP,60,20250601,100000,0.21485,0.21753,0.21342,0.21628,24996.72
COOKIEUSDTSWAP,60,20250601,110000,0.21626,0.21743,0.21428,0.21468,19425.34
COOKIEUSDTSWAP,60,20250601,120000,0.21476,0.21597,0.21017,0.21209,39173.3
COOKIEUSDTSWAP,60,20250601,130000,0.21202,0.21576,0.21191,0.21504,22524.37
COOKIEUSDTSWAP,60,20250601,140000,0.21506,0.21927,0.21321,0.2192,28335.23
COOKIEUSDTSWAP,60,20250601,150000,0.21916,0.21979,0.2144,0.21542,49103.67
COOKIEUSDTSWAP,60,20250601,160000,0.2154,0.21984,0.21456,0.21796,30323.8
COOKIEUSDTSWAP,60,20250601,170000,0.21794,0.22675,0.21772,0.2235,79711.77
COOKIEUSDTSWAP,60,20250601,180000,0.2235,0.22757,0.22297,0.22454,46285.51
COOKIEUSDTSWAP,60,20250601,190000,0.22448,0.22809,0.22329,0.2257,50958.76
COOKIEUSDTSWAP,60,20250601,200000,0.2257,0.23236,0.22555,0.23195,63688.48
COOKIEUSDTSWAP,60,20250601,210000,0.23193,0.23289,0.22623,0.23015,65272.52
COOKIEUSDTSWAP,60,20250601,220000,0.23012,0.23448,0.23002,0.23431,46724.26
