<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
COOKIEUSDTSWAP,3,20250604,172700,0.22576,0.22594,0.22559,0.22592,1860.71
COOKIEUSDTSWAP,3,20250604,173000,0.22591,0.22635,0.22588,0.22628,1960.9
COOKIEUSDTSWAP,3,20250604,173300,0.2263,0.22704,0.22565,0.2258,3096.69
COOKIEUSDTSWAP,3,20250604,173600,0.22581,0.22581,0.22493,0.22493,786.04
COOKIEUSDTSWAP,3,20250604,173900,0.22492,0.22532,0.22484,0.22506,878.31
COOKIEUSDTSWAP,3,20250604,174200,0.22505,0.22515,0.22474,0.22496,680.78
COOKIEUSDTSWAP,3,20250604,174500,0.225,0.22536,0.22477,0.22536,1165.95
COOKIEUSDTSWAP,3,20250604,174800,0.22538,0.22555,0.22469,0.22484,2304.29
COOKIEUSDTSWAP,3,20250604,175100,0.22485,0.22501,0.22437,0.22498,1285.24
COOKIEUSDTSWAP,3,20250604,175400,0.225,0.22644,0.225,0.22638,1407.83
COOKIEUSDTSWAP,3,20250604,175700,0.22642,0.22737,0.22636,0.2272,3841.89
COOKIEUSDTSWAP,3,20250604,180000,0.22721,0.2274,0.22596,0.22596,3043.93
COOKIEUSDTSWAP,3,20250604,180300,0.22597,0.22638,0.2257,0.2263,1840.53
COOKIEUSDTSWAP,3,20250604,180600,0.22632,0.22746,0.22628,0.22671,3655.75
COOKIEUSDTSWAP,3,20250604,180900,0.22672,0.22731,0.22662,0.22711,1323.36
COOKIEUSDTSWAP,3,20250604,181200,0.22709,0.22712,0.22663,0.22677,1162.7
COOKIEUSDTSWAP,3,20250604,181500,0.22677,0.22841,0.22676,0.22787,3645.78
COOKIEUSDTSWAP,3,20250604,181800,0.22782,0.22897,0.22773,0.22775,6205.36
COOKIEUSDTSWAP,3,20250604,182100,0.22781,0.22839,0.22748,0.22824,2653.53
COOKIEUSDTSWAP,3,20250604,182400,0.22825,0.22909,0.22805,0.22815,4298.63
COOKIEUSDTSWAP,3,20250604,182700,0.22812,0.22876,0.22768,0.22768,2690.9
COOKIEUSDTSWAP,3,20250604,183000,0.22768,0.22768,0.22697,0.22757,3150.41
COOKIEUSDTSWAP,3,20250604,183300,0.22752,0.22808,0.22734,0.22747,2182.14
COOKIEUSDTSWAP,3,20250604,183600,0.22745,0.22887,0.22745,0.22876,5489.73
COOKIEUSDTSWAP,3,20250604,183900,0.22869,0.22929,0.22833,0.22929,3132.82
COOKIEUSDTSWAP,3,20250604,184200,0.22922,0.22958,0.22857,0.22876,3472.22
COOKIEUSDTSWAP,3,20250604,184500,0.22879,0.22891,0.22794,0.22794,1186.05
COOKIEUSDTSWAP,3,20250604,184800,0.22793,0.22808,0.22721,0.22721,1495.22
COOKIEUSDTSWAP,3,20250604,185100,0.22721,0.22787,0.22695,0.2275,1550.03
COOKIEUSDTSWAP,3,20250604,185400,0.22749,0.22817,0.22747,0.2279,1539.88
COOKIEUSDTSWAP,3,20250604,185700,0.22795,0.22795,0.22707,0.22723,1834.77
COOKIEUSDTSWAP,3,20250604,190000,0.22727,0.22754,0.22685,0.22716,829.54
COOKIEUSDTSWAP,3,20250604,190300,0.22718,0.22797,0.22705,0.2274,1552.78
COOKIEUSDTSWAP,3,20250604,190600,0.2274,0.22762,0.22684,0.22695,1884.69
COOKIEUSDTSWAP,3,20250604,190900,0.22693,0.22787,0.22692,0.22778,1021.64
COOKIEUSDTSWAP,3,20250604,191200,0.22777,0.2284,0.22777,0.22835,1285.53
COOKIEUSDTSWAP,3,20250604,191500,0.22832,0.22832,0.22707,0.22713,2985.06
COOKIEUSDTSWAP,3,20250604,191800,0.22714,0.22731,0.22642,0.22731,2168.28
COOKIEUSDTSWAP,3,20250604,192100,0.22731,0.22751,0.22659,0.22699,880.37
COOKIEUSDTSWAP,3,20250604,192400,0.22698,0.22724,0.22683,0.22702,1010.51
COOKIEUSDTSWAP,3,20250604,192700,0.22703,0.22735,0.22691,0.22726,823.21
COOKIEUSDTSWAP,3,20250604,193000,0.22724,0.22731,0.22679,0.2273,945.77
COOKIEUSDTSWAP,3,20250604,193300,0.22731,0.22815,0.22731,0.22806,1265.66
COOKIEUSDTSWAP,3,20250604,193600,0.22801,0.22804,0.22724,0.22754,1096.73
COOKIEUSDTSWAP,3,20250604,193900,0.22749,0.22798,0.2272,0.2272,800.54
COOKIEUSDTSWAP,3,20250604,194200,0.22717,0.22727,0.22673,0.22684,403.68
COOKIEUSDTSWAP,3,20250604,194500,0.22686,0.22691,0.22593,0.22643,1716.65
COOKIEUSDTSWAP,3,20250604,194800,0.22649,0.22667,0.22621,0.2265,645.27
COOKIEUSDTSWAP,3,20250604,195100,0.22652,0.22652,0.22613,0.22623,315.09
COOKIEUSDTSWAP,3,20250604,195400,0.22624,0.2267,0.22624,0.22635,974.42
COOKIEUSDTSWAP,3,20250604,195700,0.22635,0.22635,0.22599,0.22608,653.93
COOKIEUSDTSWAP,3,20250604,200000,0.22607,0.22616,0.22501,0.22513,1458.38
COOKIEUSDTSWAP,3,20250604,200300,0.22513,0.22565,0.22511,0.22565,1214.13
COOKIEUSDTSWAP,3,20250604,200600,0.22567,0.22567,0.22483,0.22506,1028.15
COOKIEUSDTSWAP,3,20250604,200900,0.22503,0.22503,0.22417,0.22437,2351.79
COOKIEUSDTSWAP,3,20250604,201200,0.22439,0.22472,0.2242,0.22452,1152.47
COOKIEUSDTSWAP,3,20250604,201500,0.22446,0.2245,0.22378,0.22435,2492.85
COOKIEUSDTSWAP,3,20250604,201800,0.22436,0.22468,0.22436,0.22461,2080.49
COOKIEUSDTSWAP,3,20250604,202100,0.22464,0.2248,0.22407,0.22448,329.32
COOKIEUSDTSWAP,3,20250604,202400,0.22452,0.2248,0.22387,0.22408,583.08
COOKIEUSDTSWAP,3,20250604,202700,0.22411,0.22421,0.22389,0.22403,357.9
COOKIEUSDTSWAP,3,20250604,203000,0.224,0.224,0.22289,0.22314,3492.16
