<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CROUSDTSWAP,1440,20250225,030000,0.07742,0.0799,0.07174,0.07658,623827.68
CROUSDTSWAP,1440,20250226,030000,0.0766,0.07711,0.07148,0.07352,309130.41
CROUSDTSWAP,1440,20250227,030000,0.07355,0.07622,0.07254,0.07423,162474.89
CROUSDTSWAP,1440,20250228,030000,0.0742,0.07425,0.06819,0.07364,345503.4
CROUSDTSWAP,1440,20250301,030000,0.07363,0.07494,0.07149,0.07381,172858.43
CROUSDTSWAP,1440,20250302,030000,0.07379,0.08347,0.07251,0.0825,378123.28
CROUSDTSWAP,1440,20250303,030000,0.08253,0.10262,0.07488,0.07678,3872156.07
CROUSDTSWAP,1440,20250304,030000,0.07677,0.0768,0.06828,0.07372,727277.83
CROUSDTSWAP,1440,20250305,030000,0.07371,0.08061,0.0717,0.08026,712322.24
CROUSDTSWAP,1440,20250306,030000,0.08024,0.09713,0.0789,0.08871,4665561.14
CROUSDTSWAP,1440,20250307,030000,0.08874,0.09319,0.08206,0.083,2037512.29
CROUSDTSWAP,1440,20250308,030000,0.08297,0.08713,0.08067,0.08486,729262.49
CROUSDTSWAP,1440,20250309,030000,0.08487,0.09327,0.07982,0.08073,1847230.35
CROUSDTSWAP,1440,20250310,030000,0.08074,0.08497,0.07592,0.07605,723920.98
CROUSDTSWAP,1440,20250311,030000,0.07608,0.08378,0.07251,0.08031,862879.43
CROUSDTSWAP,1440,20250312,030000,0.08029,0.08468,0.07763,0.08427,461646.7
CROUSDTSWAP,1440,20250313,030000,0.08427,0.08495,0.07898,0.08115,393502.64
CROUSDTSWAP,1440,20250314,030000,0.08112,0.08425,0.08048,0.08244,307090.79
CROUSDTSWAP,1440,20250315,030000,0.08244,0.08543,0.08232,0.08405,237879.55
CROUSDTSWAP,1440,20250316,030000,0.08403,0.08406,0.07855,0.08284,388340.53
CROUSDTSWAP,1440,20250317,030000,0.0829,0.09002,0.08246,0.08532,745149.8
CROUSDTSWAP,1440,20250318,030000,0.08532,0.08539,0.07712,0.07885,361481.64
CROUSDTSWAP,1440,20250319,030000,0.07879,0.08126,0.07688,0.08086,299628.28
CROUSDTSWAP,1440,20250320,030000,0.08083,0.08482,0.07803,0.0799,400379.12
CROUSDTSWAP,1440,20250321,030000,0.07989,0.08005,0.07692,0.07826,188695.23
