<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CROUSDTSWAP,60,20250531,190000,0.1065,0.10785,0.10528,0.10673,124207.54
CROUSDTSWAP,60,20250531,200000,0.10676,0.10712,0.10525,0.10667,63628.0
CROUSDTSWAP,60,20250531,210000,0.10667,0.1086,0.10657,0.10768,87703.54
CROUSDTSWAP,60,20250531,220000,0.10767,0.10809,0.10703,0.10744,30632.33
CROUSDTSWAP,60,20250531,230000,0.10745,0.10756,0.10644,0.10723,29594.09
CROUSDTSWAP,60,20250601,000000,0.10725,0.10742,0.10631,0.10699,24442.6
CROUSDTSWAP,60,20250601,010000,0.10699,0.10704,0.10576,0.10614,30073.07
CROUSDTSWAP,60,20250601,020000,0.10613,0.1067,0.10495,0.10551,33805.27
CROUSDTSWAP,60,20250601,030000,0.10551,0.10874,0.10245,0.10263,193536.47
CROUSDTSWAP,60,20250601,040000,0.10264,0.10323,0.10131,0.10179,88663.92
CROUSDTSWAP,60,20250601,050000,0.10178,0.10309,0.1017,0.10248,71237.76
CROUSDTSWAP,60,20250601,060000,0.10247,0.1032,0.10185,0.10271,42180.75
CROUSDTSWAP,60,20250601,070000,0.1027,0.10326,0.1023,0.10296,27681.86
CROUSDTSWAP,60,20250601,080000,0.10294,0.1032,0.10267,0.10289,22035.23
CROUSDTSWAP,60,20250601,090000,0.10288,0.10306,0.10225,0.10292,49568.1
CROUSDTSWAP,60,20250601,100000,0.10292,0.10312,0.10248,0.1027,25085.51
CROUSDTSWAP,60,20250601,110000,0.10268,0.10332,0.10219,0.1026,28689.0
CROUSDTSWAP,60,20250601,120000,0.10261,0.10289,0.10184,0.10286,24376.24
CROUSDTSWAP,60,20250601,130000,0.10288,0.10306,0.10226,0.1027,23355.71
CROUSDTSWAP,60,20250601,140000,0.10268,0.10282,0.10228,0.10246,23313.8
CROUSDTSWAP,60,20250601,150000,0.10247,0.10269,0.10163,0.10179,29116.95
CROUSDTSWAP,60,20250601,160000,0.10179,0.1032,0.10172,0.10202,30420.96
CROUSDTSWAP,60,20250601,170000,0.10203,0.1026,0.1019,0.10221,32500.13
CROUSDTSWAP,60,20250601,180000,0.1022,0.10526,0.10189,0.10484,55247.07
CROUSDTSWAP,60,20250601,190000,0.10485,0.10584,0.10332,0.10332,79054.17
CROUSDTSWAP,60,20250601,200000,0.10335,0.10543,0.10334,0.10512,37224.91
CROUSDTSWAP,60,20250601,210000,0.10512,0.10518,0.10349,0.1043,30562.06
CROUSDTSWAP,60,20250601,220000,0.10433,0.10435,0.10354,0.10396,14620.18
CROUSDTSWAP,60,20250601,230000,0.10398,0.10399,0.10286,0.10326,23838.66
CROUSDTSWAP,60,20250602,000000,0.10328,0.10356,0.10285,0.10355,16316.38
CROUSDTSWAP,60,20250602,010000,0.10351,0.10532,0.10348,0.10529,27554.88
CROUSDTSWAP,60,20250602,020000,0.10528,0.10675,0.10527,0.10584,75457.86
CROUSDTSWAP,60,20250602,030000,0.1058,0.1058,0.10456,0.10475,20784.3
CROUSDTSWAP,60,20250602,040000,0.10475,0.1054,0.10406,0.10412,28792.21
CROUSDTSWAP,60,20250602,050000,0.10414,0.10426,0.10367,0.10376,9946.52
CROUSDTSWAP,60,20250602,060000,0.1038,0.10506,0.10346,0.10484,21200.32
CROUSDTSWAP,60,20250602,070000,0.10485,0.10612,0.10469,0.10514,34292.35
CROUSDTSWAP,60,20250602,080000,0.10514,0.10562,0.10422,0.10492,24592.98
CROUSDTSWAP,60,20250602,090000,0.1049,0.10499,0.10402,0.10411,26394.94
CROUSDTSWAP,60,20250602,100000,0.10411,0.10526,0.10406,0.10425,20862.81
CROUSDTSWAP,60,20250602,110000,0.10422,0.10446,0.10373,0.10417,21451.6
CROUSDTSWAP,60,20250602,120000,0.1042,0.1044,0.10365,0.1043,18072.24
CROUSDTSWAP,60,20250602,130000,0.10429,0.10482,0.10382,0.1039,13737.91
CROUSDTSWAP,60,20250602,140000,0.10392,0.10445,0.10377,0.10394,11846.05
CROUSDTSWAP,60,20250602,150000,0.10391,0.10418,0.10341,0.10386,19945.63
CROUSDTSWAP,60,20250602,160000,0.10387,0.10489,0.10351,0.10365,29082.77
CROUSDTSWAP,60,20250602,170000,0.10364,0.10418,0.10342,0.10374,23055.55
CROUSDTSWAP,60,20250602,180000,0.10375,0.10408,0.10349,0.10382,11845.97
CROUSDTSWAP,60,20250602,190000,0.10383,0.10385,0.10274,0.10308,13156.3
CROUSDTSWAP,60,20250602,200000,0.10308,0.10326,0.10221,0.10259,22699.14
CROUSDTSWAP,60,20250602,210000,0.10257,0.10287,0.10197,0.10199,11680.67
CROUSDTSWAP,60,20250602,220000,0.102,0.1022,0.1011,0.10203,21032.6
CROUSDTSWAP,60,20250602,230000,0.10204,0.10223,0.10131,0.10154,15498.24
CROUSDTSWAP,60,20250603,000000,0.10155,0.10238,0.10149,0.10236,11537.1
CROUSDTSWAP,60,20250603,010000,0.10233,0.10296,0.10228,0.10279,11514.99
CROUSDTSWAP,60,20250603,020000,0.1028,0.10358,0.10276,0.10321,12632.37
CROUSDTSWAP,60,20250603,030000,0.1032,0.10361,0.10292,0.1032,18976.73
CROUSDTSWAP,60,20250603,040000,0.10318,0.10385,0.10313,0.10378,20801.09
CROUSDTSWAP,60,20250603,050000,0.1038,0.10383,0.10322,0.10326,15626.99
CROUSDTSWAP,60,20250603,060000,0.10326,0.10337,0.10284,0.10294,11964.43
