<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CROUSDTSWAP,3,20250604,172700,0.10156,0.10162,0.10153,0.10162,68.15
CROUSDTSWAP,3,20250604,173000,0.10162,0.10168,0.1016,0.10167,48.17
CROUSDTSWAP,3,20250604,173300,0.10167,0.10174,0.1016,0.10165,426.91
CROUSDTSWAP,3,20250604,173600,0.10163,0.10164,0.1016,0.1016,50.71
CROUSDTSWAP,3,20250604,173900,0.1016,0.10169,0.10158,0.10164,227.89
CROUSDTSWAP,3,20250604,174200,0.10166,0.10179,0.10164,0.10174,351.54
CROUSDTSWAP,3,20250604,174500,0.10174,0.10178,0.10166,0.10177,173.06
CROUSDTSWAP,3,20250604,174800,0.1018,0.10192,0.10175,0.1018,415.04
CROUSDTSWAP,3,20250604,175100,0.10174,0.10179,0.10171,0.10173,240.21
CROUSDTSWAP,3,20250604,175400,0.10173,0.10193,0.10173,0.1019,383.62
CROUSDTSWAP,3,20250604,175700,0.1019,0.102,0.10188,0.10198,229.99
CROUSDTSWAP,3,20250604,180000,0.10199,0.10199,0.10194,0.10199,138.3
CROUSDTSWAP,3,20250604,180300,0.10198,0.10199,0.10187,0.10189,825.63
CROUSDTSWAP,3,20250604,180600,0.10192,0.10213,0.10191,0.10192,789.17
CROUSDTSWAP,3,20250604,180900,0.10191,0.10205,0.10191,0.10203,179.87
CROUSDTSWAP,3,20250604,181200,0.10202,0.10202,0.10193,0.10194,1126.5
CROUSDTSWAP,3,20250604,181500,0.10195,0.10223,0.10194,0.10208,765.54
CROUSDTSWAP,3,20250604,181800,0.10206,0.10214,0.102,0.10201,444.37
CROUSDTSWAP,3,20250604,182100,0.102,0.10213,0.10191,0.102,377.6
CROUSDTSWAP,3,20250604,182400,0.10199,0.10216,0.10197,0.102,2676.83
CROUSDTSWAP,3,20250604,182700,0.10202,0.10225,0.10199,0.10215,1978.78
CROUSDTSWAP,3,20250604,183000,0.10214,0.10215,0.10194,0.10209,79.36
CROUSDTSWAP,3,20250604,183300,0.10207,0.10214,0.10184,0.10186,801.86
CROUSDTSWAP,3,20250604,183600,0.10188,0.10219,0.10186,0.10219,676.18
CROUSDTSWAP,3,20250604,183900,0.10216,0.10224,0.10198,0.10217,1373.13
CROUSDTSWAP,3,20250604,184200,0.10216,0.10217,0.10197,0.10204,1355.77
CROUSDTSWAP,3,20250604,184500,0.10203,0.10219,0.10197,0.10208,211.92
CROUSDTSWAP,3,20250604,184800,0.10209,0.10212,0.10179,0.10182,456.75
CROUSDTSWAP,3,20250604,185100,0.10185,0.10189,0.10167,0.10181,859.82
CROUSDTSWAP,3,20250604,185400,0.10178,0.10201,0.10178,0.10201,309.82
CROUSDTSWAP,3,20250604,185700,0.10199,0.10199,0.10171,0.1018,476.4
CROUSDTSWAP,3,20250604,190000,0.10178,0.10186,0.10174,0.1018,323.66
CROUSDTSWAP,3,20250604,190300,0.10179,0.10186,0.10172,0.10172,468.74
CROUSDTSWAP,3,20250604,190600,0.10174,0.10178,0.10162,0.10165,380.3
CROUSDTSWAP,3,20250604,190900,0.10166,0.1018,0.10161,0.1018,216.43
CROUSDTSWAP,3,20250604,191200,0.10182,0.10188,0.10178,0.10187,305.66
CROUSDTSWAP,3,20250604,191500,0.10184,0.10189,0.10167,0.10168,405.32
CROUSDTSWAP,3,20250604,191800,0.1017,0.10184,0.10164,0.10184,170.14
CROUSDTSWAP,3,20250604,192100,0.1018,0.10196,0.1018,0.10184,425.73
CROUSDTSWAP,3,20250604,192400,0.10182,0.10197,0.10181,0.10189,75.35
CROUSDTSWAP,3,20250604,192700,0.1019,0.10197,0.10188,0.10197,72.65
CROUSDTSWAP,3,20250604,193000,0.10197,0.1021,0.10194,0.1021,142.25
CROUSDTSWAP,3,20250604,193300,0.10209,0.1021,0.10204,0.1021,153.65
CROUSDTSWAP,3,20250604,193600,0.10209,0.1021,0.10204,0.1021,74.83
CROUSDTSWAP,3,20250604,193900,0.10211,0.10215,0.10205,0.10209,100.07
CROUSDTSWAP,3,20250604,194200,0.10207,0.10214,0.10207,0.10209,284.57
CROUSDTSWAP,3,20250604,194500,0.10209,0.10213,0.10186,0.10196,1277.96
CROUSDTSWAP,3,20250604,194800,0.10197,0.10204,0.10193,0.10204,108.19
CROUSDTSWAP,3,20250604,195100,0.10204,0.10208,0.10204,0.10205,17.14
CROUSDTSWAP,3,20250604,195400,0.10204,0.10206,0.102,0.10205,120.0
CROUSDTSWAP,3,20250604,195700,0.10203,0.10207,0.10202,0.10203,49.18
