<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CRVUSDTSWAP,1440,20250225,030000,0.4354,0.4703,0.403,0.4553,69934566.7
CRVUSDTSWAP,1440,20250226,030000,0.4554,0.4781,0.4454,0.4628,43763023.28
CRVUSDTSWAP,1440,20250227,030000,0.4628,0.4739,0.4435,0.4538,26651480.65
CRVUSDTSWAP,1440,20250228,030000,0.4539,0.4563,0.4171,0.4501,45611433.3
CRVUSDTSWAP,1440,20250301,030000,0.4502,0.456,0.4207,0.436,21060749.02
CRVUSDTSWAP,1440,20250302,030000,0.4361,0.5124,0.4204,0.5009,54664857.64
CRVUSDTSWAP,1440,20250303,030000,0.5009,0.5048,0.4044,0.4134,75486097.84
CRVUSDTSWAP,1440,20250304,030000,0.4134,0.4261,0.3679,0.4182,77776959.83
CRVUSDTSWAP,1440,20250305,030000,0.4181,0.4509,0.4148,0.437,35442344.11
CRVUSDTSWAP,1440,20250306,030000,0.4371,0.4519,0.4165,0.4197,27423123.8
CRVUSDTSWAP,1440,20250307,030000,0.4198,0.4572,0.4014,0.4286,48802451.91
CRVUSDTSWAP,1440,20250308,030000,0.4287,0.4381,0.4058,0.4272,26936020.1
CRVUSDTSWAP,1440,20250309,030000,0.4272,0.4331,0.3747,0.3768,39451093.8
CRVUSDTSWAP,1440,20250310,030000,0.3769,0.3964,0.3506,0.366,52867358.21
CRVUSDTSWAP,1440,20250311,030000,0.3661,0.4158,0.3468,0.4012,56318863.9
CRVUSDTSWAP,1440,20250312,030000,0.4012,0.4329,0.3907,0.4063,41582118.03
CRVUSDTSWAP,1440,20250313,030000,0.4064,0.4179,0.3775,0.394,35480844.25
CRVUSDTSWAP,1440,20250314,030000,0.3941,0.4183,0.392,0.4097,23314643.48
CRVUSDTSWAP,1440,20250315,030000,0.4097,0.4234,0.4069,0.4192,16079496.31
CRVUSDTSWAP,1440,20250316,030000,0.4192,0.441,0.4033,0.4112,35501807.8
CRVUSDTSWAP,1440,20250317,030000,0.4113,0.449,0.4111,0.433,34168397.07
CRVUSDTSWAP,1440,20250318,030000,0.4329,0.4531,0.4244,0.4501,29718503.61
CRVUSDTSWAP,1440,20250319,030000,0.45,0.4797,0.4392,0.4678,48018964.5
CRVUSDTSWAP,1440,20250320,030000,0.4677,0.472,0.4349,0.4402,30049053.85
CRVUSDTSWAP,1440,20250321,030000,0.4401,0.4455,0.4305,0.4394,20301986.84
CRVUSDTSWAP,1440,20250322,030000,0.4393,0.4982,0.4369,0.4914,36562652.58
CRVUSDTSWAP,1440,20250323,030000,0.4913,0.5187,0.4797,0.5032,50289798.15
CRVUSDTSWAP,1440,20250324,030000,0.5033,0.5295,0.4913,0.509,50051722.91
CRVUSDTSWAP,1440,20250325,030000,0.509,0.5308,0.4917,0.5016,43718409.56
CRVUSDTSWAP,1440,20250326,030000,0.5017,0.5718,0.4993,0.5491,86747525.68
CRVUSDTSWAP,1440,20250327,030000,0.549,0.6081,0.5464,0.5796,153697880.24
CRVUSDTSWAP,1440,20250328,030000,0.5797,0.5962,0.4885,0.5033,123065988.34
CRVUSDTSWAP,1440,20250329,030000,0.5033,0.5215,0.4704,0.4891,95841726.4
CRVUSDTSWAP,1440,20250330,030000,0.489,0.4976,0.4637,0.4686,58735905.41
CRVUSDTSWAP,1440,20250331,030000,0.4686,0.5049,0.4461,0.5023,83485454.54
CRVUSDTSWAP,1440,20250401,030000,0.5021,0.5496,0.4994,0.5388,104856538.53
CRVUSDTSWAP,1440,20250402,030000,0.5388,0.5596,0.4814,0.4906,130407352.92
CRVUSDTSWAP,1440,20250403,030000,0.4906,0.539,0.4843,0.5204,103812055.02
CRVUSDTSWAP,1440,20250404,030000,0.5204,0.5482,0.4886,0.5007,114184544.35
CRVUSDTSWAP,1440,20250405,030000,0.5007,0.5079,0.4699,0.4957,74118474.29
CRVUSDTSWAP,1440,20250406,030000,0.4957,0.4957,0.4139,0.4217,79561855.11
CRVUSDTSWAP,1440,20250407,030000,0.4216,0.4847,0.3955,0.4593,108282793.29
CRVUSDTSWAP,1440,20250408,030000,0.4593,0.4886,0.4448,0.4535,75361531.55
CRVUSDTSWAP,1440,20250409,030000,0.4535,0.5381,0.434,0.5217,98808330.12
CRVUSDTSWAP,1440,20250410,030000,0.5218,0.5642,0.4961,0.5587,80036529.38
CRVUSDTSWAP,1440,20250411,030000,0.5586,0.6341,0.5542,0.6069,189071661.87
CRVUSDTSWAP,1440,20250412,030000,0.6069,0.6536,0.5923,0.6242,125181298.73
CRVUSDTSWAP,1440,20250413,030000,0.6242,0.6403,0.583,0.5999,85790549.86
CRVUSDTSWAP,1440,20250414,030000,0.5999,0.626,0.5849,0.5871,75476512.08
CRVUSDTSWAP,1440,20250415,030000,0.5871,0.6106,0.5686,0.5842,61264429.24
CRVUSDTSWAP,1440,20250416,030000,0.5842,0.6658,0.5776,0.6307,114560262.9
CRVUSDTSWAP,1440,20250417,030000,0.6307,0.6401,0.5937,0.6013,72895488.61
CRVUSDTSWAP,1440,20250418,030000,0.6013,0.6079,0.5766,0.5959,51291564.66
CRVUSDTSWAP,1440,20250419,030000,0.5958,0.6274,0.5944,0.6126,48332361.29
CRVUSDTSWAP,1440,20250420,030000,0.6125,0.6206,0.5886,0.6002,42501629.19
CRVUSDTSWAP,1440,20250421,030000,0.6001,0.6394,0.5775,0.5889,70048059.93
CRVUSDTSWAP,1440,20250422,030000,0.5889,0.6997,0.5851,0.6871,101849554.21
CRVUSDTSWAP,1440,20250423,030000,0.6872,0.7065,0.6429,0.6546,85020634.83
CRVUSDTSWAP,1440,20250424,030000,0.6545,0.7078,0.6471,0.6802,91655755.23
CRVUSDTSWAP,1440,20250425,030000,0.6802,0.7043,0.6612,0.6758,72144517.86
CRVUSDTSWAP,1440,20250426,030000,0.6759,0.7088,0.6556,0.6692,59491836.63
