<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CRVUSDTSWAP,60,20250531,190000,0.6671,0.6745,0.6642,0.6687,1498427.35
CRVUSDTSWAP,60,20250531,200000,0.6687,0.6693,0.6608,0.6615,1246371.21
CRVUSDTSWAP,60,20250531,210000,0.6615,0.6688,0.661,0.6675,731390.12
CRVUSDTSWAP,60,20250531,220000,0.6675,0.6707,0.6641,0.6656,873370.35
CRVUSDTSWAP,60,20250531,230000,0.6656,0.6712,0.6629,0.6712,1102620.98
CRVUSDTSWAP,60,20250601,000000,0.6711,0.6746,0.6679,0.6716,1257870.25
CRVUSDTSWAP,60,20250601,010000,0.6717,0.6722,0.6646,0.6655,730348.14
CRVUSDTSWAP,60,20250601,020000,0.6655,0.6705,0.6643,0.6646,996190.94
CRVUSDTSWAP,60,20250601,030000,0.6646,0.6648,0.6577,0.6627,1245987.43
CRVUSDTSWAP,60,20250601,040000,0.6627,0.6668,0.6562,0.6588,1008001.82
CRVUSDTSWAP,60,20250601,050000,0.6588,0.6666,0.6545,0.6646,1493211.7
CRVUSDTSWAP,60,20250601,060000,0.6646,0.6692,0.6601,0.6664,1168505.04
CRVUSDTSWAP,60,20250601,070000,0.6663,0.674,0.6662,0.6724,1018188.35
CRVUSDTSWAP,60,20250601,080000,0.6724,0.6753,0.6677,0.67,919914.47
CRVUSDTSWAP,60,20250601,090000,0.6699,0.6699,0.6643,0.6648,593370.62
CRVUSDTSWAP,60,20250601,100000,0.6647,0.6656,0.661,0.6625,944280.8
CRVUSDTSWAP,60,20250601,110000,0.6625,0.6633,0.6583,0.6606,1333168.62
CRVUSDTSWAP,60,20250601,120000,0.6606,0.664,0.6473,0.6537,2175239.53
CRVUSDTSWAP,60,20250601,130000,0.6537,0.6573,0.6515,0.6559,1144828.08
CRVUSDTSWAP,60,20250601,140000,0.6558,0.6591,0.6526,0.6578,853450.25
CRVUSDTSWAP,60,20250601,150000,0.6577,0.6598,0.6492,0.6523,1102326.9
CRVUSDTSWAP,60,20250601,160000,0.6523,0.6587,0.651,0.6555,1477657.15
CRVUSDTSWAP,60,20250601,170000,0.6556,0.6677,0.6556,0.6629,2157816.93
CRVUSDTSWAP,60,20250601,180000,0.6629,0.6685,0.6611,0.6663,1289605.0
CRVUSDTSWAP,60,20250601,190000,0.6663,0.6808,0.6656,0.6768,3091564.04
CRVUSDTSWAP,60,20250601,200000,0.6769,0.6797,0.6743,0.6765,1786570.6
CRVUSDTSWAP,60,20250601,210000,0.6766,0.6767,0.6607,0.6682,2353393.42
CRVUSDTSWAP,60,20250601,220000,0.6683,0.6739,0.6677,0.6735,891031.69
CRVUSDTSWAP,60,20250601,230000,0.6735,0.6784,0.6694,0.6736,1042979.41
CRVUSDTSWAP,60,20250602,000000,0.6736,0.683,0.6727,0.6792,690437.31
CRVUSDTSWAP,60,20250602,010000,0.6792,0.6833,0.6762,0.6778,890061.04
CRVUSDTSWAP,60,20250602,020000,0.6778,0.6844,0.6778,0.6794,1022039.03
CRVUSDTSWAP,60,20250602,030000,0.6794,0.6819,0.6758,0.6776,1192957.78
CRVUSDTSWAP,60,20250602,040000,0.6776,0.6818,0.6722,0.6724,1212001.44
CRVUSDTSWAP,60,20250602,050000,0.6724,0.6727,0.6651,0.6665,1380319.53
CRVUSDTSWAP,60,20250602,060000,0.6666,0.6702,0.6639,0.6664,1364177.57
CRVUSDTSWAP,60,20250602,070000,0.6663,0.6698,0.6637,0.666,918791.05
CRVUSDTSWAP,60,20250602,080000,0.666,0.6698,0.6617,0.666,834544.62
CRVUSDTSWAP,60,20250602,090000,0.6661,0.6707,0.6625,0.6666,1227718.88
CRVUSDTSWAP,60,20250602,100000,0.6666,0.675,0.6664,0.6694,1517984.19
CRVUSDTSWAP,60,20250602,110000,0.6692,0.6745,0.6624,0.6646,1850392.21
CRVUSDTSWAP,60,20250602,120000,0.6647,0.6648,0.6533,0.6564,2681094.04
CRVUSDTSWAP,60,20250602,130000,0.6563,0.6593,0.654,0.6579,2104146.37
CRVUSDTSWAP,60,20250602,140000,0.6579,0.661,0.6555,0.6586,1439651.65
CRVUSDTSWAP,60,20250602,150000,0.6586,0.6677,0.6562,0.6659,1608884.06
CRVUSDTSWAP,60,20250602,160000,0.6659,0.6706,0.6586,0.6626,2175661.11
CRVUSDTSWAP,60,20250602,170000,0.6624,0.6768,0.66,0.6699,2931071.64
CRVUSDTSWAP,60,20250602,180000,0.6698,0.6761,0.665,0.6701,2204498.0
CRVUSDTSWAP,60,20250602,190000,0.6701,0.6723,0.6641,0.6702,1651384.39
CRVUSDTSWAP,60,20250602,200000,0.6704,0.6724,0.6649,0.6693,1720894.01
CRVUSDTSWAP,60,20250602,210000,0.6693,0.6757,0.6665,0.6674,1587501.96
CRVUSDTSWAP,60,20250602,220000,0.6675,0.6706,0.6591,0.6633,1421841.08
CRVUSDTSWAP,60,20250602,230000,0.6634,0.6767,0.6633,0.6766,2427216.74
CRVUSDTSWAP,60,20250603,000000,0.6765,0.6824,0.6761,0.682,1042257.84
CRVUSDTSWAP,60,20250603,010000,0.6821,0.6903,0.6821,0.6884,2116390.55
CRVUSDTSWAP,60,20250603,020000,0.6885,0.6943,0.6863,0.6872,2114673.36
CRVUSDTSWAP,60,20250603,030000,0.6873,0.699,0.6862,0.6966,2283106.13
CRVUSDTSWAP,60,20250603,040000,0.6965,0.705,0.6946,0.7032,1732492.91
CRVUSDTSWAP,60,20250603,050000,0.7032,0.7052,0.6909,0.6911,1486952.26
CRVUSDTSWAP,60,20250603,060000,0.6912,0.6926,0.6843,0.6864,1453507.89
CRVUSDTSWAP,60,20250603,070000,0.6864,0.6869,0.6816,0.6831,924803.19
CRVUSDTSWAP,60,20250603,080000,0.6832,0.6924,0.6832,0.6915,934917.52
CRVUSDTSWAP,60,20250603,090000,0.6916,0.6925,0.6868,0.6913,785311.8
CRVUSDTSWAP,60,20250603,100000,0.6914,0.6924,0.6866,0.6876,639002.25
CRVUSDTSWAP,60,20250603,110000,0.6876,0.6886,0.6805,0.6859,1224132.22
CRVUSDTSWAP,60,20250603,120000,0.6859,0.6919,0.684,0.69,773685.6
CRVUSDTSWAP,60,20250603,130000,0.69,0.6926,0.6885,0.6923,846642.42
CRVUSDTSWAP,60,20250603,140000,0.6924,0.6945,0.6907,0.6928,846678.49
CRVUSDTSWAP,60,20250603,150000,0.6928,0.6972,0.6907,0.6948,1067444.76
CRVUSDTSWAP,60,20250603,160000,0.6948,0.7041,0.6947,0.7026,2792556.84
CRVUSDTSWAP,60,20250603,170000,0.7028,0.7084,0.6945,0.7079,2422949.38
CRVUSDTSWAP,60,20250603,180000,0.7079,0.7091,0.6983,0.7012,1929788.49
CRVUSDTSWAP,60,20250603,190000,0.7012,0.7019,0.6896,0.6911,2069959.93
CRVUSDTSWAP,60,20250603,200000,0.691,0.6985,0.6896,0.6962,1322900.84
CRVUSDTSWAP,60,20250603,210000,0.6962,0.6965,0.6913,0.6936,763775.96
CRVUSDTSWAP,60,20250603,220000,0.6936,0.7004,0.6936,0.6989,597156.31
CRVUSDTSWAP,60,20250603,230000,0.699,0.6993,0.6849,0.6912,1236586.22
