<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CRVUSDTSWAP,3,20250604,172700,0.6646,0.6653,0.663,0.6641,200734.45
CRVUSDTSWAP,3,20250604,173000,0.6642,0.6645,0.6625,0.6638,144168.6
CRVUSDTSWAP,3,20250604,173300,0.6639,0.6668,0.6638,0.6648,197374.81
CRVUSDTSWAP,3,20250604,173600,0.6649,0.6671,0.664,0.6649,140726.75
CRVUSDTSWAP,3,20250604,173900,0.6649,0.6681,0.6649,0.6676,119187.31
CRVUSDTSWAP,3,20250604,174200,0.6676,0.668,0.6661,0.6679,131892.39
CRVUSDTSWAP,3,20250604,174500,0.668,0.6697,0.6674,0.6694,156091.56
CRVUSDTSWAP,3,20250604,174800,0.6695,0.6712,0.6687,0.6687,128914.9
CRVUSDTSWAP,3,20250604,175100,0.6686,0.6703,0.6682,0.6701,89205.28
CRVUSDTSWAP,3,20250604,175400,0.67,0.6737,0.67,0.6737,113242.06
CRVUSDTSWAP,3,20250604,175700,0.6737,0.6766,0.6731,0.6764,263886.94
CRVUSDTSWAP,3,20250604,180000,0.6764,0.6771,0.6736,0.674,121139.86
CRVUSDTSWAP,3,20250604,180300,0.6741,0.6753,0.6732,0.6741,118338.26
CRVUSDTSWAP,3,20250604,180600,0.6742,0.6767,0.6737,0.6744,123444.0
CRVUSDTSWAP,3,20250604,180900,0.6745,0.6772,0.6743,0.677,76232.66
CRVUSDTSWAP,3,20250604,181200,0.677,0.6787,0.6766,0.6772,134154.32
CRVUSDTSWAP,3,20250604,181500,0.6771,0.682,0.6771,0.6803,173789.23
CRVUSDTSWAP,3,20250604,181800,0.6803,0.6822,0.6799,0.6799,170156.64
CRVUSDTSWAP,3,20250604,182100,0.6799,0.682,0.6788,0.6812,115642.15
CRVUSDTSWAP,3,20250604,182400,0.6812,0.6816,0.6798,0.6798,73396.58
CRVUSDTSWAP,3,20250604,182700,0.6799,0.6823,0.6796,0.68,243353.21
CRVUSDTSWAP,3,20250604,183000,0.68,0.6824,0.6783,0.6819,145101.8
CRVUSDTSWAP,3,20250604,183300,0.6819,0.6827,0.6806,0.6809,89250.48
CRVUSDTSWAP,3,20250604,183600,0.6808,0.6848,0.6808,0.6841,270761.65
CRVUSDTSWAP,3,20250604,183900,0.684,0.6844,0.6828,0.6844,183632.11
CRVUSDTSWAP,3,20250604,184200,0.6841,0.6862,0.6834,0.6843,240449.52
CRVUSDTSWAP,3,20250604,184500,0.6843,0.686,0.6838,0.684,144966.22
CRVUSDTSWAP,3,20250604,184800,0.6839,0.6843,0.682,0.6824,92236.23
CRVUSDTSWAP,3,20250604,185100,0.6824,0.6847,0.6816,0.6837,35043.29
CRVUSDTSWAP,3,20250604,185400,0.6836,0.6885,0.6835,0.6871,400268.99
CRVUSDTSWAP,3,20250604,185700,0.687,0.6873,0.6848,0.6852,198200.19
CRVUSDTSWAP,3,20250604,190000,0.6853,0.6862,0.6841,0.6848,100642.47
CRVUSDTSWAP,3,20250604,190300,0.6847,0.6857,0.6824,0.6824,227823.65
CRVUSDTSWAP,3,20250604,190600,0.6823,0.6838,0.681,0.681,175533.96
CRVUSDTSWAP,3,20250604,190900,0.6812,0.6837,0.6812,0.6833,106946.36
CRVUSDTSWAP,3,20250604,191200,0.6832,0.6841,0.6817,0.6817,58093.86
CRVUSDTSWAP,3,20250604,191500,0.6817,0.6823,0.6792,0.6793,188252.14
CRVUSDTSWAP,3,20250604,191800,0.6794,0.6799,0.6782,0.6796,228221.33
CRVUSDTSWAP,3,20250604,192100,0.6796,0.6807,0.6782,0.6787,149934.03
CRVUSDTSWAP,3,20250604,192400,0.6787,0.6787,0.6772,0.6776,114342.63
CRVUSDTSWAP,3,20250604,192700,0.6775,0.6781,0.6771,0.6771,68310.29
