<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CSPRUSDTSWAP,1440,20250225,030000,0.011286,0.011686,0.010707,0.011527,1891160.85
CSPRUSDTSWAP,1440,20250226,030000,0.011529,0.011899,0.011034,0.011698,1543336.21
CSPRUSDTSWAP,1440,20250227,030000,0.011714,0.013252,0.011711,0.012283,4186779.06
CSPRUSDTSWAP,1440,20250228,030000,0.012283,0.012922,0.011344,0.012783,2611571.75
CSPRUSDTSWAP,1440,20250301,030000,0.012792,0.012803,0.011888,0.012331,1492245.58
CSPRUSDTSWAP,1440,20250302,030000,0.012332,0.013547,0.012156,0.013128,2352941.01
CSPRUSDTSWAP,1440,20250303,030000,0.013129,0.013166,0.011445,0.011973,1840395.87
CSPRUSDTSWAP,1440,20250304,030000,0.01197,0.012316,0.011,0.011992,2020269.09
CSPRUSDTSWAP,1440,20250305,030000,0.011987,0.012125,0.011225,0.011689,991761.67
CSPRUSDTSWAP,1440,20250306,030000,0.011687,0.012016,0.011377,0.011517,1026030.8
CSPRUSDTSWAP,1440,20250307,030000,0.011514,0.011675,0.011008,0.0111,1131730.02
CSPRUSDTSWAP,1440,20250308,030000,0.0111,0.011169,0.010786,0.010836,495012.66
CSPRUSDTSWAP,1440,20250309,030000,0.010835,0.011166,0.009964,0.010537,1153070.52
CSPRUSDTSWAP,1440,20250310,030000,0.010537,0.01142,0.01,0.010281,2519351.3
CSPRUSDTSWAP,1440,20250311,030000,0.010278,0.010736,0.00988,0.010621,808560.12
CSPRUSDTSWAP,1440,20250312,030000,0.010626,0.010957,0.010264,0.010897,848292.79
CSPRUSDTSWAP,1440,20250313,030000,0.010901,0.010989,0.010338,0.010528,698006.53
CSPRUSDTSWAP,1440,20250314,030000,0.010529,0.012059,0.010479,0.011911,1324841.13
CSPRUSDTSWAP,1440,20250315,030000,0.011912,0.013089,0.011778,0.012297,8021224.02
CSPRUSDTSWAP,1440,20250316,030000,0.0123,0.01312,0.011727,0.012217,3310623.28
CSPRUSDTSWAP,1440,20250317,030000,0.012216,0.0126,0.011926,0.012342,1131139.73
CSPRUSDTSWAP,1440,20250318,030000,0.012343,0.012417,0.011752,0.011984,894198.31
CSPRUSDTSWAP,1440,20250319,030000,0.011988,0.012615,0.011769,0.012435,1477515.63
CSPRUSDTSWAP,1440,20250320,030000,0.01243,0.01247,0.0116,0.011657,968391.84
CSPRUSDTSWAP,1440,20250321,030000,0.011656,0.011778,0.010911,0.011024,1215515.21
CSPRUSDTSWAP,1440,20250322,030000,0.011021,0.012,0.010989,0.011229,934233.5
CSPRUSDTSWAP,1440,20250323,030000,0.011232,0.011683,0.01112,0.011539,1294688.28
CSPRUSDTSWAP,1440,20250324,030000,0.011539,0.0123,0.0113,0.011699,1656074.67
CSPRUSDTSWAP,1440,20250325,030000,0.011702,0.012152,0.01134,0.011492,1295432.53
CSPRUSDTSWAP,1440,20250326,030000,0.011489,0.011628,0.010874,0.010994,1367018.09
CSPRUSDTSWAP,1440,20250327,030000,0.010997,0.011214,0.01065,0.010731,910185.18
CSPRUSDTSWAP,1440,20250328,030000,0.010731,0.010761,0.01,0.010022,1054770.45
CSPRUSDTSWAP,1440,20250329,030000,0.010019,0.01013,0.009308,0.009394,860950.39
CSPRUSDTSWAP,1440,20250330,030000,0.009384,0.009964,0.00916,0.009732,1186217.37
CSPRUSDTSWAP,1440,20250331,030000,0.009734,0.009848,0.009308,0.009797,845950.61
CSPRUSDTSWAP,1440,20250401,030000,0.009791,0.010176,0.009183,0.009339,1217722.27
CSPRUSDTSWAP,1440,20250402,030000,0.00933,0.009811,0.008698,0.008888,1841243.69
CSPRUSDTSWAP,1440,20250403,030000,0.00888,0.009783,0.00888,0.00908,1429966.79
CSPRUSDTSWAP,1440,20250404,030000,0.009082,0.009676,0.008813,0.009309,1271476.43
CSPRUSDTSWAP,1440,20250405,030000,0.009312,0.00944,0.009013,0.009238,740588.35
CSPRUSDTSWAP,1440,20250406,030000,0.009239,0.00925,0.007982,0.008201,902596.18
CSPRUSDTSWAP,1440,20250407,030000,0.0082,0.0088,0.007532,0.008681,1263508.96
CSPRUSDTSWAP,1440,20250408,030000,0.008681,0.00925,0.008202,0.008306,1667111.84
CSPRUSDTSWAP,1440,20250409,030000,0.008302,0.009636,0.008109,0.009356,1373015.83
CSPRUSDTSWAP,1440,20250410,030000,0.009359,0.010012,0.008984,0.00963,2257120.38
CSPRUSDTSWAP,1440,20250411,030000,0.009628,0.010228,0.0096,0.00991,899686.37
