<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CSPRUSDTSWAP,3,20250604,172700,0.012038,0.012038,0.012017,0.012024,405.38
CSPRUSDTSWAP,3,20250604,173000,0.012027,0.012052,0.012027,0.012039,344.93
CSPRUSDTSWAP,3,20250604,173300,0.012045,0.012058,0.012021,0.012043,1956.73
CSPRUSDTSWAP,3,20250604,173600,0.012047,0.012086,0.012042,0.012061,3114.84
CSPRUSDTSWAP,3,20250604,173900,0.012062,0.012077,0.01206,0.012076,497.2
CSPRUSDTSWAP,3,20250604,174200,0.012078,0.012081,0.012063,0.012075,340.3
CSPRUSDTSWAP,3,20250604,174500,0.012078,0.012085,0.012063,0.012077,961.11
CSPRUSDTSWAP,3,20250604,174800,0.012081,0.012097,0.012079,0.012097,1166.95
CSPRUSDTSWAP,3,20250604,175100,0.012099,0.012109,0.012095,0.012109,1128.69
CSPRUSDTSWAP,3,20250604,175400,0.012109,0.012143,0.012098,0.012143,4279.2
CSPRUSDTSWAP,3,20250604,175700,0.012144,0.01218,0.012142,0.012165,5937.09
CSPRUSDTSWAP,3,20250604,180000,0.012168,0.012177,0.012145,0.012145,3768.39
CSPRUSDTSWAP,3,20250604,180300,0.012147,0.012185,0.012147,0.012172,2556.92
CSPRUSDTSWAP,3,20250604,180600,0.012171,0.01218,0.012139,0.012155,5337.97
CSPRUSDTSWAP,3,20250604,180900,0.01216,0.012161,0.012124,0.012152,5806.36
CSPRUSDTSWAP,3,20250604,181200,0.012152,0.012152,0.012137,0.012144,561.75
CSPRUSDTSWAP,3,20250604,181500,0.012144,0.012182,0.012117,0.012179,9572.24
CSPRUSDTSWAP,3,20250604,181800,0.012179,0.012188,0.012169,0.012173,1053.14
CSPRUSDTSWAP,3,20250604,182100,0.012171,0.01222,0.012162,0.012193,4029.95
CSPRUSDTSWAP,3,20250604,182400,0.012202,0.012203,0.012175,0.012188,1922.18
CSPRUSDTSWAP,3,20250604,182700,0.012185,0.01221,0.012181,0.012189,520.53
CSPRUSDTSWAP,3,20250604,183000,0.012194,0.012194,0.012171,0.012194,726.71
CSPRUSDTSWAP,3,20250604,183300,0.012197,0.012207,0.012186,0.012196,1602.38
CSPRUSDTSWAP,3,20250604,183600,0.012196,0.012232,0.012182,0.012228,1606.75
CSPRUSDTSWAP,3,20250604,183900,0.012224,0.012226,0.012213,0.012213,1357.95
CSPRUSDTSWAP,3,20250604,184200,0.012221,0.01227,0.012206,0.012223,21256.58
CSPRUSDTSWAP,3,20250604,184500,0.012217,0.012233,0.012205,0.012213,2632.81
CSPRUSDTSWAP,3,20250604,184800,0.012212,0.01222,0.012181,0.01222,5523.08
CSPRUSDTSWAP,3,20250604,185100,0.012218,0.01227,0.012218,0.01226,2863.04
CSPRUSDTSWAP,3,20250604,185400,0.012262,0.012277,0.012259,0.012277,1082.01
CSPRUSDTSWAP,3,20250604,185700,0.012272,0.012299,0.012262,0.012286,2538.75
CSPRUSDTSWAP,3,20250604,190000,0.012285,0.012299,0.012203,0.012227,9425.73
CSPRUSDTSWAP,3,20250604,190300,0.012228,0.012241,0.01221,0.01221,2315.02
CSPRUSDTSWAP,3,20250604,190600,0.012208,0.012229,0.012197,0.012197,8597.4
CSPRUSDTSWAP,3,20250604,190900,0.012198,0.012219,0.012193,0.012219,2125.27
CSPRUSDTSWAP,3,20250604,191200,0.012213,0.01222,0.012189,0.012189,746.84
CSPRUSDTSWAP,3,20250604,191500,0.012188,0.012191,0.012113,0.012113,9113.93
CSPRUSDTSWAP,3,20250604,191800,0.012112,0.012129,0.0121,0.012129,3848.67
CSPRUSDTSWAP,3,20250604,192100,0.01213,0.012136,0.012077,0.012093,2262.27
CSPRUSDTSWAP,3,20250604,192400,0.01209,0.012168,0.012067,0.01208,30832.7
CSPRUSDTSWAP,3,20250604,192700,0.012081,0.012085,0.012067,0.01207,551.96
CSPRUSDTSWAP,3,20250604,193000,0.012076,0.012132,0.012074,0.012106,4469.85
CSPRUSDTSWAP,3,20250604,193300,0.012114,0.012123,0.012109,0.012123,519.67
CSPRUSDTSWAP,3,20250604,193600,0.012126,0.012135,0.01212,0.012127,279.36
CSPRUSDTSWAP,3,20250604,193900,0.012135,0.01217,0.012131,0.012154,2538.11
CSPRUSDTSWAP,3,20250604,194200,0.012153,0.01216,0.01215,0.012157,116.95
CSPRUSDTSWAP,3,20250604,194500,0.012169,0.01218,0.012157,0.012168,693.86
CSPRUSDTSWAP,3,20250604,194800,0.012165,0.01218,0.012157,0.012176,35.31
CSPRUSDTSWAP,3,20250604,195100,0.012184,0.012186,0.012179,0.012179,109.83
CSPRUSDTSWAP,3,20250604,195400,0.012179,0.012183,0.012148,0.012148,534.4
CSPRUSDTSWAP,3,20250604,195700,0.01215,0.012152,0.012087,0.012102,3294.55
CSPRUSDTSWAP,3,20250604,200000,0.012117,0.012123,0.0121,0.012101,614.49
CSPRUSDTSWAP,3,20250604,200300,0.012102,0.012116,0.012097,0.012097,569.1
CSPRUSDTSWAP,3,20250604,200600,0.012096,0.012109,0.012083,0.012105,1333.09
