<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DEGENUSDTSWAP,1440,20250225,030000,0.004052,0.004315,0.003785,0.004221,33545.98
DEGENUSDTSWAP,1440,20250226,030000,0.00422,0.004305,0.003829,0.004099,26161.97
DEGENUSDTSWAP,1440,20250227,030000,0.004102,0.004227,0.003822,0.003926,25662.37
DEGENUSDTSWAP,1440,20250228,030000,0.003927,0.004239,0.003616,0.0041,37789.49
DEGENUSDTSWAP,1440,20250301,030000,0.004102,0.004113,0.003764,0.003908,15083.12
DEGENUSDTSWAP,1440,20250302,030000,0.00391,0.005264,0.00382,0.005095,60728.2
DEGENUSDTSWAP,1440,20250303,030000,0.005095,0.005436,0.004453,0.004588,358987.54
DEGENUSDTSWAP,1440,20250304,030000,0.00459,0.004649,0.003658,0.00403,164957.08
DEGENUSDTSWAP,1440,20250305,030000,0.00403,0.004176,0.003902,0.004032,44735.5
DEGENUSDTSWAP,1440,20250306,030000,0.004031,0.00415,0.003727,0.003819,29249.72
DEGENUSDTSWAP,1440,20250307,030000,0.003819,0.003918,0.003621,0.0037,32173.25
DEGENUSDTSWAP,1440,20250308,030000,0.003699,0.003741,0.003474,0.003539,23503.31
DEGENUSDTSWAP,1440,20250309,030000,0.00354,0.003554,0.002992,0.003061,31237.67
DEGENUSDTSWAP,1440,20250310,030000,0.003062,0.00332,0.002736,0.002844,34773.1
DEGENUSDTSWAP,1440,20250311,030000,0.002844,0.003192,0.00264,0.003081,28028.64
DEGENUSDTSWAP,1440,20250312,030000,0.00308,0.003226,0.002977,0.003204,21586.48
DEGENUSDTSWAP,1440,20250313,030000,0.003204,0.003254,0.002976,0.003078,15632.97
DEGENUSDTSWAP,1440,20250314,030000,0.003079,0.003362,0.003072,0.003183,11432.96
DEGENUSDTSWAP,1440,20250315,030000,0.003183,0.003342,0.003172,0.003302,8247.19
DEGENUSDTSWAP,1440,20250316,030000,0.003303,0.003325,0.003039,0.003086,10669.02
DEGENUSDTSWAP,1440,20250317,030000,0.003087,0.003307,0.003085,0.003238,14369.38
DEGENUSDTSWAP,1440,20250318,030000,0.003239,0.003255,0.002934,0.003154,11079.55
DEGENUSDTSWAP,1440,20250319,030000,0.003153,0.003361,0.003083,0.003343,16344.65
DEGENUSDTSWAP,1440,20250320,030000,0.003344,0.003385,0.003108,0.003145,12627.33
DEGENUSDTSWAP,1440,20250321,030000,0.003144,0.003232,0.003078,0.00317,12079.4
DEGENUSDTSWAP,1440,20250322,030000,0.003169,0.003548,0.003145,0.003297,30954.21
DEGENUSDTSWAP,1440,20250323,030000,0.003297,0.003387,0.003203,0.003362,14226.37
DEGENUSDTSWAP,1440,20250324,030000,0.003362,0.003596,0.003235,0.003467,21813.11
DEGENUSDTSWAP,1440,20250325,030000,0.003466,0.003553,0.00335,0.00349,18425.53
DEGENUSDTSWAP,1440,20250326,030000,0.003489,0.00368,0.003318,0.003425,19383.31
DEGENUSDTSWAP,1440,20250327,030000,0.003425,0.003533,0.003332,0.003443,11449.27
DEGENUSDTSWAP,1440,20250328,030000,0.003444,0.003479,0.003003,0.003094,12029.0
DEGENUSDTSWAP,1440,20250329,030000,0.003093,0.003134,0.002846,0.002918,9264.88
DEGENUSDTSWAP,1440,20250330,030000,0.002919,0.003019,0.002884,0.00293,5379.18
DEGENUSDTSWAP,1440,20250331,030000,0.002931,0.002959,0.002798,0.002869,11220.59
DEGENUSDTSWAP,1440,20250401,030000,0.002863,0.003015,0.002841,0.002904,9657.88
DEGENUSDTSWAP,1440,20250402,030000,0.002902,0.002933,0.00261,0.002663,14250.71
DEGENUSDTSWAP,1440,20250403,030000,0.002662,0.002729,0.002439,0.002613,14714.03
DEGENUSDTSWAP,1440,20250404,030000,0.002613,0.002663,0.002488,0.002595,8347.83
DEGENUSDTSWAP,1440,20250405,030000,0.002595,0.002603,0.002484,0.002535,6355.89
DEGENUSDTSWAP,1440,20250406,030000,0.002535,0.002536,0.001996,0.002062,28686.19
DEGENUSDTSWAP,1440,20250407,030000,0.002063,0.002256,0.001845,0.002095,34611.33
DEGENUSDTSWAP,1440,20250408,030000,0.002096,0.002175,0.001878,0.001918,14693.16
DEGENUSDTSWAP,1440,20250409,030000,0.001917,0.002249,0.001826,0.002197,16137.39
DEGENUSDTSWAP,1440,20250410,030000,0.002196,0.002201,0.001978,0.002039,14158.27
DEGENUSDTSWAP,1440,20250411,030000,0.002038,0.002267,0.002012,0.002198,13568.17
DEGENUSDTSWAP,1440,20250412,030000,0.002198,0.002635,0.002172,0.002492,24626.3
DEGENUSDTSWAP,1440,20250413,030000,0.002491,0.002503,0.002226,0.002278,14927.46
DEGENUSDTSWAP,1440,20250414,030000,0.002279,0.002397,0.002222,0.002273,10791.45
DEGENUSDTSWAP,1440,20250415,030000,0.002273,0.002329,0.002094,0.002108,10895.04
DEGENUSDTSWAP,1440,20250416,030000,0.002108,0.002243,0.002058,0.002166,14703.13
DEGENUSDTSWAP,1440,20250417,030000,0.002167,0.002466,0.002148,0.002307,28208.61
DEGENUSDTSWAP,1440,20250418,030000,0.002308,0.002389,0.00225,0.002275,16425.6
DEGENUSDTSWAP,1440,20250419,030000,0.002274,0.002621,0.002253,0.002542,55871.86
DEGENUSDTSWAP,1440,20250420,030000,0.00254,0.002601,0.002437,0.002553,23769.12
DEGENUSDTSWAP,1440,20250421,030000,0.002554,0.0027,0.002497,0.002592,19800.92
DEGENUSDTSWAP,1440,20250422,030000,0.002592,0.0031,0.00253,0.003069,28787.04
DEGENUSDTSWAP,1440,20250423,030000,0.00307,0.003401,0.003044,0.003092,37463.36
DEGENUSDTSWAP,1440,20250424,030000,0.003092,0.003123,0.002772,0.002969,24729.0
DEGENUSDTSWAP,1440,20250425,030000,0.002969,0.003219,0.002948,0.003201,19728.8
DEGENUSDTSWAP,1440,20250426,030000,0.003201,0.003373,0.003116,0.003296,20538.32
DEGENUSDTSWAP,1440,20250427,030000,0.003295,0.003411,0.003089,0.003098,13630.51
DEGENUSDTSWAP,1440,20250428,030000,0.003099,0.003346,0.002919,0.003144,19557.47
DEGENUSDTSWAP,1440,20250429,030000,0.003145,0.003216,0.00292,0.002989,11097.78
DEGENUSDTSWAP,1440,20250430,030000,0.002987,0.003058,0.002793,0.002975,14978.41
DEGENUSDTSWAP,1440,20250501,030000,0.002974,0.003262,0.002929,0.003126,22005.88
DEGENUSDTSWAP,1440,20250502,030000,0.003126,0.003258,0.002992,0.003122,20230.01
DEGENUSDTSWAP,1440,20250503,030000,0.00312,0.003127,0.002868,0.002905,11625.95
DEGENUSDTSWAP,1440,20250504,030000,0.002905,0.002944,0.00282,0.00282,9797.6
DEGENUSDTSWAP,1440,20250505,030000,0.002823,0.002896,0.002671,0.002773,16648.16
DEGENUSDTSWAP,1440,20250506,030000,0.002774,0.00279,0.002565,0.002707,15287.73
DEGENUSDTSWAP,1440,20250507,030000,0.002708,0.00279,0.002656,0.002774,10524.79
DEGENUSDTSWAP,1440,20250508,030000,0.002775,0.003524,0.002761,0.003465,60492.4
DEGENUSDTSWAP,1440,20250509,030000,0.003464,0.004081,0.003396,0.003875,49516.21
DEGENUSDTSWAP,1440,20250510,030000,0.003874,0.004342,0.003764,0.004274,51440.27
DEGENUSDTSWAP,1440,20250511,030000,0.004273,0.004325,0.003803,0.003958,24525.82
DEGENUSDTSWAP,1440,20250512,030000,0.003958,0.008853,0.00387,0.008339,1072558.44
DEGENUSDTSWAP,1440,20250513,030000,0.008333,0.008945,0.006419,0.007601,2216398.01
DEGENUSDTSWAP,1440,20250514,030000,0.007599,0.007624,0.005831,0.006017,517077.06
DEGENUSDTSWAP,1440,20250515,030000,0.006018,0.006366,0.005163,0.005277,332460.23
DEGENUSDTSWAP,1440,20250516,030000,0.005278,0.006065,0.005071,0.005151,213986.68
DEGENUSDTSWAP,1440,20250517,030000,0.005152,0.005305,0.004676,0.005232,169563.82
DEGENUSDTSWAP,1440,20250518,030000,0.005232,0.006448,0.005141,0.005847,589255.72
DEGENUSDTSWAP,1440,20250519,030000,0.005848,0.00587,0.005241,0.005672,204400.49
DEGENUSDTSWAP,1440,20250520,030000,0.005671,0.006571,0.005509,0.006037,506036.88
DEGENUSDTSWAP,1440,20250521,030000,0.006039,0.006675,0.005857,0.006112,255845.73
DEGENUSDTSWAP,1440,20250522,030000,0.006112,0.006609,0.005969,0.006383,173121.85
DEGENUSDTSWAP,1440,20250523,030000,0.006383,0.006599,0.005301,0.005356,170569.25
DEGENUSDTSWAP,1440,20250524,030000,0.005356,0.005666,0.005329,0.005436,62150.72
DEGENUSDTSWAP,1440,20250525,030000,0.005437,0.005525,0.005055,0.005503,59748.75
DEGENUSDTSWAP,1440,20250526,030000,0.005501,0.006033,0.005344,0.005609,132282.78
DEGENUSDTSWAP,1440,20250527,030000,0.00561,0.005875,0.005465,0.005574,83764.15
DEGENUSDTSWAP,1440,20250528,030000,0.005573,0.00569,0.00524,0.005446,54407.4
DEGENUSDTSWAP,1440,20250529,030000,0.005446,0.005728,0.005084,0.005119,63643.08
DEGENUSDTSWAP,1440,20250530,030000,0.005119,0.005119,0.00423,0.004247,95281.06
DEGENUSDTSWAP,1440,20250531,030000,0.004248,0.004727,0.004042,0.004711,97774.72
DEGENUSDTSWAP,1440,20250601,030000,0.00471,0.004922,0.004337,0.00469,161878.77
DEGENUSDTSWAP,1440,20250602,030000,0.004691,0.004704,0.00434,0.004613,60790.79
DEGENUSDTSWAP,1440,20250603,030000,0.004613,0.004825,0.004549,0.004586,49952.64
