<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DEGENUSDTSWAP,3,20250604,172700,0.004414,0.004416,0.004403,0.004405,40.7
DEGENUSDTSWAP,3,20250604,173000,0.004407,0.004412,0.004401,0.00441,58.14
DEGENUSDTSWAP,3,20250604,173300,0.004411,0.004421,0.004403,0.004411,50.64
DEGENUSDTSWAP,3,20250604,173600,0.00441,0.004412,0.004399,0.0044,24.56
DEGENUSDTSWAP,3,20250604,173900,0.004401,0.004416,0.004401,0.004413,33.39
DEGENUSDTSWAP,3,20250604,174200,0.004413,0.004414,0.0044,0.004412,62.86
DEGENUSDTSWAP,3,20250604,174500,0.00441,0.004422,0.004403,0.004421,38.44
DEGENUSDTSWAP,3,20250604,174800,0.004422,0.004435,0.004418,0.004419,34.91
DEGENUSDTSWAP,3,20250604,175100,0.004418,0.004428,0.004417,0.004428,30.25
DEGENUSDTSWAP,3,20250604,175400,0.004429,0.004452,0.004428,0.004448,312.53
DEGENUSDTSWAP,3,20250604,175700,0.004447,0.004458,0.004425,0.004455,301.73
DEGENUSDTSWAP,3,20250604,180000,0.004454,0.004464,0.004449,0.00445,119.02
DEGENUSDTSWAP,3,20250604,180300,0.00445,0.004455,0.004445,0.004449,160.57
DEGENUSDTSWAP,3,20250604,180600,0.00445,0.004481,0.00445,0.004463,282.64
DEGENUSDTSWAP,3,20250604,180900,0.004464,0.004475,0.004459,0.004473,40.96
DEGENUSDTSWAP,3,20250604,181200,0.004472,0.004475,0.004466,0.004467,45.15
DEGENUSDTSWAP,3,20250604,181500,0.004468,0.0045,0.004468,0.004489,304.67
DEGENUSDTSWAP,3,20250604,181800,0.004488,0.004518,0.004482,0.004488,286.87
DEGENUSDTSWAP,3,20250604,182100,0.004488,0.004513,0.004487,0.004506,277.73
DEGENUSDTSWAP,3,20250604,182400,0.004505,0.00452,0.004502,0.00451,219.95
DEGENUSDTSWAP,3,20250604,182700,0.004511,0.004522,0.004496,0.004511,320.0
DEGENUSDTSWAP,3,20250604,183000,0.004509,0.004509,0.004488,0.004498,129.88
DEGENUSDTSWAP,3,20250604,183300,0.004498,0.004509,0.004489,0.004492,57.1
DEGENUSDTSWAP,3,20250604,183600,0.004492,0.004524,0.004492,0.004523,138.24
DEGENUSDTSWAP,3,20250604,183900,0.004523,0.004533,0.004519,0.004529,138.43
DEGENUSDTSWAP,3,20250604,184200,0.00453,0.004537,0.004517,0.004523,77.08
DEGENUSDTSWAP,3,20250604,184500,0.004522,0.004532,0.004511,0.004515,54.16
DEGENUSDTSWAP,3,20250604,184800,0.004515,0.004521,0.004503,0.004511,47.52
DEGENUSDTSWAP,3,20250604,185100,0.004511,0.004523,0.004507,0.004513,65.83
DEGENUSDTSWAP,3,20250604,185400,0.004516,0.004542,0.004516,0.004538,96.41
DEGENUSDTSWAP,3,20250604,185700,0.004537,0.00454,0.004522,0.00453,67.53
DEGENUSDTSWAP,3,20250604,190000,0.004531,0.004536,0.004521,0.004526,40.79
DEGENUSDTSWAP,3,20250604,190300,0.004526,0.004531,0.004518,0.004526,43.45
DEGENUSDTSWAP,3,20250604,190600,0.004525,0.004528,0.004509,0.00451,87.54
DEGENUSDTSWAP,3,20250604,190900,0.004511,0.004518,0.004509,0.004517,35.27
DEGENUSDTSWAP,3,20250604,191200,0.004516,0.004522,0.004514,0.004515,100.48
DEGENUSDTSWAP,3,20250604,191500,0.004514,0.004531,0.004509,0.004512,176.61
DEGENUSDTSWAP,3,20250604,191800,0.004515,0.004551,0.004507,0.004551,294.17
DEGENUSDTSWAP,3,20250604,192100,0.004552,0.004604,0.00455,0.004599,1074.92
DEGENUSDTSWAP,3,20250604,192400,0.004597,0.004597,0.004583,0.004591,292.6
DEGENUSDTSWAP,3,20250604,192700,0.004591,0.004607,0.004583,0.004585,669.56
DEGENUSDTSWAP,3,20250604,193000,0.004587,0.004638,0.004581,0.004634,446.39
