<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DGBUSDTSWAP,1440,20250225,030000,0.007278,0.00773,0.006931,0.007677,9778.11
DGBUSDTSWAP,1440,20250226,030000,0.007676,0.008054,0.007486,0.007801,8362.08
DGBUSDTSWAP,1440,20250227,030000,0.0078,0.00809,0.007639,0.007818,5678.63
DGBUSDTSWAP,1440,20250228,030000,0.007812,0.007908,0.007035,0.007746,10390.73
DGBUSDTSWAP,1440,20250301,030000,0.007742,0.007779,0.007303,0.007472,7197.72
DGBUSDTSWAP,1440,20250302,030000,0.007471,0.010638,0.00738,0.009026,38933.89
DGBUSDTSWAP,1440,20250303,030000,0.009025,0.009284,0.00779,0.008099,30562.54
DGBUSDTSWAP,1440,20250304,030000,0.008099,0.008377,0.007555,0.008098,16932.0
DGBUSDTSWAP,1440,20250305,030000,0.008095,0.008541,0.008044,0.008365,14020.52
DGBUSDTSWAP,1440,20250306,030000,0.008359,0.00932,0.008209,0.009152,36117.89
DGBUSDTSWAP,1440,20250307,030000,0.009152,0.009825,0.008716,0.00948,117643.06
DGBUSDTSWAP,1440,20250308,030000,0.009476,0.011831,0.00935,0.011122,248206.47
DGBUSDTSWAP,1440,20250309,030000,0.011113,0.011419,0.009527,0.010029,253350.83
DGBUSDTSWAP,1440,20250310,030000,0.010032,0.01084,0.008503,0.008595,81328.72
DGBUSDTSWAP,1440,20250311,030000,0.008598,0.009287,0.008097,0.008745,40004.75
DGBUSDTSWAP,1440,20250312,030000,0.008746,0.008802,0.008112,0.008455,30123.81
DGBUSDTSWAP,1440,20250313,030000,0.008452,0.008685,0.007939,0.008124,18393.11
DGBUSDTSWAP,1440,20250314,030000,0.008124,0.00844,0.008026,0.008093,15414.87
DGBUSDTSWAP,1440,20250315,030000,0.008103,0.008488,0.008057,0.008317,9220.78
DGBUSDTSWAP,1440,20250316,030000,0.008317,0.00889,0.008149,0.008221,23947.63
DGBUSDTSWAP,1440,20250317,030000,0.008219,0.008423,0.00807,0.008299,14258.85
DGBUSDTSWAP,1440,20250318,030000,0.008297,0.008363,0.007832,0.008199,9622.29
DGBUSDTSWAP,1440,20250319,030000,0.008195,0.008448,0.007965,0.008382,11336.48
DGBUSDTSWAP,1440,20250320,030000,0.008376,0.008452,0.008107,0.008134,7314.55
DGBUSDTSWAP,1440,20250321,030000,0.008134,0.008248,0.007764,0.007794,7315.99
DGBUSDTSWAP,1440,20250322,030000,0.007793,0.008022,0.007767,0.007832,3867.31
DGBUSDTSWAP,1440,20250323,030000,0.00783,0.008333,0.007806,0.008159,7376.3
DGBUSDTSWAP,1440,20250324,030000,0.008157,0.009548,0.00788,0.009104,34357.59
DGBUSDTSWAP,1440,20250325,030000,0.009093,0.010253,0.008927,0.010081,67095.82
DGBUSDTSWAP,1440,20250326,030000,0.01008,0.012075,0.010047,0.010994,368670.78
DGBUSDTSWAP,1440,20250327,030000,0.010992,0.011645,0.010451,0.010555,119499.4
DGBUSDTSWAP,1440,20250328,030000,0.010557,0.01142,0.009729,0.010077,88392.71
DGBUSDTSWAP,1440,20250329,030000,0.010088,0.010464,0.008762,0.009049,65010.69
DGBUSDTSWAP,1440,20250330,030000,0.009038,0.009211,0.008406,0.008629,39525.84
