<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DGBUSDTSWAP,60,20250531,190000,0.009043,0.009113,0.008968,0.009084,187.78
DGBUSDTSWAP,60,20250531,200000,0.009082,0.009107,0.008954,0.008964,103.43
DGBUSDTSWAP,60,20250531,210000,0.008966,0.009034,0.008956,0.008987,257.37
DGBUSDTSWAP,60,20250531,220000,0.008989,0.00902,0.008985,0.008996,105.81
DGBUSDTSWAP,60,20250531,230000,0.008997,0.009083,0.008974,0.00908,103.38
DGBUSDTSWAP,60,20250601,000000,0.009079,0.009136,0.00907,0.00913,131.46
DGBUSDTSWAP,60,20250601,010000,0.009132,0.009155,0.009068,0.009143,148.94
DGBUSDTSWAP,60,20250601,020000,0.009133,0.009151,0.009072,0.009135,319.24
DGBUSDTSWAP,60,20250601,030000,0.009136,0.009143,0.00904,0.009097,248.53
DGBUSDTSWAP,60,20250601,040000,0.009099,0.009168,0.009002,0.009027,253.49
DGBUSDTSWAP,60,20250601,050000,0.009028,0.009056,0.008952,0.009028,114.57
DGBUSDTSWAP,60,20250601,060000,0.009036,0.009037,0.00893,0.008979,117.87
DGBUSDTSWAP,60,20250601,070000,0.00898,0.009096,0.008967,0.009059,73.44
DGBUSDTSWAP,60,20250601,080000,0.009062,0.00915,0.009061,0.009122,90.64
DGBUSDTSWAP,60,20250601,090000,0.009112,0.009127,0.009051,0.00907,80.23
DGBUSDTSWAP,60,20250601,100000,0.00906,0.00907,0.009015,0.009037,79.16
DGBUSDTSWAP,60,20250601,110000,0.00903,0.009042,0.008933,0.008978,118.61
DGBUSDTSWAP,60,20250601,120000,0.008979,0.009017,0.00882,0.008886,213.66
DGBUSDTSWAP,60,20250601,130000,0.008894,0.008989,0.008886,0.008953,212.5
DGBUSDTSWAP,60,20250601,140000,0.008949,0.00903,0.008928,0.008991,108.54
DGBUSDTSWAP,60,20250601,150000,0.008989,0.008996,0.008923,0.008963,90.61
DGBUSDTSWAP,60,20250601,160000,0.008967,0.00905,0.008954,0.009028,75.39
DGBUSDTSWAP,60,20250601,170000,0.009029,0.009117,0.009022,0.009046,203.27
DGBUSDTSWAP,60,20250601,180000,0.009055,0.009086,0.008988,0.00907,131.84
DGBUSDTSWAP,60,20250601,190000,0.009072,0.009143,0.009026,0.009087,241.79
DGBUSDTSWAP,60,20250601,200000,0.00909,0.009204,0.009084,0.009147,418.71
DGBUSDTSWAP,60,20250601,210000,0.009145,0.009151,0.008987,0.00905,129.62
DGBUSDTSWAP,60,20250601,220000,0.009052,0.009096,0.009033,0.009096,79.2
DGBUSDTSWAP,60,20250601,230000,0.009099,0.009164,0.009059,0.009158,216.45
DGBUSDTSWAP,60,20250602,000000,0.009158,0.009296,0.009151,0.009242,176.58
DGBUSDTSWAP,60,20250602,010000,0.009242,0.00925,0.009195,0.009214,176.21
DGBUSDTSWAP,60,20250602,020000,0.009211,0.009245,0.0092,0.009218,75.61
DGBUSDTSWAP,60,20250602,030000,0.009218,0.009251,0.00918,0.009199,54.85
DGBUSDTSWAP,60,20250602,040000,0.009204,0.00926,0.009186,0.00921,109.33
DGBUSDTSWAP,60,20250602,050000,0.009208,0.009268,0.009162,0.009214,187.59
DGBUSDTSWAP,60,20250602,060000,0.009216,0.00922,0.009031,0.009064,425.49
DGBUSDTSWAP,60,20250602,070000,0.009065,0.009094,0.009018,0.009027,82.92
DGBUSDTSWAP,60,20250602,080000,0.00903,0.009073,0.00899,0.009044,101.9
DGBUSDTSWAP,60,20250602,090000,0.009044,0.009121,0.009019,0.009076,157.68
DGBUSDTSWAP,60,20250602,100000,0.009078,0.009155,0.009049,0.009087,156.54
DGBUSDTSWAP,60,20250602,110000,0.009092,0.009188,0.00904,0.009071,186.31
DGBUSDTSWAP,60,20250602,120000,0.009075,0.009075,0.008942,0.008969,97.36
DGBUSDTSWAP,60,20250602,130000,0.008966,0.008988,0.008941,0.00898,77.85
DGBUSDTSWAP,60,20250602,140000,0.008979,0.009022,0.008931,0.008977,136.53
DGBUSDTSWAP,60,20250602,150000,0.008971,0.009162,0.008941,0.009126,395.97
DGBUSDTSWAP,60,20250602,160000,0.00913,0.009197,0.009029,0.009168,238.5
DGBUSDTSWAP,60,20250602,170000,0.009162,0.009293,0.009131,0.009243,387.31
DGBUSDTSWAP,60,20250602,180000,0.009246,0.00927,0.0092,0.009225,74.04
DGBUSDTSWAP,60,20250602,190000,0.009228,0.00923,0.00915,0.009218,86.6
DGBUSDTSWAP,60,20250602,200000,0.00922,0.009248,0.009157,0.009186,151.61
DGBUSDTSWAP,60,20250602,210000,0.009193,0.009259,0.009171,0.00918,65.19
DGBUSDTSWAP,60,20250602,220000,0.009185,0.009219,0.009091,0.00914,137.29
DGBUSDTSWAP,60,20250602,230000,0.009147,0.009246,0.009147,0.009243,96.7
DGBUSDTSWAP,60,20250603,000000,0.009242,0.009311,0.009228,0.009271,154.3
DGBUSDTSWAP,60,20250603,010000,0.009269,0.009396,0.009269,0.009354,161.44
DGBUSDTSWAP,60,20250603,020000,0.009355,0.009384,0.009339,0.009362,87.13
DGBUSDTSWAP,60,20250603,030000,0.009364,0.009492,0.009342,0.009468,397.26
DGBUSDTSWAP,60,20250603,040000,0.00947,0.009595,0.009447,0.009576,194.44
DGBUSDTSWAP,60,20250603,050000,0.009578,0.009604,0.009457,0.009469,142.47
DGBUSDTSWAP,60,20250603,060000,0.009469,0.009477,0.009369,0.00939,130.76
DGBUSDTSWAP,60,20250603,070000,0.009392,0.009396,0.009319,0.009328,106.2
DGBUSDTSWAP,60,20250603,080000,0.009335,0.009415,0.009327,0.009415,70.61
DGBUSDTSWAP,60,20250603,090000,0.009416,0.009416,0.009359,0.009415,122.11
DGBUSDTSWAP,60,20250603,100000,0.009414,0.009424,0.009367,0.009392,159.49
DGBUSDTSWAP,60,20250603,110000,0.009391,0.009566,0.009391,0.009451,1126.04
DGBUSDTSWAP,60,20250603,120000,0.009447,0.00945,0.009351,0.009399,445.49
DGBUSDTSWAP,60,20250603,130000,0.009403,0.009408,0.009372,0.00938,106.87
DGBUSDTSWAP,60,20250603,140000,0.009386,0.009402,0.009298,0.009319,133.52
DGBUSDTSWAP,60,20250603,150000,0.009318,0.00937,0.009293,0.00933,144.08
DGBUSDTSWAP,60,20250603,160000,0.00933,0.009392,0.009316,0.009366,90.67
DGBUSDTSWAP,60,20250603,170000,0.009367,0.009465,0.009303,0.009462,84.8
DGBUSDTSWAP,60,20250603,180000,0.009461,0.00948,0.009386,0.009402,133.32
DGBUSDTSWAP,60,20250603,190000,0.009411,0.009447,0.009357,0.009357,114.6
DGBUSDTSWAP,60,20250603,200000,0.009353,0.009414,0.009349,0.009367,114.7
DGBUSDTSWAP,60,20250603,210000,0.009369,0.00937,0.009332,0.009345,42.57
DGBUSDTSWAP,60,20250603,220000,0.009355,0.00943,0.009352,0.009389,50.16
DGBUSDTSWAP,60,20250603,230000,0.009391,0.009392,0.009273,0.009316,79.43
DGBUSDTSWAP,60,20250604,000000,0.009318,0.009328,0.0092,0.009209,78.0
DGBUSDTSWAP,60,20250604,010000,0.00921,0.009324,0.009197,0.009304,46.62
DGBUSDTSWAP,60,20250604,020000,0.009302,0.009305,0.009226,0.009265,321.37
DGBUSDTSWAP,60,20250604,030000,0.009257,0.009336,0.00924,0.009329,108.5
DGBUSDTSWAP,60,20250604,040000,0.009334,0.009377,0.009306,0.009313,86.57
DGBUSDTSWAP,60,20250604,050000,0.009317,0.009368,0.009312,0.009336,61.17
DGBUSDTSWAP,60,20250604,060000,0.009343,0.009416,0.009334,0.009368,105.89
DGBUSDTSWAP,60,20250604,070000,0.009369,0.00939,0.009307,0.009331,423.95
DGBUSDTSWAP,60,20250604,080000,0.009332,0.009344,0.009264,0.009269,95.45
DGBUSDTSWAP,60,20250604,090000,0.009269,0.009296,0.009217,0.009233,47.28
DGBUSDTSWAP,60,20250604,100000,0.009234,0.009245,0.009208,0.009236,62.18
DGBUSDTSWAP,60,20250604,110000,0.009237,0.00929,0.009237,0.009249,44.97
DGBUSDTSWAP,60,20250604,120000,0.009249,0.009264,0.009218,0.009264,47.11
DGBUSDTSWAP,60,20250604,130000,0.009255,0.009284,0.009199,0.009207,52.29
DGBUSDTSWAP,60,20250604,140000,0.009207,0.009235,0.009114,0.00913,154.48
DGBUSDTSWAP,60,20250604,150000,0.009132,0.009143,0.009051,0.00908,155.02
DGBUSDTSWAP,60,20250604,160000,0.009075,0.009102,0.008972,0.009008,207.88
DGBUSDTSWAP,60,20250604,170000,0.008998,0.009125,0.008913,0.009125,306.42
DGBUSDTSWAP,60,20250604,180000,0.009115,0.009219,0.0091,0.009182,180.11
DGBUSDTSWAP,60,20250604,190000,0.009181,0.00919,0.009075,0.009107,130.67
DGBUSDTSWAP,60,20250604,200000,0.009106,0.00911,0.009005,0.009058,98.24
DGBUSDTSWAP,60,20250604,210000,0.009066,0.00907,0.008952,0.008992,105.9
DGBUSDTSWAP,60,20250604,220000,0.00899,0.0091,0.008984,0.009029,138.86
