<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DGBUSDTSWAP,3,20250604,172700,0.009008,0.00903,0.008993,0.00903,27.93
DGBUSDTSWAP,3,20250604,173000,0.009029,0.009034,0.009015,0.00903,15.6
DGBUSDTSWAP,3,20250604,173300,0.00903,0.009042,0.009028,0.009028,1.91
DGBUSDTSWAP,3,20250604,173600,0.00903,0.009045,0.009024,0.009037,6.29
DGBUSDTSWAP,3,20250604,173900,0.009039,0.009054,0.009039,0.009054,0.47
DGBUSDTSWAP,3,20250604,174200,0.009058,0.009063,0.009046,0.009063,1.11
DGBUSDTSWAP,3,20250604,174500,0.009062,0.009076,0.009058,0.009076,6.54
DGBUSDTSWAP,3,20250604,174800,0.009077,0.009095,0.009076,0.009076,15.33
DGBUSDTSWAP,3,20250604,175100,0.009069,0.009069,0.009058,0.009063,3.64
DGBUSDTSWAP,3,20250604,175400,0.00908,0.009096,0.009079,0.009095,1.55
DGBUSDTSWAP,3,20250604,175700,0.0091,0.009125,0.009099,0.009125,4.6
DGBUSDTSWAP,3,20250604,180000,0.009115,0.009119,0.009105,0.009108,6.26
DGBUSDTSWAP,3,20250604,180300,0.009106,0.009108,0.0091,0.009102,1.07
DGBUSDTSWAP,3,20250604,180600,0.009104,0.009158,0.009104,0.009136,76.95
DGBUSDTSWAP,3,20250604,180900,0.009133,0.009156,0.009132,0.009153,2.38
DGBUSDTSWAP,3,20250604,181200,0.00915,0.009164,0.009144,0.009151,5.75
DGBUSDTSWAP,3,20250604,181500,0.009158,0.009187,0.009158,0.009167,8.34
DGBUSDTSWAP,3,20250604,181800,0.009174,0.009189,0.009158,0.009168,19.74
DGBUSDTSWAP,3,20250604,182100,0.009164,0.009183,0.009157,0.009181,3.67
DGBUSDTSWAP,3,20250604,182400,0.009179,0.009182,0.00915,0.009168,7.89
DGBUSDTSWAP,3,20250604,182700,0.009166,0.009175,0.009147,0.009147,1.92
DGBUSDTSWAP,3,20250604,183000,0.009163,0.009173,0.009151,0.009173,6.07
DGBUSDTSWAP,3,20250604,183300,0.00917,0.00917,0.00916,0.009163,2.28
DGBUSDTSWAP,3,20250604,183600,0.009166,0.009201,0.009166,0.009201,8.03
DGBUSDTSWAP,3,20250604,183900,0.009199,0.009217,0.009178,0.009213,16.59
DGBUSDTSWAP,3,20250604,184200,0.00921,0.009219,0.009196,0.009196,1.95
DGBUSDTSWAP,3,20250604,184500,0.009208,0.009215,0.009194,0.009194,4.18
DGBUSDTSWAP,3,20250604,184800,0.009191,0.009192,0.009181,0.009186,1.3
DGBUSDTSWAP,3,20250604,185100,0.009184,0.009192,0.00918,0.00918,3.13
DGBUSDTSWAP,3,20250604,185400,0.009176,0.009189,0.009175,0.009189,1.64
DGBUSDTSWAP,3,20250604,185700,0.009191,0.009191,0.009172,0.009182,1.51
DGBUSDTSWAP,3,20250604,190000,0.009181,0.00919,0.009181,0.009186,19.74
DGBUSDTSWAP,3,20250604,190300,0.009177,0.009183,0.009177,0.009183,4.65
DGBUSDTSWAP,3,20250604,190600,0.00918,0.009183,0.009162,0.009162,4.17
DGBUSDTSWAP,3,20250604,190900,0.009172,0.009184,0.009172,0.009179,0.81
DGBUSDTSWAP,3,20250604,191200,0.009179,0.009182,0.009162,0.009163,1.74
DGBUSDTSWAP,3,20250604,191500,0.009163,0.009172,0.00915,0.00915,5.44
DGBUSDTSWAP,3,20250604,191800,0.009148,0.009151,0.00913,0.009145,6.16
DGBUSDTSWAP,3,20250604,192100,0.009145,0.00916,0.009108,0.009118,23.0
DGBUSDTSWAP,3,20250604,192400,0.009119,0.009119,0.009099,0.009103,7.45
DGBUSDTSWAP,3,20250604,192700,0.009097,0.009114,0.009096,0.009114,16.27
DGBUSDTSWAP,3,20250604,193000,0.009106,0.009106,0.009087,0.009087,7.38
DGBUSDTSWAP,3,20250604,193300,0.009093,0.009106,0.009093,0.009105,1.64
DGBUSDTSWAP,3,20250604,193600,0.009103,0.009103,0.009101,0.009101,0.21
DGBUSDTSWAP,3,20250604,193900,0.009104,0.009115,0.009104,0.009107,1.78
DGBUSDTSWAP,3,20250604,194200,0.009094,0.009094,0.009078,0.009083,1.74
DGBUSDTSWAP,3,20250604,194500,0.009085,0.009109,0.009075,0.009088,12.87
DGBUSDTSWAP,3,20250604,194800,0.009096,0.009113,0.009094,0.009113,10.68
DGBUSDTSWAP,3,20250604,195100,0.009104,0.009105,0.00909,0.00909,1.53
DGBUSDTSWAP,3,20250604,195400,0.009108,0.009113,0.009097,0.009101,1.1
DGBUSDTSWAP,3,20250604,195700,0.009099,0.009107,0.009088,0.009107,1.61
DGBUSDTSWAP,3,20250604,200000,0.009106,0.00911,0.009071,0.009071,10.45
DGBUSDTSWAP,3,20250604,200300,0.009069,0.009075,0.009065,0.009069,6.85
DGBUSDTSWAP,3,20250604,200600,0.009067,0.009067,0.009055,0.009056,1.7
DGBUSDTSWAP,3,20250604,200900,0.009055,0.009058,0.009045,0.00905,34.58
DGBUSDTSWAP,3,20250604,201200,0.009052,0.009075,0.009052,0.009073,14.52
DGBUSDTSWAP,3,20250604,201500,0.009066,0.009066,0.009048,0.009049,1.29
DGBUSDTSWAP,3,20250604,201800,0.009062,0.009062,0.009056,0.009058,1.04
DGBUSDTSWAP,3,20250604,202100,0.009059,0.009077,0.009055,0.009077,2.41
DGBUSDTSWAP,3,20250604,202400,0.009076,0.009076,0.009054,0.009054,0.25
DGBUSDTSWAP,3,20250604,202700,0.009062,0.009064,0.009045,0.009045,0.63
DGBUSDTSWAP,3,20250604,203000,0.00904,0.00904,0.009014,0.009019,6.21
DGBUSDTSWAP,3,20250604,203300,0.009017,0.009027,0.009012,0.009024,0.78
DGBUSDTSWAP,3,20250604,203600,0.009011,0.009015,0.009005,0.009012,2.44
DGBUSDTSWAP,3,20250604,203900,0.009013,0.009036,0.009013,0.009029,2.65
DGBUSDTSWAP,3,20250604,204200,0.009036,0.00905,0.009034,0.009048,2.52
DGBUSDTSWAP,3,20250604,204500,0.009039,0.009054,0.009039,0.009044,1.55
DGBUSDTSWAP,3,20250604,204800,0.009042,0.009069,0.009042,0.009056,3.55
DGBUSDTSWAP,3,20250604,205100,0.009055,0.009072,0.009051,0.009066,2.16
DGBUSDTSWAP,3,20250604,205400,0.00907,0.00907,0.009057,0.009057,1.35
DGBUSDTSWAP,3,20250604,205700,0.009055,0.009058,0.009055,0.009058,0.77
DGBUSDTSWAP,3,20250604,210000,0.009066,0.009067,0.009056,0.009056,4.38
DGBUSDTSWAP,3,20250604,210300,0.009057,0.009066,0.009057,0.009066,2.5
DGBUSDTSWAP,3,20250604,210600,0.009069,0.00907,0.009026,0.009032,7.36
DGBUSDTSWAP,3,20250604,210900,0.009039,0.009048,0.009035,0.009046,2.4
DGBUSDTSWAP,3,20250604,211200,0.009044,0.009047,0.009035,0.009039,1.49
DGBUSDTSWAP,3,20250604,211500,0.009042,0.009049,0.009042,0.009049,2.32
DGBUSDTSWAP,3,20250604,211800,0.009047,0.009056,0.009045,0.009056,2.38
DGBUSDTSWAP,3,20250604,212100,0.009056,0.009056,0.009038,0.009043,0.62
DGBUSDTSWAP,3,20250604,212400,0.009044,0.009051,0.009037,0.009041,2.89
DGBUSDTSWAP,3,20250604,212700,0.00904,0.009042,0.009033,0.009033,2.35
DGBUSDTSWAP,3,20250604,213000,0.009035,0.009049,0.009015,0.009024,6.99
DGBUSDTSWAP,3,20250604,213300,0.009022,0.009026,0.009022,0.009026,0.46
DGBUSDTSWAP,3,20250604,213600,0.009028,0.009038,0.009016,0.009027,5.53
DGBUSDTSWAP,3,20250604,213900,0.009022,0.009022,0.009006,0.009019,6.25
DGBUSDTSWAP,3,20250604,214200,0.009014,0.009016,0.008977,0.008983,18.37
DGBUSDTSWAP,3,20250604,214500,0.008986,0.009003,0.00896,0.00896,19.59
DGBUSDTSWAP,3,20250604,214800,0.008965,0.00897,0.008952,0.008956,7.33
DGBUSDTSWAP,3,20250604,215100,0.008957,0.008971,0.008957,0.008962,3.05
DGBUSDTSWAP,3,20250604,215400,0.00897,0.008978,0.00896,0.008978,4.56
DGBUSDTSWAP,3,20250604,215700,0.008969,0.008995,0.008967,0.008992,4.46
DGBUSDTSWAP,3,20250604,220000,0.00899,0.009003,0.008984,0.008999,15.0
DGBUSDTSWAP,3,20250604,220300,0.008995,0.00901,0.008995,0.008998,9.03
