<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DOGEUSDTSWAP,60,20250531,190000,0.19167,0.19383,0.19083,0.19301,32821.39
DOGEUSDTSWAP,60,20250531,200000,0.193,0.19335,0.19126,0.1915,21016.72
DOGEUSDTSWAP,60,20250531,210000,0.19151,0.19319,0.19128,0.19277,11457.54
DOGEUSDTSWAP,60,20250531,220000,0.19277,0.19495,0.19277,0.19444,20407.52
DOGEUSDTSWAP,60,20250531,230000,0.19443,0.19484,0.19357,0.19439,12225.78
DOGEUSDTSWAP,60,20250601,000000,0.19439,0.19543,0.19395,0.19469,25318.1
DOGEUSDTSWAP,60,20250601,010000,0.19469,0.19496,0.19301,0.19309,9915.68
DOGEUSDTSWAP,60,20250601,020000,0.19309,0.1944,0.19203,0.1924,29374.45
DOGEUSDTSWAP,60,20250601,030000,0.19239,0.1925,0.19082,0.1914,21703.41
DOGEUSDTSWAP,60,20250601,040000,0.19141,0.19194,0.18837,0.18931,41982.04
DOGEUSDTSWAP,60,20250601,050000,0.18931,0.19016,0.1878,0.18961,37401.99
DOGEUSDTSWAP,60,20250601,060000,0.18962,0.1902,0.18809,0.19001,21850.81
DOGEUSDTSWAP,60,20250601,070000,0.19001,0.19214,0.18962,0.19168,27200.25
DOGEUSDTSWAP,60,20250601,080000,0.19167,0.19205,0.19052,0.19069,20220.69
DOGEUSDTSWAP,60,20250601,090000,0.1907,0.19071,0.18934,0.18965,20013.7
DOGEUSDTSWAP,60,20250601,100000,0.18963,0.19017,0.18904,0.19002,16950.42
DOGEUSDTSWAP,60,20250601,110000,0.19001,0.19018,0.18853,0.18933,19473.0
DOGEUSDTSWAP,60,20250601,120000,0.18933,0.18995,0.186,0.18746,62736.9
DOGEUSDTSWAP,60,20250601,130000,0.18745,0.18862,0.18681,0.18848,31427.84
DOGEUSDTSWAP,60,20250601,140000,0.18848,0.18965,0.18792,0.18931,18747.71
DOGEUSDTSWAP,60,20250601,150000,0.18931,0.18947,0.1872,0.18789,28338.15
DOGEUSDTSWAP,60,20250601,160000,0.18788,0.18958,0.1877,0.18898,19473.96
DOGEUSDTSWAP,60,20250601,170000,0.18899,0.19229,0.18897,0.1912,43228.29
DOGEUSDTSWAP,60,20250601,180000,0.19119,0.19241,0.19058,0.19174,29312.6
DOGEUSDTSWAP,60,20250601,190000,0.19172,0.19466,0.19166,0.19313,61170.8
DOGEUSDTSWAP,60,20250601,200000,0.19313,0.19343,0.19256,0.19268,17556.3
DOGEUSDTSWAP,60,20250601,210000,0.19268,0.19271,0.18887,0.19073,43773.3
DOGEUSDTSWAP,60,20250601,220000,0.19074,0.19186,0.19044,0.1918,16927.38
DOGEUSDTSWAP,60,20250601,230000,0.19178,0.19246,0.19082,0.19129,19905.38
DOGEUSDTSWAP,60,20250602,000000,0.19128,0.19322,0.19095,0.19309,13687.85
DOGEUSDTSWAP,60,20250602,010000,0.1931,0.19423,0.19291,0.1935,19850.54
DOGEUSDTSWAP,60,20250602,020000,0.19349,0.19475,0.19325,0.19349,19912.46
DOGEUSDTSWAP,60,20250602,030000,0.19349,0.1943,0.19239,0.19276,24443.22
DOGEUSDTSWAP,60,20250602,040000,0.19276,0.19409,0.192,0.19201,19352.28
DOGEUSDTSWAP,60,20250602,050000,0.19201,0.19217,0.19048,0.19073,25772.99
DOGEUSDTSWAP,60,20250602,060000,0.19073,0.1909,0.18906,0.1902,32024.74
DOGEUSDTSWAP,60,20250602,070000,0.1902,0.19151,0.1899,0.19033,21561.58
DOGEUSDTSWAP,60,20250602,080000,0.19034,0.1912,0.18948,0.19064,13367.8
DOGEUSDTSWAP,60,20250602,090000,0.19064,0.19229,0.19001,0.19172,24858.45
DOGEUSDTSWAP,60,20250602,100000,0.19171,0.19329,0.1916,0.1918,21037.4
DOGEUSDTSWAP,60,20250602,110000,0.19179,0.19299,0.19073,0.19105,24132.01
DOGEUSDTSWAP,60,20250602,120000,0.19106,0.19109,0.18925,0.1896,31752.15
DOGEUSDTSWAP,60,20250602,130000,0.18959,0.19088,0.18913,0.19,29786.41
DOGEUSDTSWAP,60,20250602,140000,0.19,0.19038,0.18841,0.1892,21351.35
DOGEUSDTSWAP,60,20250602,150000,0.18919,0.19043,0.18853,0.19035,19263.5
DOGEUSDTSWAP,60,20250602,160000,0.19036,0.19149,0.18894,0.18935,35690.75
DOGEUSDTSWAP,60,20250602,170000,0.18934,0.1924,0.18855,0.19145,48568.36
DOGEUSDTSWAP,60,20250602,180000,0.19144,0.19301,0.18998,0.1918,34909.51
DOGEUSDTSWAP,60,20250602,190000,0.19181,0.19191,0.19017,0.1917,20886.15
DOGEUSDTSWAP,60,20250602,200000,0.19171,0.19281,0.19071,0.1923,18778.93
DOGEUSDTSWAP,60,20250602,210000,0.1923,0.19363,0.19092,0.1911,19173.61
DOGEUSDTSWAP,60,20250602,220000,0.19109,0.19181,0.18876,0.19012,23294.61
DOGEUSDTSWAP,60,20250602,230000,0.19013,0.19264,0.19011,0.19195,20909.19
DOGEUSDTSWAP,60,20250603,000000,0.19195,0.19348,0.19192,0.19342,17172.14
DOGEUSDTSWAP,60,20250603,010000,0.19342,0.19633,0.1934,0.19473,38198.79
DOGEUSDTSWAP,60,20250603,020000,0.19474,0.1959,0.19448,0.19498,24973.11
DOGEUSDTSWAP,60,20250603,030000,0.19498,0.19783,0.19441,0.19667,41482.69
DOGEUSDTSWAP,60,20250603,040000,0.19668,0.20011,0.19622,0.19967,46044.58
DOGEUSDTSWAP,60,20250603,050000,0.19968,0.20038,0.19611,0.1966,55156.64
DOGEUSDTSWAP,60,20250603,060000,0.19659,0.19686,0.19456,0.1956,36864.36
DOGEUSDTSWAP,60,20250603,070000,0.19561,0.19575,0.19415,0.19455,22076.87
DOGEUSDTSWAP,60,20250603,080000,0.19454,0.19638,0.19454,0.1962,20921.42
DOGEUSDTSWAP,60,20250603,090000,0.1962,0.19632,0.19513,0.1963,12687.78
DOGEUSDTSWAP,60,20250603,100000,0.19631,0.19638,0.19502,0.19515,13282.36
DOGEUSDTSWAP,60,20250603,110000,0.19516,0.19536,0.19316,0.19399,36861.79
DOGEUSDTSWAP,60,20250603,120000,0.194,0.19516,0.1936,0.19473,18922.07
