<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DOGSUSDTSWAP,1440,20250225,030000,0.0001479,0.0001613,0.0001385,0.0001586,31480.69
DOGSUSDTSWAP,1440,20250226,030000,0.0001587,0.0001693,0.0001575,0.0001678,15381.31
DOGSUSDTSWAP,1440,20250227,030000,0.0001679,0.0001793,0.0001649,0.0001722,13637.54
DOGSUSDTSWAP,1440,20250228,030000,0.0001722,0.000183,0.0001549,0.0001772,27477.8
DOGSUSDTSWAP,1440,20250301,030000,0.0001773,0.00018,0.0001635,0.0001689,11208.78
DOGSUSDTSWAP,1440,20250302,030000,0.0001689,0.0002008,0.0001647,0.000199,21477.21
DOGSUSDTSWAP,1440,20250303,030000,0.0001989,0.0002002,0.0001563,0.0001618,29410.59
DOGSUSDTSWAP,1440,20250304,030000,0.0001617,0.0001633,0.0001413,0.0001559,34850.97
DOGSUSDTSWAP,1440,20250305,030000,0.000156,0.0001603,0.0001503,0.0001575,14264.28
DOGSUSDTSWAP,1440,20250306,030000,0.0001574,0.0001589,0.0001449,0.0001494,12572.4
DOGSUSDTSWAP,1440,20250307,030000,0.0001494,0.000151,0.0001391,0.0001416,19945.93
DOGSUSDTSWAP,1440,20250308,030000,0.0001415,0.0001432,0.0001283,0.0001334,14413.73
DOGSUSDTSWAP,1440,20250309,030000,0.0001333,0.000134,0.0001181,0.0001242,18501.34
DOGSUSDTSWAP,1440,20250310,030000,0.0001241,0.0001353,0.0001161,0.0001186,16542.43
DOGSUSDTSWAP,1440,20250311,030000,0.0001187,0.0001287,0.0001079,0.0001246,22943.24
DOGSUSDTSWAP,1440,20250312,030000,0.0001246,0.0001316,0.0001204,0.0001293,12916.07
DOGSUSDTSWAP,1440,20250313,030000,0.0001292,0.0001328,0.0001241,0.0001286,10324.84
DOGSUSDTSWAP,1440,20250314,030000,0.0001286,0.0001399,0.0001282,0.0001336,9498.95
DOGSUSDTSWAP,1440,20250315,030000,0.0001336,0.0001528,0.0001314,0.0001482,23146.84
DOGSUSDTSWAP,1440,20250316,030000,0.0001481,0.0001552,0.0001387,0.0001389,26377.53
DOGSUSDTSWAP,1440,20250317,030000,0.0001389,0.0001463,0.0001388,0.0001428,15703.37
DOGSUSDTSWAP,1440,20250318,030000,0.0001427,0.0001459,0.0001362,0.0001449,17559.63
DOGSUSDTSWAP,1440,20250319,030000,0.0001449,0.0001469,0.0001385,0.0001456,16603.51
DOGSUSDTSWAP,1440,20250320,030000,0.0001456,0.0001493,0.0001388,0.0001446,15900.39
DOGSUSDTSWAP,1440,20250321,030000,0.0001445,0.0001616,0.0001444,0.0001551,40213.83
DOGSUSDTSWAP,1440,20250322,030000,0.000155,0.0001997,0.0001539,0.0001579,141508.94
DOGSUSDTSWAP,1440,20250323,030000,0.0001579,0.0001645,0.0001543,0.0001585,34166.68
DOGSUSDTSWAP,1440,20250324,030000,0.0001585,0.0001671,0.0001556,0.0001662,29976.66
DOGSUSDTSWAP,1440,20250325,030000,0.0001661,0.0001707,0.0001596,0.0001686,14820.12
DOGSUSDTSWAP,1440,20250326,030000,0.0001686,0.0001752,0.0001598,0.0001667,16316.06
DOGSUSDTSWAP,1440,20250327,030000,0.0001668,0.0001728,0.0001627,0.0001704,19076.02
DOGSUSDTSWAP,1440,20250328,030000,0.0001703,0.0001729,0.0001458,0.0001509,22979.05
DOGSUSDTSWAP,1440,20250329,030000,0.0001508,0.000152,0.0001298,0.0001313,18335.92
DOGSUSDTSWAP,1440,20250330,030000,0.0001314,0.0001431,0.0001286,0.0001408,43417.85
DOGSUSDTSWAP,1440,20250331,030000,0.0001409,0.0001466,0.0001323,0.0001433,37100.08
DOGSUSDTSWAP,1440,20250401,030000,0.0001433,0.0001494,0.0001374,0.0001387,31209.0
DOGSUSDTSWAP,1440,20250402,030000,0.0001387,0.0001432,0.0001287,0.0001323,31238.84
DOGSUSDTSWAP,1440,20250403,030000,0.0001323,0.0001372,0.0001222,0.0001277,16682.81
DOGSUSDTSWAP,1440,20250404,030000,0.0001278,0.0001325,0.0001253,0.0001293,13219.26
DOGSUSDTSWAP,1440,20250405,030000,0.0001294,0.0001307,0.0001237,0.0001267,7031.13
DOGSUSDTSWAP,1440,20250406,030000,0.0001266,0.0001266,0.0001059,0.0001093,15561.28
