<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DOGSUSDTSWAP,60,20250531,190000,0.0001458,0.0001487,0.000145,0.0001478,220.51
DOGSUSDTSWAP,60,20250531,200000,0.0001477,0.0001481,0.0001459,0.000146,163.15
DOGSUSDTSWAP,60,20250531,210000,0.000146,0.0001487,0.0001458,0.0001485,122.8
DOGSUSDTSWAP,60,20250531,220000,0.0001484,0.0001496,0.0001482,0.0001486,165.2
DOGSUSDTSWAP,60,20250531,230000,0.0001487,0.0001493,0.0001481,0.0001486,138.63
DOGSUSDTSWAP,60,20250601,000000,0.0001485,0.0001504,0.0001485,0.0001497,339.64
DOGSUSDTSWAP,60,20250601,010000,0.0001497,0.0001501,0.0001485,0.0001486,107.5
DOGSUSDTSWAP,60,20250601,020000,0.0001486,0.0001497,0.0001473,0.0001483,145.44
DOGSUSDTSWAP,60,20250601,030000,0.0001482,0.0001487,0.0001464,0.0001476,133.93
DOGSUSDTSWAP,60,20250601,040000,0.0001475,0.0001493,0.0001466,0.0001471,144.31
DOGSUSDTSWAP,60,20250601,050000,0.000147,0.0001496,0.0001457,0.0001493,178.18
DOGSUSDTSWAP,60,20250601,060000,0.0001493,0.0001495,0.0001479,0.0001485,188.08
DOGSUSDTSWAP,60,20250601,070000,0.0001484,0.000151,0.0001482,0.00015,96.61
DOGSUSDTSWAP,60,20250601,080000,0.0001501,0.0001513,0.0001499,0.0001508,141.3
DOGSUSDTSWAP,60,20250601,090000,0.0001508,0.0001511,0.0001495,0.0001497,109.0
DOGSUSDTSWAP,60,20250601,100000,0.0001496,0.0001502,0.0001486,0.0001501,94.5
DOGSUSDTSWAP,60,20250601,110000,0.00015,0.0001502,0.0001481,0.0001486,128.34
DOGSUSDTSWAP,60,20250601,120000,0.0001486,0.000149,0.0001452,0.0001464,224.34
DOGSUSDTSWAP,60,20250601,130000,0.0001464,0.0001476,0.000146,0.0001472,120.84
DOGSUSDTSWAP,60,20250601,140000,0.0001471,0.0001488,0.0001464,0.0001481,114.59
DOGSUSDTSWAP,60,20250601,150000,0.0001481,0.0001485,0.0001459,0.000147,90.9
DOGSUSDTSWAP,60,20250601,160000,0.000147,0.0001491,0.0001469,0.0001485,114.78
DOGSUSDTSWAP,60,20250601,170000,0.0001484,0.0001511,0.0001484,0.00015,148.82
DOGSUSDTSWAP,60,20250601,180000,0.00015,0.0001523,0.0001492,0.0001512,352.47
DOGSUSDTSWAP,60,20250601,190000,0.0001512,0.0001533,0.0001507,0.0001522,268.77
DOGSUSDTSWAP,60,20250601,200000,0.0001522,0.0001531,0.0001516,0.0001523,84.22
DOGSUSDTSWAP,60,20250601,210000,0.0001522,0.0001523,0.0001491,0.0001505,157.77
DOGSUSDTSWAP,60,20250601,220000,0.0001505,0.0001521,0.0001505,0.0001518,106.82
DOGSUSDTSWAP,60,20250601,230000,0.0001519,0.0001537,0.0001514,0.0001529,67.91
DOGSUSDTSWAP,60,20250602,000000,0.0001529,0.0001542,0.0001526,0.000154,76.62
DOGSUSDTSWAP,60,20250602,010000,0.000154,0.0001564,0.000154,0.0001547,152.86
DOGSUSDTSWAP,60,20250602,020000,0.0001548,0.000156,0.0001547,0.0001551,72.16
DOGSUSDTSWAP,60,20250602,030000,0.0001551,0.0001553,0.000154,0.0001546,66.63
DOGSUSDTSWAP,60,20250602,040000,0.0001547,0.0001557,0.0001527,0.0001537,233.48
DOGSUSDTSWAP,60,20250602,050000,0.0001538,0.0001538,0.0001515,0.000152,90.33
DOGSUSDTSWAP,60,20250602,060000,0.0001521,0.0001524,0.0001506,0.0001517,88.0
DOGSUSDTSWAP,60,20250602,070000,0.0001518,0.0001523,0.0001505,0.0001506,107.7
DOGSUSDTSWAP,60,20250602,080000,0.0001506,0.0001522,0.0001488,0.00015,187.32
DOGSUSDTSWAP,60,20250602,090000,0.00015,0.0001527,0.0001485,0.0001516,215.85
DOGSUSDTSWAP,60,20250602,100000,0.0001517,0.0001535,0.0001515,0.0001522,118.09
DOGSUSDTSWAP,60,20250602,110000,0.0001522,0.0001532,0.0001506,0.0001511,84.17
DOGSUSDTSWAP,60,20250602,120000,0.0001511,0.0001511,0.0001483,0.0001491,215.94
DOGSUSDTSWAP,60,20250602,130000,0.000149,0.0001497,0.000148,0.0001491,217.0
DOGSUSDTSWAP,60,20250602,140000,0.000149,0.0001502,0.0001486,0.0001494,77.07
DOGSUSDTSWAP,60,20250602,150000,0.0001495,0.0001518,0.0001487,0.0001511,139.62
DOGSUSDTSWAP,60,20250602,160000,0.0001512,0.0001524,0.0001499,0.0001505,137.53
DOGSUSDTSWAP,60,20250602,170000,0.0001504,0.0001533,0.00015,0.0001523,211.34
DOGSUSDTSWAP,60,20250602,180000,0.0001524,0.0001531,0.0001509,0.0001522,92.19
DOGSUSDTSWAP,60,20250602,190000,0.0001522,0.0001525,0.0001502,0.0001522,93.85
DOGSUSDTSWAP,60,20250602,200000,0.0001522,0.0001527,0.0001496,0.0001506,503.41
DOGSUSDTSWAP,60,20250602,210000,0.0001506,0.000152,0.0001497,0.0001499,209.87
DOGSUSDTSWAP,60,20250602,220000,0.0001498,0.0001507,0.0001483,0.0001494,165.09
DOGSUSDTSWAP,60,20250602,230000,0.0001495,0.0001538,0.0001495,0.0001537,336.33
DOGSUSDTSWAP,60,20250603,000000,0.0001537,0.0001553,0.0001536,0.0001548,238.1
DOGSUSDTSWAP,60,20250603,010000,0.000155,0.0001568,0.0001549,0.0001556,177.64
DOGSUSDTSWAP,60,20250603,020000,0.0001557,0.000157,0.0001556,0.0001561,181.19
DOGSUSDTSWAP,60,20250603,030000,0.0001562,0.0001603,0.0001555,0.0001594,403.41
