<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DOGUSDTSWAP,60,20250531,190000,0.004344,0.0045,0.004285,0.004414,180.48
DOGUSDTSWAP,60,20250531,200000,0.004417,0.004468,0.004391,0.004425,69.57
DOGUSDTSWAP,60,20250531,210000,0.004423,0.004569,0.004418,0.004567,202.45
DOGUSDTSWAP,60,20250531,220000,0.004568,0.004648,0.004564,0.004618,316.94
DOGUSDTSWAP,60,20250531,230000,0.004616,0.004704,0.004529,0.004686,200.83
DOGUSDTSWAP,60,20250601,000000,0.004686,0.004713,0.004589,0.004614,188.89
DOGUSDTSWAP,60,20250601,010000,0.004613,0.004705,0.004588,0.004675,117.53
DOGUSDTSWAP,60,20250601,020000,0.004672,0.004797,0.004637,0.00475,356.55
DOGUSDTSWAP,60,20250601,030000,0.004745,0.004825,0.004628,0.004787,352.4
DOGUSDTSWAP,60,20250601,040000,0.004784,0.004802,0.004648,0.004683,316.49
DOGUSDTSWAP,60,20250601,050000,0.004681,0.004767,0.004604,0.004727,509.94
DOGUSDTSWAP,60,20250601,060000,0.004728,0.004733,0.00465,0.004651,213.8
DOGUSDTSWAP,60,20250601,070000,0.004651,0.004731,0.0046,0.004694,317.29
DOGUSDTSWAP,60,20250601,080000,0.004691,0.004701,0.004667,0.004676,47.34
DOGUSDTSWAP,60,20250601,090000,0.004677,0.004688,0.004613,0.004624,74.02
DOGUSDTSWAP,60,20250601,100000,0.004624,0.004632,0.00455,0.004589,303.12
DOGUSDTSWAP,60,20250601,110000,0.004585,0.004589,0.0045,0.004507,160.06
DOGUSDTSWAP,60,20250601,120000,0.004509,0.004556,0.004337,0.004377,453.2
DOGUSDTSWAP,60,20250601,130000,0.004377,0.004476,0.004355,0.004422,154.1
DOGUSDTSWAP,60,20250601,140000,0.004422,0.004467,0.004401,0.004428,79.76
DOGUSDTSWAP,60,20250601,150000,0.004431,0.004436,0.004347,0.004368,71.84
DOGUSDTSWAP,60,20250601,160000,0.004364,0.004506,0.004362,0.004484,87.67
DOGUSDTSWAP,60,20250601,170000,0.004485,0.00459,0.004485,0.004555,90.09
DOGUSDTSWAP,60,20250601,180000,0.004552,0.004611,0.004538,0.00455,68.61
DOGUSDTSWAP,60,20250601,190000,0.004547,0.004729,0.004505,0.004591,224.74
DOGUSDTSWAP,60,20250601,200000,0.004593,0.00462,0.004509,0.004588,107.28
DOGUSDTSWAP,60,20250601,210000,0.004588,0.00466,0.004537,0.004636,225.84
DOGUSDTSWAP,60,20250601,220000,0.004641,0.004642,0.004553,0.004602,188.15
DOGUSDTSWAP,60,20250601,230000,0.004603,0.004665,0.00455,0.004636,94.08
DOGUSDTSWAP,60,20250602,000000,0.004635,0.004709,0.004632,0.00467,31.45
DOGUSDTSWAP,60,20250602,010000,0.004666,0.004716,0.004651,0.004715,53.19
DOGUSDTSWAP,60,20250602,020000,0.004713,0.00476,0.004681,0.004711,60.49
DOGUSDTSWAP,60,20250602,030000,0.00471,0.004717,0.00467,0.004706,47.15
DOGUSDTSWAP,60,20250602,040000,0.004707,0.004768,0.004683,0.004695,44.33
DOGUSDTSWAP,60,20250602,050000,0.004693,0.0047,0.004557,0.004568,138.96
