<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DOGUSDTSWAP,3,20250604,172700,0.004758,0.00476,0.004749,0.004758,0.79
DOGUSDTSWAP,3,20250604,173000,0.004756,0.00477,0.004749,0.00477,3.21
DOGUSDTSWAP,3,20250604,173300,0.004764,0.004785,0.004763,0.00478,2.64
DOGUSDTSWAP,3,20250604,173600,0.004779,0.004779,0.004741,0.004748,15.85
DOGUSDTSWAP,3,20250604,173900,0.004742,0.004751,0.004739,0.004746,2.26
DOGUSDTSWAP,3,20250604,174200,0.004744,0.004758,0.004738,0.004755,7.39
DOGUSDTSWAP,3,20250604,174500,0.004753,0.004761,0.004748,0.004761,1.87
DOGUSDTSWAP,3,20250604,174800,0.004764,0.004773,0.004755,0.004761,1.99
DOGUSDTSWAP,3,20250604,175100,0.004755,0.004765,0.004751,0.004765,1.44
DOGUSDTSWAP,3,20250604,175400,0.004765,0.004785,0.004765,0.004785,1.1
DOGUSDTSWAP,3,20250604,175700,0.004784,0.004801,0.004777,0.004793,14.11
DOGUSDTSWAP,3,20250604,180000,0.004791,0.004799,0.004757,0.004757,6.71
DOGUSDTSWAP,3,20250604,180300,0.004757,0.004757,0.004737,0.004741,2.72
DOGUSDTSWAP,3,20250604,180600,0.004745,0.004758,0.004737,0.004742,6.5
DOGUSDTSWAP,3,20250604,180900,0.004742,0.004758,0.004742,0.004758,1.46
DOGUSDTSWAP,3,20250604,181200,0.004759,0.004763,0.004753,0.004758,9.41
DOGUSDTSWAP,3,20250604,181500,0.00476,0.004785,0.004759,0.004776,3.97
DOGUSDTSWAP,3,20250604,181800,0.004774,0.004776,0.004762,0.004762,2.89
DOGUSDTSWAP,3,20250604,182100,0.004761,0.004771,0.004757,0.004767,1.32
DOGUSDTSWAP,3,20250604,182400,0.004769,0.004778,0.004766,0.004766,2.26
DOGUSDTSWAP,3,20250604,182700,0.004765,0.004778,0.004757,0.004757,4.96
DOGUSDTSWAP,3,20250604,183000,0.004766,0.00478,0.004757,0.004778,3.33
DOGUSDTSWAP,3,20250604,183300,0.00478,0.00478,0.004761,0.004763,1.41
DOGUSDTSWAP,3,20250604,183600,0.004764,0.004798,0.004764,0.004792,6.66
DOGUSDTSWAP,3,20250604,183900,0.004783,0.004829,0.004782,0.004826,21.58
DOGUSDTSWAP,3,20250604,184200,0.004827,0.00484,0.004808,0.004832,24.03
DOGUSDTSWAP,3,20250604,184500,0.004831,0.004847,0.004819,0.004819,11.18
DOGUSDTSWAP,3,20250604,184800,0.004822,0.004823,0.004808,0.004816,1.65
DOGUSDTSWAP,3,20250604,185100,0.004815,0.004836,0.004815,0.00482,6.26
DOGUSDTSWAP,3,20250604,185400,0.00482,0.004852,0.004801,0.004833,42.03
DOGUSDTSWAP,3,20250604,185700,0.004832,0.004833,0.004811,0.004815,2.07
DOGUSDTSWAP,3,20250604,190000,0.004817,0.004867,0.004811,0.004854,21.47
DOGUSDTSWAP,3,20250604,190300,0.004854,0.004913,0.004854,0.004878,39.44
DOGUSDTSWAP,3,20250604,190600,0.004874,0.00488,0.004852,0.00486,22.3
DOGUSDTSWAP,3,20250604,190900,0.004861,0.004907,0.004861,0.004901,8.0
DOGUSDTSWAP,3,20250604,191200,0.0049,0.004912,0.004887,0.004894,6.29
DOGUSDTSWAP,3,20250604,191500,0.004897,0.004916,0.004859,0.004878,32.37
DOGUSDTSWAP,3,20250604,191800,0.004881,0.004914,0.004877,0.004912,4.35
DOGUSDTSWAP,3,20250604,192100,0.00491,0.004948,0.004861,0.004884,70.31
DOGUSDTSWAP,3,20250604,192400,0.004883,0.004886,0.004844,0.004844,19.01
DOGUSDTSWAP,3,20250604,192700,0.004852,0.004853,0.004824,0.004843,14.44
DOGUSDTSWAP,3,20250604,193000,0.004844,0.004844,0.004819,0.004819,2.19
DOGUSDTSWAP,3,20250604,193300,0.004826,0.004828,0.004806,0.004816,5.33
DOGUSDTSWAP,3,20250604,193600,0.004817,0.004833,0.004798,0.004805,13.53
DOGUSDTSWAP,3,20250604,193900,0.004808,0.004821,0.004797,0.004799,4.34
DOGUSDTSWAP,3,20250604,194200,0.004801,0.004805,0.004788,0.0048,2.68
DOGUSDTSWAP,3,20250604,194500,0.0048,0.004803,0.004782,0.004798,2.31
DOGUSDTSWAP,3,20250604,194800,0.004799,0.004818,0.004796,0.004818,7.2
DOGUSDTSWAP,3,20250604,195100,0.004818,0.00485,0.00481,0.00485,4.64
DOGUSDTSWAP,3,20250604,195400,0.004846,0.004874,0.004846,0.004858,5.91
DOGUSDTSWAP,3,20250604,195700,0.004852,0.004867,0.004852,0.004862,0.71
DOGUSDTSWAP,3,20250604,200000,0.004862,0.004862,0.004844,0.004856,2.8
DOGUSDTSWAP,3,20250604,200300,0.004861,0.004873,0.004861,0.004864,0.72
DOGUSDTSWAP,3,20250604,200600,0.00486,0.004867,0.004842,0.004852,10.48
DOGUSDTSWAP,3,20250604,200900,0.004851,0.004851,0.004812,0.004823,3.21
DOGUSDTSWAP,3,20250604,201200,0.004824,0.00485,0.004824,0.004847,2.49
DOGUSDTSWAP,3,20250604,201500,0.004836,0.004895,0.004828,0.004855,37.81
DOGUSDTSWAP,3,20250604,201800,0.004857,0.004876,0.004842,0.004853,9.96
DOGUSDTSWAP,3,20250604,202100,0.004858,0.004858,0.004844,0.004848,0.7
DOGUSDTSWAP,3,20250604,202400,0.004849,0.004849,0.004831,0.00484,0.79
DOGUSDTSWAP,3,20250604,202700,0.00484,0.004862,0.004817,0.004822,8.93
DOGUSDTSWAP,3,20250604,203000,0.004818,0.004822,0.00481,0.004814,1.48
DOGUSDTSWAP,3,20250604,203300,0.00481,0.004827,0.004804,0.004806,3.98
DOGUSDTSWAP,3,20250604,203600,0.004802,0.004802,0.004783,0.004796,8.68
DOGUSDTSWAP,3,20250604,203900,0.004796,0.004802,0.004788,0.004798,2.69
DOGUSDTSWAP,3,20250604,204200,0.004795,0.004797,0.00479,0.004795,0.79
DOGUSDTSWAP,3,20250604,204500,0.004796,0.004801,0.004787,0.004795,0.74
DOGUSDTSWAP,3,20250604,204800,0.004797,0.004845,0.004795,0.00484,13.85
DOGUSDTSWAP,3,20250604,205100,0.004832,0.00488,0.004832,0.004877,5.49
DOGUSDTSWAP,3,20250604,205400,0.004874,0.004881,0.004856,0.004876,8.56
DOGUSDTSWAP,3,20250604,205700,0.004877,0.004885,0.004869,0.004883,2.05
DOGUSDTSWAP,3,20250604,210000,0.004887,0.00494,0.004887,0.004932,11.79
DOGUSDTSWAP,3,20250604,210300,0.004931,0.004966,0.004931,0.00496,6.62
DOGUSDTSWAP,3,20250604,210600,0.004955,0.004964,0.004932,0.004934,10.73
DOGUSDTSWAP,3,20250604,210900,0.004937,0.004941,0.004923,0.004937,13.53
DOGUSDTSWAP,3,20250604,211200,0.004935,0.004955,0.004925,0.00494,2.73
DOGUSDTSWAP,3,20250604,211500,0.004943,0.004944,0.004915,0.004924,9.37
DOGUSDTSWAP,3,20250604,211800,0.004915,0.004928,0.004913,0.004923,1.53
DOGUSDTSWAP,3,20250604,212100,0.004925,0.004932,0.004922,0.004923,1.6
DOGUSDTSWAP,3,20250604,212400,0.004923,0.004927,0.004911,0.004923,1.38
DOGUSDTSWAP,3,20250604,212700,0.004925,0.004939,0.004925,0.004934,1.62
DOGUSDTSWAP,3,20250604,213000,0.004932,0.004939,0.0049,0.004906,15.19
