<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DOODUSDTSWAP,60,20250531,190000,0.002792,0.002859,0.002782,0.002835,133.6
DOODUSDTSWAP,60,20250531,200000,0.002835,0.002846,0.002788,0.002802,83.93
DOODUSDTSWAP,60,20250531,210000,0.002803,0.00283,0.0028,0.00282,40.91
DOODUSDTSWAP,60,20250531,220000,0.002821,0.002824,0.002799,0.002805,40.98
DOODUSDTSWAP,60,20250531,230000,0.002806,0.002823,0.002802,0.00282,43.41
DOODUSDTSWAP,60,20250601,000000,0.00282,0.002858,0.002818,0.00284,69.87
DOODUSDTSWAP,60,20250601,010000,0.00284,0.002841,0.002817,0.002822,46.66
DOODUSDTSWAP,60,20250601,020000,0.002822,0.002837,0.00281,0.002828,83.67
DOODUSDTSWAP,60,20250601,030000,0.002827,0.002938,0.002823,0.002907,310.28
DOODUSDTSWAP,60,20250601,040000,0.002909,0.002924,0.002842,0.002853,233.78
DOODUSDTSWAP,60,20250601,050000,0.002853,0.002915,0.002811,0.002899,234.4
DOODUSDTSWAP,60,20250601,060000,0.002898,0.002968,0.002898,0.002934,338.52
DOODUSDTSWAP,60,20250601,070000,0.002935,0.003073,0.002905,0.00304,828.33
DOODUSDTSWAP,60,20250601,080000,0.003041,0.003099,0.003013,0.003086,704.94
DOODUSDTSWAP,60,20250601,090000,0.003085,0.003155,0.003025,0.003059,1113.32
DOODUSDTSWAP,60,20250601,100000,0.003059,0.003118,0.002974,0.003069,1200.21
DOODUSDTSWAP,60,20250601,110000,0.003069,0.003103,0.003004,0.003033,744.44
DOODUSDTSWAP,60,20250601,120000,0.003034,0.003039,0.002945,0.002969,562.98
DOODUSDTSWAP,60,20250601,130000,0.002969,0.003001,0.002956,0.002985,291.87
DOODUSDTSWAP,60,20250601,140000,0.002984,0.003026,0.002969,0.002993,261.7
DOODUSDTSWAP,60,20250601,150000,0.002993,0.002996,0.002953,0.002976,275.56
DOODUSDTSWAP,60,20250601,160000,0.002978,0.003062,0.002964,0.003031,542.45
DOODUSDTSWAP,60,20250601,170000,0.00303,0.003071,0.003009,0.003027,336.62
DOODUSDTSWAP,60,20250601,180000,0.003026,0.003034,0.002958,0.00298,311.31
DOODUSDTSWAP,60,20250601,190000,0.00298,0.003069,0.00297,0.003012,408.86
DOODUSDTSWAP,60,20250601,200000,0.003013,0.003041,0.003002,0.003004,150.07
DOODUSDTSWAP,60,20250601,210000,0.003003,0.003004,0.002927,0.00296,218.45
DOODUSDTSWAP,60,20250601,220000,0.002958,0.003046,0.002952,0.00304,224.57
DOODUSDTSWAP,60,20250601,230000,0.003039,0.00311,0.003022,0.003087,161.53
DOODUSDTSWAP,60,20250602,000000,0.003088,0.003137,0.003063,0.003119,227.91
DOODUSDTSWAP,60,20250602,010000,0.003117,0.003163,0.003117,0.003139,153.22
DOODUSDTSWAP,60,20250602,020000,0.003139,0.003201,0.003139,0.003158,185.82
DOODUSDTSWAP,60,20250602,030000,0.00316,0.00316,0.003061,0.003068,210.07
DOODUSDTSWAP,60,20250602,040000,0.003068,0.003099,0.003054,0.003068,160.94
DOODUSDTSWAP,60,20250602,050000,0.003067,0.003086,0.003006,0.003029,344.82
DOODUSDTSWAP,60,20250602,060000,0.003031,0.003042,0.003005,0.003025,146.22
DOODUSDTSWAP,60,20250602,070000,0.003024,0.003026,0.002982,0.002988,136.23
DOODUSDTSWAP,60,20250602,080000,0.002989,0.003005,0.002951,0.002976,240.43
DOODUSDTSWAP,60,20250602,090000,0.002976,0.003048,0.002957,0.003033,288.64
DOODUSDTSWAP,60,20250602,100000,0.003032,0.003066,0.003027,0.003057,176.19
DOODUSDTSWAP,60,20250602,110000,0.003058,0.003082,0.003008,0.003028,254.28
DOODUSDTSWAP,60,20250602,120000,0.003029,0.00304,0.00299,0.00302,263.05
DOODUSDTSWAP,60,20250602,130000,0.003019,0.00302,0.002962,0.002987,288.9
DOODUSDTSWAP,60,20250602,140000,0.002986,0.002993,0.002932,0.002968,274.07
DOODUSDTSWAP,60,20250602,150000,0.002968,0.002999,0.002931,0.002996,230.46
DOODUSDTSWAP,60,20250602,160000,0.002996,0.003033,0.002958,0.002987,310.83
DOODUSDTSWAP,60,20250602,170000,0.002987,0.003055,0.002974,0.003017,249.64
DOODUSDTSWAP,60,20250602,180000,0.003016,0.00304,0.003,0.003012,166.56
DOODUSDTSWAP,60,20250602,190000,0.003012,0.003036,0.00298,0.003022,133.77
DOODUSDTSWAP,60,20250602,200000,0.003026,0.003036,0.002992,0.003009,106.0
DOODUSDTSWAP,60,20250602,210000,0.00301,0.003032,0.002984,0.00299,122.55
DOODUSDTSWAP,60,20250602,220000,0.00299,0.002999,0.002934,0.002965,108.26
DOODUSDTSWAP,60,20250602,230000,0.002966,0.003058,0.002966,0.003056,120.42
DOODUSDTSWAP,60,20250603,000000,0.003056,0.003087,0.003046,0.003067,120.74
DOODUSDTSWAP,60,20250603,010000,0.003067,0.003139,0.003067,0.00313,159.09
DOODUSDTSWAP,60,20250603,020000,0.00313,0.003133,0.003089,0.003106,115.28
DOODUSDTSWAP,60,20250603,030000,0.003107,0.003153,0.003091,0.003136,125.79
DOODUSDTSWAP,60,20250603,040000,0.003137,0.00319,0.0031,0.003119,415.28
DOODUSDTSWAP,60,20250603,050000,0.00312,0.003319,0.003056,0.003304,702.03
DOODUSDTSWAP,60,20250603,060000,0.003302,0.003386,0.003226,0.003305,1334.78
DOODUSDTSWAP,60,20250603,070000,0.003305,0.003354,0.003231,0.003319,702.49
DOODUSDTSWAP,60,20250603,080000,0.003319,0.003435,0.003318,0.003419,852.05
DOODUSDTSWAP,60,20250603,090000,0.00342,0.003518,0.003251,0.003402,2253.86
DOODUSDTSWAP,60,20250603,100000,0.003402,0.003407,0.003348,0.003376,597.47
DOODUSDTSWAP,60,20250603,110000,0.003378,0.003399,0.003315,0.003341,660.83
DOODUSDTSWAP,60,20250603,120000,0.00334,0.003484,0.003339,0.003465,750.03
DOODUSDTSWAP,60,20250603,130000,0.003466,0.003466,0.003399,0.003408,454.7
DOODUSDTSWAP,60,20250603,140000,0.003407,0.00349,0.003382,0.003429,470.44
DOODUSDTSWAP,60,20250603,150000,0.003428,0.003484,0.003407,0.003475,444.69
DOODUSDTSWAP,60,20250603,160000,0.003472,0.003558,0.003458,0.003491,1143.79
DOODUSDTSWAP,60,20250603,170000,0.003492,0.003495,0.003408,0.003461,787.61
DOODUSDTSWAP,60,20250603,180000,0.003461,0.003473,0.003408,0.003421,367.71
DOODUSDTSWAP,60,20250603,190000,0.003422,0.003442,0.003393,0.003419,372.84
DOODUSDTSWAP,60,20250603,200000,0.003419,0.003493,0.003417,0.003462,373.73
DOODUSDTSWAP,60,20250603,210000,0.003462,0.003462,0.003407,0.003423,178.78
DOODUSDTSWAP,60,20250603,220000,0.003423,0.003452,0.003423,0.003435,92.02
DOODUSDTSWAP,60,20250603,230000,0.003436,0.003438,0.003366,0.003418,196.32
DOODUSDTSWAP,60,20250604,000000,0.003419,0.003444,0.003351,0.003388,233.11
