<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DOODUSDTSWAP,3,20250604,172700,0.003222,0.003222,0.003215,0.003217,2.47
DOODUSDTSWAP,3,20250604,173000,0.003218,0.003219,0.003213,0.003218,3.2
DOODUSDTSWAP,3,20250604,173300,0.003219,0.003229,0.003217,0.003222,10.84
DOODUSDTSWAP,3,20250604,173600,0.00322,0.003222,0.003215,0.003216,3.75
DOODUSDTSWAP,3,20250604,173900,0.003216,0.003222,0.003214,0.003221,2.29
DOODUSDTSWAP,3,20250604,174200,0.00322,0.003223,0.003213,0.00322,5.4
DOODUSDTSWAP,3,20250604,174500,0.003221,0.003226,0.003216,0.003226,3.01
DOODUSDTSWAP,3,20250604,174800,0.003226,0.00324,0.003226,0.003231,30.74
DOODUSDTSWAP,3,20250604,175100,0.00323,0.003241,0.00323,0.003241,3.81
DOODUSDTSWAP,3,20250604,175400,0.003241,0.003261,0.00324,0.003255,29.62
DOODUSDTSWAP,3,20250604,175700,0.003255,0.003268,0.003254,0.003264,12.84
DOODUSDTSWAP,3,20250604,180000,0.003265,0.003271,0.003258,0.003264,40.32
DOODUSDTSWAP,3,20250604,180300,0.003264,0.003267,0.003255,0.003262,9.87
DOODUSDTSWAP,3,20250604,180600,0.003262,0.003285,0.003262,0.003272,43.93
DOODUSDTSWAP,3,20250604,180900,0.003273,0.003288,0.003272,0.003283,28.92
DOODUSDTSWAP,3,20250604,181200,0.003282,0.003282,0.003274,0.003279,9.91
DOODUSDTSWAP,3,20250604,181500,0.00328,0.003301,0.00328,0.003301,24.34
DOODUSDTSWAP,3,20250604,181800,0.003297,0.003298,0.003292,0.003292,7.93
DOODUSDTSWAP,3,20250604,182100,0.003291,0.003303,0.003289,0.0033,5.9
DOODUSDTSWAP,3,20250604,182400,0.0033,0.003302,0.003284,0.003284,19.92
DOODUSDTSWAP,3,20250604,182700,0.003286,0.003291,0.003272,0.003276,11.71
