<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DUCKUSDTSWAP,1440,20250225,030000,0.002907,0.003411,0.00267,0.003224,74579.47
DUCKUSDTSWAP,1440,20250226,030000,0.003224,0.004073,0.00312,0.003688,208752.25
DUCKUSDTSWAP,1440,20250227,030000,0.003688,0.003888,0.003448,0.003763,135552.28
DUCKUSDTSWAP,1440,20250228,030000,0.003764,0.004236,0.003212,0.003792,199116.05
DUCKUSDTSWAP,1440,20250301,030000,0.003793,0.00383,0.00331,0.00352,96820.71
DUCKUSDTSWAP,1440,20250302,030000,0.003519,0.003765,0.003383,0.003608,63732.06
DUCKUSDTSWAP,1440,20250303,030000,0.00361,0.003616,0.003243,0.003292,67708.76
DUCKUSDTSWAP,1440,20250304,030000,0.003288,0.003487,0.003045,0.003402,68649.42
DUCKUSDTSWAP,1440,20250305,030000,0.003404,0.003424,0.003086,0.003182,57071.11
DUCKUSDTSWAP,1440,20250306,030000,0.003181,0.003344,0.003053,0.003177,64345.43
DUCKUSDTSWAP,1440,20250307,030000,0.003177,0.003409,0.003134,0.003337,105279.57
DUCKUSDTSWAP,1440,20250308,030000,0.003336,0.003345,0.003095,0.0032,42944.27
DUCKUSDTSWAP,1440,20250309,030000,0.003199,0.003258,0.002975,0.003122,30042.46
DUCKUSDTSWAP,1440,20250310,030000,0.003122,0.003211,0.002723,0.002799,46638.54
DUCKUSDTSWAP,1440,20250311,030000,0.002799,0.002966,0.002597,0.002899,41449.08
DUCKUSDTSWAP,1440,20250312,030000,0.0029,0.003054,0.002873,0.002914,27774.69
DUCKUSDTSWAP,1440,20250313,030000,0.002914,0.003151,0.002781,0.002835,46634.76
DUCKUSDTSWAP,1440,20250314,030000,0.002833,0.002888,0.002783,0.002851,34233.88
DUCKUSDTSWAP,1440,20250315,030000,0.002851,0.002987,0.002837,0.002892,18395.61
DUCKUSDTSWAP,1440,20250316,030000,0.002893,0.003072,0.00287,0.002963,21827.07
DUCKUSDTSWAP,1440,20250317,030000,0.002963,0.003068,0.002832,0.003021,25696.8
