<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DUCKUSDTSWAP,3,20250604,172700,0.002607,0.002611,0.002604,0.002606,19.69
DUCKUSDTSWAP,3,20250604,173000,0.002604,0.002604,0.002597,0.002604,24.06
DUCKUSDTSWAP,3,20250604,173300,0.002603,0.002604,0.0026,0.002601,3.0
DUCKUSDTSWAP,3,20250604,173600,0.0026,0.002601,0.002597,0.002599,4.39
DUCKUSDTSWAP,3,20250604,173900,0.002599,0.002599,0.002597,0.002597,17.2
DUCKUSDTSWAP,3,20250604,174200,0.002597,0.002598,0.002595,0.002598,22.63
DUCKUSDTSWAP,3,20250604,174500,0.002599,0.002599,0.002597,0.002598,1.98
DUCKUSDTSWAP,3,20250604,174800,0.002597,0.002599,0.002591,0.002593,19.06
DUCKUSDTSWAP,3,20250604,175100,0.002592,0.002593,0.002589,0.002591,5.46
DUCKUSDTSWAP,3,20250604,175400,0.002592,0.002599,0.00259,0.002596,32.9
DUCKUSDTSWAP,3,20250604,175700,0.002596,0.002597,0.002593,0.002594,12.99
DUCKUSDTSWAP,3,20250604,180000,0.002594,0.002596,0.002592,0.002592,1.6
DUCKUSDTSWAP,3,20250604,180300,0.002592,0.002594,0.002588,0.002594,18.69
DUCKUSDTSWAP,3,20250604,180600,0.002593,0.002611,0.002593,0.002607,66.72
DUCKUSDTSWAP,3,20250604,180900,0.002606,0.002612,0.002606,0.002612,15.11
DUCKUSDTSWAP,3,20250604,181200,0.002613,0.00262,0.002613,0.002613,49.83
DUCKUSDTSWAP,3,20250604,181500,0.002613,0.002618,0.002612,0.002613,21.95
DUCKUSDTSWAP,3,20250604,181800,0.002615,0.002616,0.002607,0.002608,72.91
DUCKUSDTSWAP,3,20250604,182100,0.002608,0.00261,0.002606,0.002606,24.98
DUCKUSDTSWAP,3,20250604,182400,0.002606,0.002607,0.002601,0.002601,14.18
DUCKUSDTSWAP,3,20250604,182700,0.002602,0.002603,0.002596,0.002598,7.3
DUCKUSDTSWAP,3,20250604,183000,0.002597,0.002603,0.002597,0.002602,61.75
DUCKUSDTSWAP,3,20250604,183300,0.002601,0.002604,0.002597,0.002597,24.15
DUCKUSDTSWAP,3,20250604,183600,0.002599,0.002604,0.002599,0.002602,61.89
DUCKUSDTSWAP,3,20250604,183900,0.002603,0.002604,0.0026,0.002602,6.42
DUCKUSDTSWAP,3,20250604,184200,0.002604,0.002605,0.002601,0.002601,16.25
DUCKUSDTSWAP,3,20250604,184500,0.002604,0.002608,0.002604,0.002605,3.97
DUCKUSDTSWAP,3,20250604,184800,0.002606,0.002607,0.002602,0.002604,1.26
DUCKUSDTSWAP,3,20250604,185100,0.002603,0.002606,0.002601,0.002601,22.87
DUCKUSDTSWAP,3,20250604,185400,0.002602,0.002607,0.002602,0.002607,8.78
DUCKUSDTSWAP,3,20250604,185700,0.002604,0.002607,0.002604,0.002606,10.45
DUCKUSDTSWAP,3,20250604,190000,0.002605,0.002607,0.002602,0.002602,16.21
DUCKUSDTSWAP,3,20250604,190300,0.002603,0.002603,0.002596,0.002596,47.85
DUCKUSDTSWAP,3,20250604,190600,0.002595,0.002597,0.002588,0.002588,26.35
DUCKUSDTSWAP,3,20250604,190900,0.002589,0.002595,0.002586,0.002594,77.67
DUCKUSDTSWAP,3,20250604,191200,0.002595,0.002596,0.002592,0.002594,13.22
DUCKUSDTSWAP,3,20250604,191500,0.002594,0.002601,0.002594,0.002598,26.02
DUCKUSDTSWAP,3,20250604,191800,0.002596,0.002597,0.002592,0.002597,10.12
DUCKUSDTSWAP,3,20250604,192100,0.002597,0.002597,0.002594,0.002596,3.62
DUCKUSDTSWAP,3,20250604,192400,0.002594,0.002595,0.002592,0.002594,7.71
DUCKUSDTSWAP,3,20250604,192700,0.002594,0.002596,0.002594,0.002594,3.27
DUCKUSDTSWAP,3,20250604,193000,0.002594,0.002596,0.002594,0.002595,6.25
DUCKUSDTSWAP,3,20250604,193300,0.002595,0.002599,0.002595,0.002599,2.48
DUCKUSDTSWAP,3,20250604,193600,0.0026,0.002606,0.002593,0.002595,22.41
DUCKUSDTSWAP,3,20250604,193900,0.002597,0.002598,0.002595,0.002596,4.92
DUCKUSDTSWAP,3,20250604,194200,0.002596,0.002596,0.002593,0.002593,0.45
DUCKUSDTSWAP,3,20250604,194500,0.002593,0.002594,0.002588,0.00259,9.51
DUCKUSDTSWAP,3,20250604,194800,0.002589,0.002598,0.002589,0.002593,32.99
DUCKUSDTSWAP,3,20250604,195100,0.002592,0.002593,0.00259,0.002592,27.21
DUCKUSDTSWAP,3,20250604,195400,0.002591,0.002591,0.002588,0.002591,8.33
DUCKUSDTSWAP,3,20250604,195700,0.00259,0.002592,0.002589,0.00259,8.16
DUCKUSDTSWAP,3,20250604,200000,0.002591,0.002591,0.002587,0.002587,3.04
DUCKUSDTSWAP,3,20250604,200300,0.002587,0.002588,0.002581,0.002585,41.97
DUCKUSDTSWAP,3,20250604,200600,0.002585,0.002585,0.002582,0.002583,0.51
DUCKUSDTSWAP,3,20250604,200900,0.002582,0.002585,0.002582,0.002583,11.8
DUCKUSDTSWAP,3,20250604,201200,0.002582,0.002583,0.002581,0.002583,4.95
DUCKUSDTSWAP,3,20250604,201500,0.002581,0.002583,0.002576,0.002577,37.62
DUCKUSDTSWAP,3,20250604,201800,0.002575,0.002577,0.00257,0.002571,17.77
DUCKUSDTSWAP,3,20250604,202100,0.002571,0.002575,0.002571,0.002574,19.35
DUCKUSDTSWAP,3,20250604,202400,0.002572,0.002572,0.002568,0.002572,25.35
DUCKUSDTSWAP,3,20250604,202700,0.002569,0.002571,0.002567,0.00257,46.03
DUCKUSDTSWAP,3,20250604,203000,0.002568,0.002577,0.002566,0.00257,116.57
