<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DYDXUSDTSWAP,1440,20250225,030000,0.667,0.7009,0.6185,0.6862,32725443.88
DYDXUSDTSWAP,1440,20250226,030000,0.6862,0.7165,0.667,0.7103,21346787.88
DYDXUSDTSWAP,1440,20250227,030000,0.7104,0.737,0.6888,0.7165,14636119.72
DYDXUSDTSWAP,1440,20250228,030000,0.7165,0.7219,0.6514,0.7071,29272710.68
DYDXUSDTSWAP,1440,20250301,030000,0.7072,0.718,0.6714,0.6888,12655764.78
DYDXUSDTSWAP,1440,20250302,030000,0.6888,0.7738,0.6798,0.7702,24032948.35
DYDXUSDTSWAP,1440,20250303,030000,0.77,0.772,0.6475,0.6613,26276139.89
DYDXUSDTSWAP,1440,20250304,030000,0.6613,0.6675,0.5644,0.6233,40068525.42
DYDXUSDTSWAP,1440,20250305,030000,0.6232,0.6618,0.6138,0.6508,18656819.42
DYDXUSDTSWAP,1440,20250306,030000,0.6507,0.6795,0.6415,0.6575,14412944.48
DYDXUSDTSWAP,1440,20250307,030000,0.6574,0.6869,0.623,0.6557,22732112.32
DYDXUSDTSWAP,1440,20250308,030000,0.6557,0.6628,0.6336,0.6421,8415797.38
DYDXUSDTSWAP,1440,20250309,030000,0.6422,0.6456,0.5596,0.5718,16153176.32
DYDXUSDTSWAP,1440,20250310,030000,0.5719,0.6151,0.5228,0.5457,26078937.39
DYDXUSDTSWAP,1440,20250311,030000,0.5458,0.6017,0.5004,0.5841,29426528.64
DYDXUSDTSWAP,1440,20250312,030000,0.5842,0.6215,0.5739,0.6075,21698324.27
DYDXUSDTSWAP,1440,20250313,030000,0.6075,0.6242,0.5885,0.613,14978461.07
DYDXUSDTSWAP,1440,20250314,030000,0.613,0.6342,0.607,0.6139,11632400.79
DYDXUSDTSWAP,1440,20250315,030000,0.6139,0.6443,0.6127,0.6364,9646368.47
DYDXUSDTSWAP,1440,20250316,030000,0.6364,0.6463,0.6041,0.6114,14588752.14
DYDXUSDTSWAP,1440,20250317,030000,0.6113,0.6512,0.6089,0.6381,15209952.14
DYDXUSDTSWAP,1440,20250318,030000,0.6381,0.6446,0.6083,0.642,15832537.2
DYDXUSDTSWAP,1440,20250319,030000,0.6421,0.6897,0.6382,0.6765,20614600.59
DYDXUSDTSWAP,1440,20250320,030000,0.6764,0.6877,0.6538,0.6653,13156922.9
DYDXUSDTSWAP,1440,20250321,030000,0.6652,0.678,0.6377,0.6641,9886219.03
DYDXUSDTSWAP,1440,20250322,030000,0.6641,0.6848,0.656,0.6755,8886199.91
DYDXUSDTSWAP,1440,20250323,030000,0.6755,0.6801,0.6517,0.6713,8708944.54
DYDXUSDTSWAP,1440,20250324,030000,0.6713,0.7601,0.6549,0.7225,43799180.63
DYDXUSDTSWAP,1440,20250325,030000,0.7225,0.7493,0.709,0.7378,16075482.67
DYDXUSDTSWAP,1440,20250326,030000,0.7378,0.7669,0.7258,0.7413,20535817.48
DYDXUSDTSWAP,1440,20250327,030000,0.7412,0.7735,0.7269,0.7349,13942287.75
DYDXUSDTSWAP,1440,20250328,030000,0.7349,0.7363,0.6774,0.6907,15087274.33
DYDXUSDTSWAP,1440,20250329,030000,0.6907,0.6989,0.6306,0.6425,10374221.45
DYDXUSDTSWAP,1440,20250330,030000,0.6424,0.6584,0.6273,0.638,7627117.56
DYDXUSDTSWAP,1440,20250331,030000,0.638,0.6462,0.6075,0.6295,13688392.08
DYDXUSDTSWAP,1440,20250401,030000,0.6295,0.6753,0.6271,0.6476,8458617.94
