<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DYDXUSDTSWAP,60,20250531,190000,0.5364,0.546,0.5343,0.5439,826312.94
DYDXUSDTSWAP,60,20250531,200000,0.5439,0.5461,0.5407,0.5414,844902.96
DYDXUSDTSWAP,60,20250531,210000,0.5416,0.5503,0.5408,0.5499,455415.73
DYDXUSDTSWAP,60,20250531,220000,0.5498,0.5517,0.5471,0.5482,418452.23
DYDXUSDTSWAP,60,20250531,230000,0.5481,0.5512,0.5463,0.5508,387682.64
DYDXUSDTSWAP,60,20250601,000000,0.5507,0.5536,0.5484,0.551,433850.27
DYDXUSDTSWAP,60,20250601,010000,0.5511,0.5518,0.5479,0.5479,269620.72
DYDXUSDTSWAP,60,20250601,020000,0.5478,0.5526,0.5463,0.5488,327519.76
DYDXUSDTSWAP,60,20250601,030000,0.5487,0.549,0.5435,0.5471,635973.48
DYDXUSDTSWAP,60,20250601,040000,0.547,0.5511,0.542,0.5433,595641.98
DYDXUSDTSWAP,60,20250601,050000,0.5432,0.546,0.5388,0.5452,631620.47
DYDXUSDTSWAP,60,20250601,060000,0.5454,0.5475,0.5406,0.5456,422286.86
DYDXUSDTSWAP,60,20250601,070000,0.5455,0.5514,0.5433,0.5506,455372.49
DYDXUSDTSWAP,60,20250601,080000,0.5507,0.5526,0.5482,0.55,402748.39
DYDXUSDTSWAP,60,20250601,090000,0.55,0.5524,0.5481,0.5488,411009.5
DYDXUSDTSWAP,60,20250601,100000,0.5487,0.5525,0.5451,0.5523,823368.25
DYDXUSDTSWAP,60,20250601,110000,0.5522,0.5541,0.5472,0.5488,1511105.79
DYDXUSDTSWAP,60,20250601,120000,0.5487,0.5504,0.5348,0.541,2309579.26
DYDXUSDTSWAP,60,20250601,130000,0.541,0.5442,0.5392,0.543,1594338.9
DYDXUSDTSWAP,60,20250601,140000,0.5429,0.5467,0.5397,0.5431,861889.04
DYDXUSDTSWAP,60,20250601,150000,0.5428,0.5443,0.5353,0.5373,962115.17
DYDXUSDTSWAP,60,20250601,160000,0.5373,0.5445,0.5368,0.5417,755094.56
DYDXUSDTSWAP,60,20250601,170000,0.5417,0.5535,0.5417,0.5482,1013191.89
DYDXUSDTSWAP,60,20250601,180000,0.5482,0.5496,0.5457,0.5476,792608.39
DYDXUSDTSWAP,60,20250601,190000,0.5476,0.555,0.5471,0.5497,1454433.27
DYDXUSDTSWAP,60,20250601,200000,0.5498,0.552,0.547,0.5496,955662.36
DYDXUSDTSWAP,60,20250601,210000,0.5495,0.5496,0.5398,0.545,856955.14
DYDXUSDTSWAP,60,20250601,220000,0.5451,0.55,0.5447,0.5496,594637.05
DYDXUSDTSWAP,60,20250601,230000,0.5496,0.5533,0.5468,0.5506,518672.91
DYDXUSDTSWAP,60,20250602,000000,0.5506,0.5559,0.5502,0.5554,256645.12
DYDXUSDTSWAP,60,20250602,010000,0.5554,0.5598,0.5552,0.5581,536805.21
DYDXUSDTSWAP,60,20250602,020000,0.5581,0.5613,0.558,0.5601,397212.61
DYDXUSDTSWAP,60,20250602,030000,0.5602,0.5613,0.5565,0.5581,789578.37
DYDXUSDTSWAP,60,20250602,040000,0.5581,0.5633,0.5549,0.5553,1049386.5
DYDXUSDTSWAP,60,20250602,050000,0.5555,0.5558,0.5485,0.5499,1125521.33
DYDXUSDTSWAP,60,20250602,060000,0.5501,0.5504,0.5441,0.5456,659354.26
DYDXUSDTSWAP,60,20250602,070000,0.5455,0.5478,0.5429,0.5437,408367.85
DYDXUSDTSWAP,60,20250602,080000,0.5439,0.5475,0.5407,0.5446,451427.21
DYDXUSDTSWAP,60,20250602,090000,0.5447,0.5532,0.5432,0.5507,891527.92
DYDXUSDTSWAP,60,20250602,100000,0.5508,0.5575,0.5504,0.552,580776.74
DYDXUSDTSWAP,60,20250602,110000,0.5521,0.5559,0.5457,0.5469,685923.52
DYDXUSDTSWAP,60,20250602,120000,0.547,0.547,0.5409,0.5429,598286.72
DYDXUSDTSWAP,60,20250602,130000,0.5429,0.5444,0.5402,0.5436,962506.32
DYDXUSDTSWAP,60,20250602,140000,0.5436,0.5465,0.5416,0.5439,782830.21
DYDXUSDTSWAP,60,20250602,150000,0.5438,0.5486,0.5404,0.5471,900599.69
DYDXUSDTSWAP,60,20250602,160000,0.5471,0.5533,0.5439,0.5466,779694.09
DYDXUSDTSWAP,60,20250602,170000,0.5466,0.5569,0.5445,0.5532,1084911.36
DYDXUSDTSWAP,60,20250602,180000,0.5533,0.5597,0.5505,0.5565,775605.43
DYDXUSDTSWAP,60,20250602,190000,0.5567,0.5581,0.5512,0.556,571212.61
DYDXUSDTSWAP,60,20250602,200000,0.556,0.5585,0.552,0.5566,354855.88
