<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
DYDXUSDTSWAP,3,20250604,172700,0.5597,0.5602,0.5586,0.559,70507.65
DYDXUSDTSWAP,3,20250604,173000,0.559,0.5601,0.5589,0.56,100744.1
DYDXUSDTSWAP,3,20250604,173300,0.5601,0.5612,0.5598,0.5601,79712.87
DYDXUSDTSWAP,3,20250604,173600,0.56,0.5606,0.5592,0.5597,74203.36
DYDXUSDTSWAP,3,20250604,173900,0.5597,0.5615,0.5597,0.5609,24278.11
DYDXUSDTSWAP,3,20250604,174200,0.561,0.5613,0.5599,0.5612,35218.46
DYDXUSDTSWAP,3,20250604,174500,0.5612,0.5629,0.5607,0.5629,28273.26
DYDXUSDTSWAP,3,20250604,174800,0.563,0.5641,0.5624,0.5625,59318.81
DYDXUSDTSWAP,3,20250604,175100,0.5625,0.5633,0.5621,0.5633,34167.94
DYDXUSDTSWAP,3,20250604,175400,0.5633,0.5652,0.5633,0.565,71856.24
DYDXUSDTSWAP,3,20250604,175700,0.5649,0.5668,0.5649,0.5664,58424.78
DYDXUSDTSWAP,3,20250604,180000,0.5665,0.5671,0.566,0.5661,38528.23
DYDXUSDTSWAP,3,20250604,180300,0.5662,0.5665,0.5655,0.566,51437.01
DYDXUSDTSWAP,3,20250604,180600,0.5661,0.5691,0.5661,0.5666,96462.87
DYDXUSDTSWAP,3,20250604,180900,0.5667,0.5685,0.5667,0.5682,23293.64
DYDXUSDTSWAP,3,20250604,181200,0.5683,0.5693,0.568,0.5686,38017.57
DYDXUSDTSWAP,3,20250604,181500,0.5686,0.5716,0.5686,0.5706,52511.92
DYDXUSDTSWAP,3,20250604,181800,0.5706,0.5715,0.57,0.57,54762.19
DYDXUSDTSWAP,3,20250604,182100,0.5701,0.5721,0.5695,0.5713,87537.71
DYDXUSDTSWAP,3,20250604,182400,0.5715,0.5717,0.5704,0.5705,50546.32
DYDXUSDTSWAP,3,20250604,182700,0.5705,0.5715,0.5698,0.57,22591.8
DYDXUSDTSWAP,3,20250604,183000,0.5701,0.5709,0.569,0.5707,43824.16
DYDXUSDTSWAP,3,20250604,183300,0.5707,0.5716,0.5701,0.5705,14003.27
DYDXUSDTSWAP,3,20250604,183600,0.5705,0.5732,0.5704,0.5729,111257.2
DYDXUSDTSWAP,3,20250604,183900,0.5728,0.5738,0.5722,0.5733,60318.7
DYDXUSDTSWAP,3,20250604,184200,0.5735,0.5749,0.5726,0.5729,70331.75
DYDXUSDTSWAP,3,20250604,184500,0.573,0.574,0.5719,0.572,45094.53
DYDXUSDTSWAP,3,20250604,184800,0.572,0.572,0.5707,0.5707,54024.26
DYDXUSDTSWAP,3,20250604,185100,0.5706,0.5721,0.5703,0.5714,16884.05
DYDXUSDTSWAP,3,20250604,185400,0.5713,0.5738,0.5713,0.5734,40015.57
DYDXUSDTSWAP,3,20250604,185700,0.5734,0.5736,0.572,0.5728,86090.28
DYDXUSDTSWAP,3,20250604,190000,0.5728,0.5733,0.5711,0.5716,61082.25
DYDXUSDTSWAP,3,20250604,190300,0.5717,0.5722,0.5699,0.5701,83784.35
DYDXUSDTSWAP,3,20250604,190600,0.5701,0.5712,0.5694,0.5694,49356.41
DYDXUSDTSWAP,3,20250604,190900,0.5695,0.5723,0.5695,0.5723,25857.58
DYDXUSDTSWAP,3,20250604,191200,0.5722,0.5724,0.5712,0.5712,10453.52
DYDXUSDTSWAP,3,20250604,191500,0.5711,0.5717,0.5701,0.5706,74495.43
DYDXUSDTSWAP,3,20250604,191800,0.5707,0.5712,0.5691,0.571,47451.99
DYDXUSDTSWAP,3,20250604,192100,0.5709,0.5716,0.5692,0.5693,35786.3
DYDXUSDTSWAP,3,20250604,192400,0.5693,0.5693,0.5677,0.5684,63019.8
DYDXUSDTSWAP,3,20250604,192700,0.5683,0.5688,0.5679,0.5681,17268.36
DYDXUSDTSWAP,3,20250604,193000,0.5679,0.5688,0.5675,0.5685,25918.96
DYDXUSDTSWAP,3,20250604,193300,0.5685,0.5692,0.5682,0.5686,18849.19
DYDXUSDTSWAP,3,20250604,193600,0.5687,0.5687,0.5678,0.5681,15973.65
DYDXUSDTSWAP,3,20250604,193900,0.5681,0.5691,0.5676,0.5676,23825.55
DYDXUSDTSWAP,3,20250604,194200,0.5675,0.5678,0.5663,0.5668,20312.53
DYDXUSDTSWAP,3,20250604,194500,0.5668,0.5672,0.5658,0.5671,28091.74
DYDXUSDTSWAP,3,20250604,194800,0.5671,0.5683,0.5666,0.5681,12690.56
DYDXUSDTSWAP,3,20250604,195100,0.5679,0.5685,0.5675,0.5682,10292.62
DYDXUSDTSWAP,3,20250604,195400,0.5682,0.5695,0.5682,0.5685,34401.67
DYDXUSDTSWAP,3,20250604,195700,0.5685,0.5685,0.5677,0.5684,10144.88
DYDXUSDTSWAP,3,20250604,200000,0.5684,0.5691,0.5676,0.5676,37640.58
DYDXUSDTSWAP,3,20250604,200300,0.5676,0.5683,0.5665,0.5668,40879.12
DYDXUSDTSWAP,3,20250604,200600,0.5668,0.5668,0.5648,0.5655,28601.86
DYDXUSDTSWAP,3,20250604,200900,0.5655,0.5655,0.5642,0.5646,29695.54
DYDXUSDTSWAP,3,20250604,201200,0.5646,0.5659,0.5646,0.5654,12374.9
DYDXUSDTSWAP,3,20250604,201500,0.5655,0.5655,0.5633,0.5639,20119.36
DYDXUSDTSWAP,3,20250604,201800,0.5639,0.5645,0.5633,0.5641,44267.28
DYDXUSDTSWAP,3,20250604,202100,0.5641,0.5644,0.5633,0.5636,10413.85
DYDXUSDTSWAP,3,20250604,202400,0.5636,0.5639,0.5619,0.5624,38303.95
DYDXUSDTSWAP,3,20250604,202700,0.5624,0.5632,0.561,0.5611,42875.69
DYDXUSDTSWAP,3,20250604,203000,0.561,0.5611,0.5586,0.5588,117486.3
DYDXUSDTSWAP,3,20250604,203300,0.5589,0.5599,0.5568,0.5591,166703.66
DYDXUSDTSWAP,3,20250604,203600,0.5591,0.5592,0.5575,0.5586,57066.22
DYDXUSDTSWAP,3,20250604,203900,0.5586,0.5598,0.5583,0.5593,86158.46
DYDXUSDTSWAP,3,20250604,204200,0.5593,0.5597,0.5589,0.5591,39313.2
DYDXUSDTSWAP,3,20250604,204500,0.5591,0.5595,0.5587,0.5589,53363.3
DYDXUSDTSWAP,3,20250604,204800,0.5588,0.5606,0.5583,0.5594,48099.83
DYDXUSDTSWAP,3,20250604,205100,0.5595,0.5607,0.5594,0.5607,21328.14
DYDXUSDTSWAP,3,20250604,205400,0.5607,0.5615,0.5607,0.5609,35166.54
DYDXUSDTSWAP,3,20250604,205700,0.5608,0.562,0.5605,0.5618,29551.36
DYDXUSDTSWAP,3,20250604,210000,0.5619,0.5629,0.5618,0.5623,50425.47
DYDXUSDTSWAP,3,20250604,210300,0.5623,0.5637,0.5622,0.5633,17045.56
DYDXUSDTSWAP,3,20250604,210600,0.5634,0.5634,0.5612,0.5614,21649.21
DYDXUSDTSWAP,3,20250604,210900,0.5616,0.5635,0.5607,0.5634,52990.33
DYDXUSDTSWAP,3,20250604,211200,0.5634,0.5636,0.5628,0.5633,12866.93
DYDXUSDTSWAP,3,20250604,211500,0.5633,0.5637,0.5631,0.5633,14395.13
DYDXUSDTSWAP,3,20250604,211800,0.5633,0.5644,0.5629,0.5641,20298.52
DYDXUSDTSWAP,3,20250604,212100,0.5642,0.5645,0.5638,0.564,13157.71
DYDXUSDTSWAP,3,20250604,212400,0.5641,0.5647,0.5641,0.5646,12017.59
DYDXUSDTSWAP,3,20250604,212700,0.5646,0.5649,0.5645,0.5645,8086.2
DYDXUSDTSWAP,3,20250604,213000,0.5644,0.5655,0.5644,0.5648,67183.92
DYDXUSDTSWAP,3,20250604,213300,0.5647,0.565,0.5642,0.5643,25262.42
DYDXUSDTSWAP,3,20250604,213600,0.5644,0.5645,0.5635,0.5636,23497.67
DYDXUSDTSWAP,3,20250604,213900,0.5636,0.5637,0.5625,0.5627,16459.37
DYDXUSDTSWAP,3,20250604,214200,0.5627,0.5642,0.5627,0.5639,30897.29
DYDXUSDTSWAP,3,20250604,214500,0.5639,0.5639,0.5627,0.5631,20732.91
DYDXUSDTSWAP,3,20250604,214800,0.5632,0.5636,0.5619,0.5621,15779.74
DYDXUSDTSWAP,3,20250604,215100,0.562,0.562,0.5612,0.5614,30784.11
DYDXUSDTSWAP,3,20250604,215400,0.5614,0.5616,0.5606,0.5615,47582.02
DYDXUSDTSWAP,3,20250604,215700,0.5615,0.5616,0.5607,0.5608,17262.19
DYDXUSDTSWAP,3,20250604,220000,0.5607,0.561,0.5604,0.5608,31207.44
DYDXUSDTSWAP,3,20250604,220300,0.5607,0.5618,0.5605,0.5617,32302.49
DYDXUSDTSWAP,3,20250604,220600,0.5618,0.5619,0.5606,0.5612,26623.7
DYDXUSDTSWAP,3,20250604,220900,0.5613,0.5613,0.5593,0.5601,38809.4
DYDXUSDTSWAP,3,20250604,221200,0.5601,0.5609,0.5597,0.5603,24368.27
DYDXUSDTSWAP,3,20250604,221500,0.5601,0.5601,0.5585,0.5593,56537.61
DYDXUSDTSWAP,3,20250604,221800,0.5595,0.5613,0.5595,0.5606,32371.55
DYDXUSDTSWAP,3,20250604,222100,0.5605,0.5612,0.5601,0.5609,19278.4
DYDXUSDTSWAP,3,20250604,222400,0.5609,0.561,0.56,0.5606,5444.1
