<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ETHFIUSDTSWAP,1440,20250225,030000,0.9496,0.9864,0.8751,0.9657,42230154.44
ETHFIUSDTSWAP,1440,20250226,030000,0.9659,0.9835,0.8871,0.9562,31915200.19
ETHFIUSDTSWAP,1440,20250227,030000,0.9563,0.9932,0.9302,0.9677,21422162.37
ETHFIUSDTSWAP,1440,20250228,030000,0.9677,0.9715,0.8631,0.9486,33712662.93
ETHFIUSDTSWAP,1440,20250301,030000,0.9487,0.958,0.8883,0.9256,11632375.0
ETHFIUSDTSWAP,1440,20250302,030000,0.9255,1.0698,0.9057,1.0564,26626041.75
ETHFIUSDTSWAP,1440,20250303,030000,1.0563,1.0605,0.8268,0.853,34176206.23
ETHFIUSDTSWAP,1440,20250304,030000,0.8529,0.8586,0.745,0.8434,48437558.2
ETHFIUSDTSWAP,1440,20250305,030000,0.8433,0.8764,0.8205,0.8555,16185157.53
ETHFIUSDTSWAP,1440,20250306,030000,0.8555,0.8808,0.8207,0.8417,15508065.13
ETHFIUSDTSWAP,1440,20250307,030000,0.8418,0.8647,0.7826,0.807,25841495.59
ETHFIUSDTSWAP,1440,20250308,030000,0.8071,0.8176,0.7714,0.797,12687460.27
ETHFIUSDTSWAP,1440,20250309,030000,0.7969,0.7992,0.6625,0.6733,21000100.06
ETHFIUSDTSWAP,1440,20250310,030000,0.6734,0.734,0.6145,0.6471,26263777.1
ETHFIUSDTSWAP,1440,20250311,030000,0.6472,0.6925,0.5787,0.6751,28276046.97
ETHFIUSDTSWAP,1440,20250312,030000,0.6752,0.7053,0.644,0.6846,19858047.25
ETHFIUSDTSWAP,1440,20250313,030000,0.6846,0.6916,0.6351,0.6658,15683243.99
ETHFIUSDTSWAP,1440,20250314,030000,0.6658,0.7098,0.6613,0.6875,12017764.57
ETHFIUSDTSWAP,1440,20250315,030000,0.6875,0.7139,0.6771,0.7014,8922609.44
