<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ETHFIUSDTSWAP,60,20250531,190000,1.1163,1.1535,1.1087,1.1442,3231006.44
ETHFIUSDTSWAP,60,20250531,200000,1.1442,1.1512,1.1281,1.1328,2193114.46
ETHFIUSDTSWAP,60,20250531,210000,1.1327,1.1709,1.1322,1.165,2444652.04
ETHFIUSDTSWAP,60,20250531,220000,1.1652,1.1718,1.1554,1.1602,1353521.95
ETHFIUSDTSWAP,60,20250531,230000,1.1601,1.1626,1.1491,1.1592,1382919.25
ETHFIUSDTSWAP,60,20250601,000000,1.1594,1.1665,1.142,1.143,2309910.88
ETHFIUSDTSWAP,60,20250601,010000,1.143,1.1486,1.1352,1.1403,2021307.49
ETHFIUSDTSWAP,60,20250601,020000,1.1403,1.1544,1.1318,1.1351,1670883.87
ETHFIUSDTSWAP,60,20250601,030000,1.135,1.1449,1.1242,1.1365,2196059.29
ETHFIUSDTSWAP,60,20250601,040000,1.1366,1.1418,1.1164,1.1228,1639994.46
ETHFIUSDTSWAP,60,20250601,050000,1.1228,1.14,1.1099,1.1336,1612283.54
ETHFIUSDTSWAP,60,20250601,060000,1.1337,1.1365,1.1152,1.1262,1198476.22
ETHFIUSDTSWAP,60,20250601,070000,1.1262,1.1402,1.1197,1.1366,1221353.76
ETHFIUSDTSWAP,60,20250601,080000,1.1366,1.1478,1.1267,1.1453,1320546.21
ETHFIUSDTSWAP,60,20250601,090000,1.1453,1.1483,1.1292,1.1329,1457387.38
ETHFIUSDTSWAP,60,20250601,100000,1.1327,1.1408,1.122,1.1315,1241639.69
ETHFIUSDTSWAP,60,20250601,110000,1.1314,1.1325,1.1168,1.1213,1231335.43
ETHFIUSDTSWAP,60,20250601,120000,1.1214,1.1258,1.0893,1.1034,3246528.13
ETHFIUSDTSWAP,60,20250601,130000,1.1033,1.1168,1.1013,1.1138,1779444.17
ETHFIUSDTSWAP,60,20250601,140000,1.114,1.1217,1.1074,1.1118,1411778.88
ETHFIUSDTSWAP,60,20250601,150000,1.1117,1.1117,1.0914,1.1021,1907348.14
ETHFIUSDTSWAP,60,20250601,160000,1.102,1.1216,1.1007,1.113,1555902.78
ETHFIUSDTSWAP,60,20250601,170000,1.1128,1.1417,1.1115,1.1289,2563057.71
ETHFIUSDTSWAP,60,20250601,180000,1.1288,1.1542,1.1265,1.1509,2612537.61
ETHFIUSDTSWAP,60,20250601,190000,1.1509,1.2107,1.1453,1.1925,8736262.08
ETHFIUSDTSWAP,60,20250601,200000,1.1922,1.2017,1.1735,1.1751,5131086.93
ETHFIUSDTSWAP,60,20250601,210000,1.1752,1.1761,1.1334,1.155,5017123.88
ETHFIUSDTSWAP,60,20250601,220000,1.1552,1.1661,1.1499,1.1594,2232999.29
ETHFIUSDTSWAP,60,20250601,230000,1.1595,1.1713,1.1479,1.157,1603277.75
ETHFIUSDTSWAP,60,20250602,000000,1.1566,1.17,1.1522,1.1682,1634072.24
ETHFIUSDTSWAP,60,20250602,010000,1.1678,1.1812,1.158,1.1602,1827003.25
ETHFIUSDTSWAP,60,20250602,020000,1.16,1.1811,1.1593,1.1697,1726048.68
ETHFIUSDTSWAP,60,20250602,030000,1.1698,1.1721,1.1503,1.1592,2179166.61
ETHFIUSDTSWAP,60,20250602,040000,1.1595,1.1726,1.1462,1.1481,1535407.58
ETHFIUSDTSWAP,60,20250602,050000,1.1479,1.152,1.1354,1.1427,1951174.02
ETHFIUSDTSWAP,60,20250602,060000,1.1429,1.1453,1.1275,1.1415,2020057.46
ETHFIUSDTSWAP,60,20250602,070000,1.1414,1.1466,1.1151,1.1266,1920004.87
ETHFIUSDTSWAP,60,20250602,080000,1.1264,1.1347,1.1172,1.1265,1516076.95
ETHFIUSDTSWAP,60,20250602,090000,1.1266,1.1444,1.1176,1.1327,1537825.9
ETHFIUSDTSWAP,60,20250602,100000,1.1327,1.167,1.1327,1.1557,2604457.89
ETHFIUSDTSWAP,60,20250602,110000,1.1556,1.1645,1.1339,1.1388,2208801.13
ETHFIUSDTSWAP,60,20250602,120000,1.1389,1.1392,1.1203,1.1251,2119025.95
ETHFIUSDTSWAP,60,20250602,130000,1.1251,1.1334,1.1174,1.1243,1493581.5
ETHFIUSDTSWAP,60,20250602,140000,1.1244,1.1394,1.1179,1.1279,1824706.68
ETHFIUSDTSWAP,60,20250602,150000,1.1279,1.1497,1.1199,1.1452,1862147.11
ETHFIUSDTSWAP,60,20250602,160000,1.1451,1.1566,1.1211,1.1327,3430796.32
ETHFIUSDTSWAP,60,20250602,170000,1.1326,1.1617,1.1254,1.1459,3529687.87
ETHFIUSDTSWAP,60,20250602,180000,1.1458,1.1586,1.135,1.1525,3603354.23
ETHFIUSDTSWAP,60,20250602,190000,1.1527,1.1637,1.1375,1.1574,2457550.64
ETHFIUSDTSWAP,60,20250602,200000,1.1575,1.1627,1.1408,1.1486,1701365.26
ETHFIUSDTSWAP,60,20250602,210000,1.1486,1.1632,1.1412,1.1439,1827561.58
ETHFIUSDTSWAP,60,20250602,220000,1.1437,1.1513,1.1235,1.1355,1650045.73
ETHFIUSDTSWAP,60,20250602,230000,1.1355,1.1647,1.1355,1.1608,1956380.2
ETHFIUSDTSWAP,60,20250603,000000,1.1607,1.1877,1.1594,1.186,2452833.03
ETHFIUSDTSWAP,60,20250603,010000,1.1857,1.2078,1.1855,1.2059,2590043.08
ETHFIUSDTSWAP,60,20250603,020000,1.2059,1.2355,1.2022,1.2207,3302175.06
ETHFIUSDTSWAP,60,20250603,030000,1.2204,1.265,1.2142,1.2411,4467379.15
ETHFIUSDTSWAP,60,20250603,040000,1.241,1.2637,1.2268,1.2559,3997596.07
ETHFIUSDTSWAP,60,20250603,050000,1.256,1.2605,1.2184,1.2243,3001500.88
ETHFIUSDTSWAP,60,20250603,060000,1.2241,1.2272,1.2029,1.2092,2701253.3
ETHFIUSDTSWAP,60,20250603,070000,1.2091,1.2107,1.1859,1.1924,2288553.04
