<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ETHFIUSDTSWAP,3,20250604,172700,1.1962,1.1962,1.1908,1.1913,160970.24
ETHFIUSDTSWAP,3,20250604,173000,1.1911,1.1924,1.1891,1.1914,146056.26
ETHFIUSDTSWAP,3,20250604,173300,1.1915,1.1952,1.1885,1.1896,100563.79
ETHFIUSDTSWAP,3,20250604,173600,1.1895,1.1896,1.1864,1.1869,68176.19
ETHFIUSDTSWAP,3,20250604,173900,1.187,1.1928,1.187,1.1922,48436.72
ETHFIUSDTSWAP,3,20250604,174200,1.1922,1.1936,1.1901,1.1934,87543.25
ETHFIUSDTSWAP,3,20250604,174500,1.1935,1.1965,1.1905,1.1965,88934.85
ETHFIUSDTSWAP,3,20250604,174800,1.1965,1.2021,1.1956,1.1957,159803.34
ETHFIUSDTSWAP,3,20250604,175100,1.1961,1.2018,1.1951,1.2014,88116.69
ETHFIUSDTSWAP,3,20250604,175400,1.2014,1.2112,1.2013,1.2098,344329.65
ETHFIUSDTSWAP,3,20250604,175700,1.2097,1.2118,1.2078,1.2108,390554.06
ETHFIUSDTSWAP,3,20250604,180000,1.2109,1.2135,1.2082,1.2084,246215.93
ETHFIUSDTSWAP,3,20250604,180300,1.2083,1.2103,1.2041,1.2057,146031.51
ETHFIUSDTSWAP,3,20250604,180600,1.2056,1.2144,1.2051,1.2064,253386.98
ETHFIUSDTSWAP,3,20250604,180900,1.2066,1.2109,1.2057,1.2092,101897.37
ETHFIUSDTSWAP,3,20250604,181200,1.2091,1.2143,1.2084,1.2124,136813.29
ETHFIUSDTSWAP,3,20250604,181500,1.2123,1.2247,1.2121,1.2231,458421.55
ETHFIUSDTSWAP,3,20250604,181800,1.223,1.2274,1.2219,1.2237,536312.41
ETHFIUSDTSWAP,3,20250604,182100,1.224,1.2296,1.2211,1.2272,232569.79
ETHFIUSDTSWAP,3,20250604,182400,1.2273,1.2298,1.2225,1.2225,260019.46
ETHFIUSDTSWAP,3,20250604,182700,1.2229,1.2269,1.2202,1.2217,164393.22
ETHFIUSDTSWAP,3,20250604,183000,1.2217,1.2241,1.2162,1.223,228090.17
ETHFIUSDTSWAP,3,20250604,183300,1.2229,1.2269,1.2205,1.2207,98112.04
ETHFIUSDTSWAP,3,20250604,183600,1.2209,1.2325,1.2207,1.2294,397623.93
ETHFIUSDTSWAP,3,20250604,183900,1.2294,1.2363,1.2294,1.2356,297282.44
ETHFIUSDTSWAP,3,20250604,184200,1.2357,1.2411,1.2344,1.238,315013.29
ETHFIUSDTSWAP,3,20250604,184500,1.2388,1.2416,1.2352,1.2352,327577.12
ETHFIUSDTSWAP,3,20250604,184800,1.2354,1.2358,1.2301,1.2326,256527.1
ETHFIUSDTSWAP,3,20250604,185100,1.2325,1.2408,1.2318,1.2368,134942.73
ETHFIUSDTSWAP,3,20250604,185400,1.2368,1.252,1.2368,1.2505,346069.01
ETHFIUSDTSWAP,3,20250604,185700,1.2504,1.2515,1.2429,1.2448,332970.27
