<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FARTCOINUSDTSWAP,1440,20250225,030000,0.2776,0.3077,0.2557,0.2891,93431604.92
FARTCOINUSDTSWAP,1440,20250226,030000,0.2891,0.3494,0.2762,0.338,84842701.72
FARTCOINUSDTSWAP,1440,20250227,030000,0.3382,0.3504,0.2987,0.3082,63662870.81
FARTCOINUSDTSWAP,1440,20250228,030000,0.3083,0.3115,0.2609,0.297,86164841.36
FARTCOINUSDTSWAP,1440,20250301,030000,0.2971,0.3156,0.2417,0.2514,60041823.47
FARTCOINUSDTSWAP,1440,20250302,030000,0.2515,0.363,0.2321,0.3501,84307064.94
FARTCOINUSDTSWAP,1440,20250303,030000,0.35,0.3988,0.2671,0.2686,197084327.3
FARTCOINUSDTSWAP,1440,20250304,030000,0.2687,0.2757,0.2082,0.2579,177085284.83
FARTCOINUSDTSWAP,1440,20250305,030000,0.258,0.3175,0.2464,0.3072,127324651.72
FARTCOINUSDTSWAP,1440,20250306,030000,0.3072,0.3607,0.2785,0.2909,226698934.27
FARTCOINUSDTSWAP,1440,20250307,030000,0.2908,0.3035,0.2475,0.2502,193416087.58
FARTCOINUSDTSWAP,1440,20250308,030000,0.2502,0.2646,0.2282,0.2372,83821086.77
FARTCOINUSDTSWAP,1440,20250309,030000,0.2372,0.255,0.222,0.2319,85196372.38
FARTCOINUSDTSWAP,1440,20250310,030000,0.232,0.2486,0.1986,0.2186,106803451.33
FARTCOINUSDTSWAP,1440,20250311,030000,0.2186,0.2751,0.207,0.2621,97744148.2
FARTCOINUSDTSWAP,1440,20250312,030000,0.2621,0.2941,0.2382,0.2907,111827805.38
FARTCOINUSDTSWAP,1440,20250313,030000,0.2907,0.3049,0.238,0.2426,106218881.72
FARTCOINUSDTSWAP,1440,20250314,030000,0.2427,0.3181,0.2354,0.284,123989794.26
FARTCOINUSDTSWAP,1440,20250315,030000,0.284,0.3479,0.2832,0.3352,115120661.81
FARTCOINUSDTSWAP,1440,20250316,030000,0.3352,0.3584,0.2944,0.2955,114231393.12
FARTCOINUSDTSWAP,1440,20250317,030000,0.2954,0.3511,0.2954,0.3222,83724246.0
FARTCOINUSDTSWAP,1440,20250318,030000,0.3223,0.3228,0.2651,0.2952,84786898.91
FARTCOINUSDTSWAP,1440,20250319,030000,0.2952,0.4155,0.2943,0.3973,151831138.2
FARTCOINUSDTSWAP,1440,20250320,030000,0.3974,0.4157,0.3386,0.3603,139295534.09
FARTCOINUSDTSWAP,1440,20250321,030000,0.3602,0.4365,0.3437,0.4275,117173534.02
FARTCOINUSDTSWAP,1440,20250322,030000,0.4275,0.4876,0.4007,0.442,155025560.05
FARTCOINUSDTSWAP,1440,20250323,030000,0.4419,0.5585,0.4315,0.5519,136384439.26
FARTCOINUSDTSWAP,1440,20250324,030000,0.552,0.6474,0.5172,0.5725,233226754.82
FARTCOINUSDTSWAP,1440,20250325,030000,0.5724,0.5956,0.511,0.5814,201553696.93
FARTCOINUSDTSWAP,1440,20250326,030000,0.5815,0.641,0.5055,0.5228,212336706.75
FARTCOINUSDTSWAP,1440,20250327,030000,0.5228,0.5982,0.5195,0.5337,161622644.98
FARTCOINUSDTSWAP,1440,20250328,030000,0.5336,0.545,0.4455,0.4694,174267495.0
FARTCOINUSDTSWAP,1440,20250329,030000,0.4695,0.4727,0.402,0.4194,98911891.84
FARTCOINUSDTSWAP,1440,20250330,030000,0.4195,0.4885,0.4064,0.4475,127436060.28
FARTCOINUSDTSWAP,1440,20250331,030000,0.4475,0.4637,0.3829,0.4533,166155833.52
