<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FARTCOINUSDTSWAP,60,20250531,190000,1.0865,1.106,1.0788,1.094,3620631.96
FARTCOINUSDTSWAP,60,20250531,200000,1.0941,1.0967,1.0746,1.0781,2591038.87
FARTCOINUSDTSWAP,60,20250531,210000,1.0782,1.0976,1.0753,1.095,1138933.93
FARTCOINUSDTSWAP,60,20250531,220000,1.0951,1.1131,1.0951,1.0992,2223222.74
FARTCOINUSDTSWAP,60,20250531,230000,1.0991,1.1034,1.0904,1.0967,844966.1
FARTCOINUSDTSWAP,60,20250601,000000,1.0967,1.1047,1.0854,1.0903,2096387.01
FARTCOINUSDTSWAP,60,20250601,010000,1.0905,1.0923,1.0725,1.0725,1108801.86
FARTCOINUSDTSWAP,60,20250601,020000,1.0725,1.0856,1.0691,1.0736,1854209.86
FARTCOINUSDTSWAP,60,20250601,030000,1.0735,1.0848,1.0685,1.0807,1184683.47
FARTCOINUSDTSWAP,60,20250601,040000,1.0806,1.0862,1.0696,1.075,1654772.49
FARTCOINUSDTSWAP,60,20250601,050000,1.075,1.0925,1.063,1.0844,1844016.3
FARTCOINUSDTSWAP,60,20250601,060000,1.0846,1.0865,1.0686,1.078,1730722.25
FARTCOINUSDTSWAP,60,20250601,070000,1.0781,1.105,1.0749,1.098,1833171.05
FARTCOINUSDTSWAP,60,20250601,080000,1.0983,1.1116,1.0953,1.0962,1976263.45
FARTCOINUSDTSWAP,60,20250601,090000,1.096,1.0974,1.0773,1.0777,2971469.72
FARTCOINUSDTSWAP,60,20250601,100000,1.0776,1.0776,1.0557,1.065,3154016.66
FARTCOINUSDTSWAP,60,20250601,110000,1.0649,1.0694,1.0571,1.0605,1063782.92
FARTCOINUSDTSWAP,60,20250601,120000,1.0608,1.0627,1.0364,1.0496,2588242.74
FARTCOINUSDTSWAP,60,20250601,130000,1.0495,1.0534,1.0414,1.0523,1387892.38
FARTCOINUSDTSWAP,60,20250601,140000,1.0523,1.0667,1.0476,1.0636,2151289.5
FARTCOINUSDTSWAP,60,20250601,150000,1.0634,1.067,1.0487,1.0546,1678052.64
FARTCOINUSDTSWAP,60,20250601,160000,1.0546,1.0793,1.0526,1.079,1588192.8
FARTCOINUSDTSWAP,60,20250601,170000,1.0787,1.1183,1.0787,1.111,4094496.02
FARTCOINUSDTSWAP,60,20250601,180000,1.1109,1.1441,1.1026,1.1197,5065317.41
FARTCOINUSDTSWAP,60,20250601,190000,1.1197,1.1447,1.1155,1.1322,4572600.63
FARTCOINUSDTSWAP,60,20250601,200000,1.1321,1.1388,1.1241,1.1284,1634754.66
FARTCOINUSDTSWAP,60,20250601,210000,1.1286,1.1289,1.1012,1.121,3593092.22
FARTCOINUSDTSWAP,60,20250601,220000,1.121,1.14,1.1189,1.1348,1877791.58
FARTCOINUSDTSWAP,60,20250601,230000,1.1347,1.1545,1.1259,1.144,2460769.42
FARTCOINUSDTSWAP,60,20250602,000000,1.144,1.1725,1.1434,1.167,3771824.06
FARTCOINUSDTSWAP,60,20250602,010000,1.1671,1.1696,1.153,1.1554,2505705.35
FARTCOINUSDTSWAP,60,20250602,020000,1.1554,1.168,1.1428,1.1485,2449281.62
FARTCOINUSDTSWAP,60,20250602,030000,1.1486,1.1489,1.1396,1.142,884481.73
FARTCOINUSDTSWAP,60,20250602,040000,1.1421,1.1514,1.1377,1.1379,1143750.33
FARTCOINUSDTSWAP,60,20250602,050000,1.1378,1.1394,1.1252,1.1276,1654470.43
FARTCOINUSDTSWAP,60,20250602,060000,1.1277,1.1313,1.12,1.1218,1385610.63
FARTCOINUSDTSWAP,60,20250602,070000,1.1217,1.1303,1.113,1.1156,918228.11
FARTCOINUSDTSWAP,60,20250602,080000,1.1156,1.1208,1.11,1.1168,1658477.73
FARTCOINUSDTSWAP,60,20250602,090000,1.1169,1.1303,1.1044,1.1188,1823924.51
FARTCOINUSDTSWAP,60,20250602,100000,1.1188,1.1299,1.1151,1.1199,1405062.88
FARTCOINUSDTSWAP,60,20250602,110000,1.1197,1.1298,1.099,1.1065,3009507.27
FARTCOINUSDTSWAP,60,20250602,120000,1.1065,1.1069,1.0676,1.0697,5479835.03
FARTCOINUSDTSWAP,60,20250602,130000,1.0696,1.0872,1.0639,1.0839,4061053.0
FARTCOINUSDTSWAP,60,20250602,140000,1.0839,1.0915,1.0681,1.0823,2964812.26
FARTCOINUSDTSWAP,60,20250602,150000,1.0821,1.0942,1.0704,1.0894,3430128.23
FARTCOINUSDTSWAP,60,20250602,160000,1.0894,1.1006,1.0713,1.0759,4259850.32
FARTCOINUSDTSWAP,60,20250602,170000,1.0756,1.1013,1.0685,1.0888,4068245.11
FARTCOINUSDTSWAP,60,20250602,180000,1.0888,1.0988,1.0785,1.0928,2305759.38
FARTCOINUSDTSWAP,60,20250602,190000,1.093,1.0993,1.0747,1.0946,2812524.0
FARTCOINUSDTSWAP,60,20250602,200000,1.0945,1.1015,1.0826,1.1002,3209985.72
FARTCOINUSDTSWAP,60,20250602,210000,1.1004,1.1227,1.0893,1.0909,4515017.13
FARTCOINUSDTSWAP,60,20250602,220000,1.0908,1.0968,1.0698,1.0791,3200021.06
FARTCOINUSDTSWAP,60,20250602,230000,1.0791,1.1251,1.0791,1.1235,3729737.57
