<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FARTCOINUSDTSWAP,3,20250604,172700,1.0486,1.0498,1.046,1.0486,40758.03
FARTCOINUSDTSWAP,3,20250604,173000,1.0484,1.0534,1.0478,1.0528,77507.16
FARTCOINUSDTSWAP,3,20250604,173300,1.0529,1.059,1.0528,1.0551,328358.45
FARTCOINUSDTSWAP,3,20250604,173600,1.0552,1.0552,1.0482,1.0482,83801.87
FARTCOINUSDTSWAP,3,20250604,173900,1.0487,1.0512,1.0468,1.0479,99597.14
FARTCOINUSDTSWAP,3,20250604,174200,1.0478,1.048,1.0439,1.0459,69001.82
FARTCOINUSDTSWAP,3,20250604,174500,1.0461,1.0524,1.0433,1.0508,228423.26
FARTCOINUSDTSWAP,3,20250604,174800,1.0508,1.0561,1.0497,1.0526,357659.75
FARTCOINUSDTSWAP,3,20250604,175100,1.0526,1.0542,1.0513,1.0524,92275.13
FARTCOINUSDTSWAP,3,20250604,175400,1.0524,1.0603,1.0521,1.0592,274780.59
FARTCOINUSDTSWAP,3,20250604,175700,1.059,1.0654,1.0585,1.064,453313.42
FARTCOINUSDTSWAP,3,20250604,180000,1.0642,1.0648,1.0597,1.0601,276057.74
FARTCOINUSDTSWAP,3,20250604,180300,1.0599,1.0628,1.0573,1.059,139387.45
FARTCOINUSDTSWAP,3,20250604,180600,1.0588,1.0732,1.0583,1.0667,820813.52
FARTCOINUSDTSWAP,3,20250604,180900,1.0668,1.0724,1.066,1.0702,198634.96
FARTCOINUSDTSWAP,3,20250604,181200,1.0702,1.0704,1.066,1.0666,211302.43
FARTCOINUSDTSWAP,3,20250604,181500,1.0666,1.0772,1.0666,1.0703,367698.62
FARTCOINUSDTSWAP,3,20250604,181800,1.0702,1.0723,1.0654,1.0683,172855.49
FARTCOINUSDTSWAP,3,20250604,182100,1.068,1.068,1.0629,1.0659,172528.99
FARTCOINUSDTSWAP,3,20250604,182400,1.0659,1.067,1.0638,1.0638,83749.89
FARTCOINUSDTSWAP,3,20250604,182700,1.0638,1.0674,1.0615,1.0626,153926.54
FARTCOINUSDTSWAP,3,20250604,183000,1.0626,1.067,1.058,1.0649,137622.64
FARTCOINUSDTSWAP,3,20250604,183300,1.0654,1.0666,1.0601,1.0606,162008.99
FARTCOINUSDTSWAP,3,20250604,183600,1.0608,1.0659,1.0597,1.0639,188339.74
FARTCOINUSDTSWAP,3,20250604,183900,1.064,1.0647,1.0605,1.0616,123505.93
FARTCOINUSDTSWAP,3,20250604,184200,1.0616,1.063,1.0569,1.0604,141007.02
FARTCOINUSDTSWAP,3,20250604,184500,1.0603,1.0641,1.0594,1.0597,79835.29
FARTCOINUSDTSWAP,3,20250604,184800,1.0597,1.0609,1.0527,1.053,348058.47
FARTCOINUSDTSWAP,3,20250604,185100,1.0531,1.0572,1.0529,1.0541,77161.69
FARTCOINUSDTSWAP,3,20250604,185400,1.054,1.0581,1.0535,1.0574,121737.0
