<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FLMUSDTSWAP,1440,20250225,030000,0.03574,0.03728,0.03337,0.03697,226062.11
FLMUSDTSWAP,1440,20250226,030000,0.03698,0.03758,0.035,0.03668,215460.53
FLMUSDTSWAP,1440,20250227,030000,0.03669,0.0382,0.03623,0.03803,132897.78
FLMUSDTSWAP,1440,20250228,030000,0.03801,0.03848,0.03513,0.03823,235330.86
FLMUSDTSWAP,1440,20250301,030000,0.03824,0.03896,0.0371,0.03806,115050.43
FLMUSDTSWAP,1440,20250302,030000,0.03805,0.04213,0.03736,0.04187,141713.95
FLMUSDTSWAP,1440,20250303,030000,0.04188,0.042,0.03546,0.03589,232187.28
FLMUSDTSWAP,1440,20250304,030000,0.03584,0.03625,0.03174,0.03439,279008.56
FLMUSDTSWAP,1440,20250305,030000,0.0344,0.0356,0.03346,0.03539,175939.9
FLMUSDTSWAP,1440,20250306,030000,0.03539,0.03633,0.03464,0.03527,176150.54
FLMUSDTSWAP,1440,20250307,030000,0.03527,0.03622,0.03355,0.03475,263447.4
FLMUSDTSWAP,1440,20250308,030000,0.03475,0.03488,0.0336,0.03404,146435.49
FLMUSDTSWAP,1440,20250309,030000,0.03405,0.03442,0.03053,0.03091,214078.82
FLMUSDTSWAP,1440,20250310,030000,0.03093,0.0327,0.02802,0.02888,279850.19
FLMUSDTSWAP,1440,20250311,030000,0.02889,0.03125,0.02691,0.03047,262808.69
FLMUSDTSWAP,1440,20250312,030000,0.03048,0.03198,0.02964,0.03169,191101.74
FLMUSDTSWAP,1440,20250313,030000,0.03169,0.03219,0.03036,0.03121,211468.13
FLMUSDTSWAP,1440,20250314,030000,0.03121,0.03357,0.0311,0.03268,131481.71
FLMUSDTSWAP,1440,20250315,030000,0.0327,0.03396,0.03227,0.03369,129662.43
FLMUSDTSWAP,1440,20250316,030000,0.03368,0.03369,0.03168,0.03202,131061.51
FLMUSDTSWAP,1440,20250317,030000,0.03204,0.03402,0.03188,0.03368,130370.79
FLMUSDTSWAP,1440,20250318,030000,0.03368,0.03389,0.03209,0.03371,123292.21
FLMUSDTSWAP,1440,20250319,030000,0.0337,0.03559,0.03369,0.03546,228928.31
FLMUSDTSWAP,1440,20250320,030000,0.03545,0.03547,0.03418,0.03457,149937.87
FLMUSDTSWAP,1440,20250321,030000,0.03457,0.0354,0.0341,0.03413,97136.27
FLMUSDTSWAP,1440,20250322,030000,0.03411,0.03624,0.03404,0.03528,80783.6
FLMUSDTSWAP,1440,20250323,030000,0.03528,0.03554,0.03434,0.03466,67522.04
FLMUSDTSWAP,1440,20250324,030000,0.03466,0.03649,0.03406,0.03607,160831.69
FLMUSDTSWAP,1440,20250325,030000,0.03607,0.03677,0.03534,0.03669,112701.08
FLMUSDTSWAP,1440,20250326,030000,0.03668,0.03679,0.0353,0.03585,127515.56
FLMUSDTSWAP,1440,20250327,030000,0.03584,0.03651,0.03483,0.03492,140365.89
FLMUSDTSWAP,1440,20250328,030000,0.03491,0.03529,0.03064,0.03131,270451.65
FLMUSDTSWAP,1440,20250329,030000,0.03132,0.03148,0.0294,0.02992,180817.56
FLMUSDTSWAP,1440,20250330,030000,0.02992,0.03095,0.02936,0.0299,199766.36
FLMUSDTSWAP,1440,20250331,030000,0.02991,0.03042,0.02827,0.02847,239337.28
FLMUSDTSWAP,1440,20250401,030000,0.02848,0.02925,0.02802,0.02829,205025.67
FLMUSDTSWAP,1440,20250402,030000,0.02828,0.02836,0.02483,0.0252,277108.17
FLMUSDTSWAP,1440,20250403,030000,0.02519,0.02565,0.017,0.01779,1795165.55
FLMUSDTSWAP,1440,20250404,030000,0.0178,0.02258,0.01663,0.0175,1681334.69
FLMUSDTSWAP,1440,20250405,030000,0.01749,0.01781,0.01676,0.01773,575576.03
FLMUSDTSWAP,1440,20250406,030000,0.01773,0.01924,0.01686,0.01767,1231046.98
FLMUSDTSWAP,1440,20250407,030000,0.01768,0.01861,0.0156,0.01768,691658.54
FLMUSDTSWAP,1440,20250408,030000,0.01768,0.01814,0.01647,0.01665,298246.24
FLMUSDTSWAP,1440,20250409,030000,0.01664,0.01901,0.01606,0.01865,295862.41
FLMUSDTSWAP,1440,20250410,030000,0.01865,0.01878,0.01602,0.01687,774290.61
FLMUSDTSWAP,1440,20250411,030000,0.01688,0.01729,0.01676,0.01693,196163.81
FLMUSDTSWAP,1440,20250412,030000,0.01692,0.01708,0.01645,0.01681,156521.22
FLMUSDTSWAP,1440,20250413,030000,0.01682,0.01699,0.01389,0.01435,419508.68
FLMUSDTSWAP,1440,20250414,030000,0.01436,0.01481,0.01373,0.01418,283917.85
FLMUSDTSWAP,1440,20250415,030000,0.01419,0.01473,0.01386,0.01425,232684.12
FLMUSDTSWAP,1440,20250416,030000,0.01426,0.01556,0.01396,0.01448,456576.84
FLMUSDTSWAP,1440,20250417,030000,0.01447,0.01454,0.0136,0.01434,221767.78
FLMUSDTSWAP,1440,20250418,030000,0.01434,0.01601,0.01406,0.0157,307445.04
FLMUSDTSWAP,1440,20250419,030000,0.01569,0.01886,0.01538,0.01775,1440834.31
FLMUSDTSWAP,1440,20250420,030000,0.01773,0.0285,0.01729,0.02172,6186216.64
FLMUSDTSWAP,1440,20250421,030000,0.02172,0.02225,0.01941,0.01965,1466549.39
FLMUSDTSWAP,1440,20250422,030000,0.01965,0.01968,0.01793,0.01959,686771.53
FLMUSDTSWAP,1440,20250423,030000,0.01957,0.02048,0.01926,0.01974,480676.11
FLMUSDTSWAP,1440,20250424,030000,0.01974,0.02528,0.01886,0.0247,1790971.77
FLMUSDTSWAP,1440,20250425,030000,0.02462,0.03912,0.02348,0.03396,18613920.27
FLMUSDTSWAP,1440,20250426,030000,0.03398,0.0359,0.03142,0.03548,6612752.28
FLMUSDTSWAP,1440,20250427,030000,0.03548,0.0452,0.03463,0.03656,12946507.95
FLMUSDTSWAP,1440,20250428,030000,0.03657,0.03662,0.03352,0.03448,4357956.39
FLMUSDTSWAP,1440,20250429,030000,0.03447,0.03452,0.03101,0.03145,2672315.57
FLMUSDTSWAP,1440,20250430,030000,0.03145,0.05368,0.03126,0.05151,13186927.73
FLMUSDTSWAP,1440,20250501,030000,0.05153,0.05226,0.04317,0.04447,9023775.82
FLMUSDTSWAP,1440,20250502,030000,0.04447,0.04456,0.04063,0.04168,2629248.46
FLMUSDTSWAP,1440,20250503,030000,0.04165,0.04551,0.03606,0.0366,4476462.41
FLMUSDTSWAP,1440,20250504,030000,0.0366,0.03733,0.03372,0.03393,1936772.96
FLMUSDTSWAP,1440,20250505,030000,0.03393,0.03689,0.03329,0.03334,1884650.33
FLMUSDTSWAP,1440,20250506,030000,0.03334,0.03441,0.02752,0.02929,1921043.4
FLMUSDTSWAP,1440,20250507,030000,0.0293,0.03116,0.02788,0.02853,1572659.83
