<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FLMUSDTSWAP,60,20250531,190000,0.03156,0.03268,0.03128,0.03223,115788.53
FLMUSDTSWAP,60,20250531,200000,0.03223,0.0331,0.03215,0.03269,102779.25
FLMUSDTSWAP,60,20250531,210000,0.03269,0.03303,0.03214,0.0323,57881.67
FLMUSDTSWAP,60,20250531,220000,0.0323,0.03242,0.03203,0.03212,37758.02
FLMUSDTSWAP,60,20250531,230000,0.03213,0.03284,0.03208,0.03272,35939.91
FLMUSDTSWAP,60,20250601,000000,0.03273,0.033,0.03258,0.03273,25622.19
FLMUSDTSWAP,60,20250601,010000,0.03272,0.03274,0.03212,0.03243,47246.34
FLMUSDTSWAP,60,20250601,020000,0.03244,0.03248,0.03214,0.0324,40429.78
FLMUSDTSWAP,60,20250601,030000,0.03241,0.03278,0.03193,0.03247,61299.37
FLMUSDTSWAP,60,20250601,040000,0.03246,0.03316,0.03238,0.03289,55368.9
FLMUSDTSWAP,60,20250601,050000,0.0329,0.03512,0.03228,0.03376,382692.77
FLMUSDTSWAP,60,20250601,060000,0.03376,0.03417,0.03293,0.03368,270773.77
FLMUSDTSWAP,60,20250601,070000,0.03368,0.03383,0.03275,0.03316,145478.07
FLMUSDTSWAP,60,20250601,080000,0.03316,0.0338,0.03284,0.0337,81383.43
FLMUSDTSWAP,60,20250601,090000,0.03371,0.03391,0.03307,0.03349,55960.89
FLMUSDTSWAP,60,20250601,100000,0.03349,0.03353,0.03282,0.03308,52749.73
FLMUSDTSWAP,60,20250601,110000,0.03309,0.03334,0.03249,0.03263,69819.3
FLMUSDTSWAP,60,20250601,120000,0.03262,0.03301,0.03209,0.03242,69100.15
FLMUSDTSWAP,60,20250601,130000,0.03242,0.03328,0.0324,0.03282,65666.48
FLMUSDTSWAP,60,20250601,140000,0.03282,0.0334,0.03253,0.03299,54078.5
FLMUSDTSWAP,60,20250601,150000,0.03298,0.03305,0.03237,0.03269,56695.62
FLMUSDTSWAP,60,20250601,160000,0.03271,0.03378,0.03241,0.03354,87611.81
FLMUSDTSWAP,60,20250601,170000,0.03354,0.03378,0.03328,0.03336,56144.69
FLMUSDTSWAP,60,20250601,180000,0.03335,0.03341,0.03291,0.03304,43114.51
FLMUSDTSWAP,60,20250601,190000,0.03304,0.03337,0.03237,0.03242,68639.87
