<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FLMUSDTSWAP,3,20250604,172700,0.03473,0.03474,0.03464,0.03469,1810.96
FLMUSDTSWAP,3,20250604,173000,0.0347,0.03473,0.03448,0.03473,2664.13
FLMUSDTSWAP,3,20250604,173300,0.03474,0.03478,0.03454,0.03457,5059.64
FLMUSDTSWAP,3,20250604,173600,0.03456,0.03456,0.0345,0.03455,890.44
FLMUSDTSWAP,3,20250604,173900,0.03453,0.03471,0.03449,0.0347,3110.91
FLMUSDTSWAP,3,20250604,174200,0.0347,0.03471,0.0346,0.03461,1376.38
FLMUSDTSWAP,3,20250604,174500,0.03461,0.03465,0.03455,0.03462,1673.84
FLMUSDTSWAP,3,20250604,174800,0.03463,0.03467,0.03458,0.03458,527.83
FLMUSDTSWAP,3,20250604,175100,0.03459,0.03463,0.03457,0.03459,753.16
FLMUSDTSWAP,3,20250604,175400,0.03461,0.03467,0.03458,0.03464,1488.82
FLMUSDTSWAP,3,20250604,175700,0.03464,0.03466,0.03458,0.03466,1710.52
FLMUSDTSWAP,3,20250604,180000,0.03466,0.0348,0.03465,0.03475,2237.72
FLMUSDTSWAP,3,20250604,180300,0.03475,0.03483,0.03473,0.03475,1216.67
FLMUSDTSWAP,3,20250604,180600,0.03475,0.03481,0.03474,0.03479,2008.13
FLMUSDTSWAP,3,20250604,180900,0.0348,0.0348,0.03468,0.03471,1656.76
FLMUSDTSWAP,3,20250604,181200,0.03472,0.03476,0.0347,0.03475,747.66
FLMUSDTSWAP,3,20250604,181500,0.03475,0.0352,0.03475,0.03518,5079.96
FLMUSDTSWAP,3,20250604,181800,0.03517,0.03535,0.03514,0.03515,3747.5
FLMUSDTSWAP,3,20250604,182100,0.03516,0.03536,0.0351,0.03531,3953.6
FLMUSDTSWAP,3,20250604,182400,0.03531,0.03535,0.03519,0.03522,1974.71
FLMUSDTSWAP,3,20250604,182700,0.03523,0.03529,0.03523,0.03528,962.69
FLMUSDTSWAP,3,20250604,183000,0.03529,0.03535,0.03524,0.03533,4097.91
FLMUSDTSWAP,3,20250604,183300,0.03533,0.03534,0.03519,0.03522,2099.49
FLMUSDTSWAP,3,20250604,183600,0.03521,0.03544,0.03521,0.03544,1937.61
FLMUSDTSWAP,3,20250604,183900,0.03544,0.03563,0.03542,0.0356,3624.17
FLMUSDTSWAP,3,20250604,184200,0.03561,0.03572,0.03555,0.03565,5172.21
FLMUSDTSWAP,3,20250604,184500,0.03566,0.03584,0.03565,0.0357,4835.35
FLMUSDTSWAP,3,20250604,184800,0.03569,0.0357,0.03553,0.03553,2569.79
FLMUSDTSWAP,3,20250604,185100,0.03553,0.03563,0.03551,0.03553,2510.69
FLMUSDTSWAP,3,20250604,185400,0.03553,0.03567,0.03553,0.03565,1381.09
FLMUSDTSWAP,3,20250604,185700,0.03565,0.03565,0.03544,0.03548,1569.85
FLMUSDTSWAP,3,20250604,190000,0.03549,0.03553,0.0353,0.03548,3227.21
FLMUSDTSWAP,3,20250604,190300,0.03548,0.0355,0.03526,0.03528,3777.73
FLMUSDTSWAP,3,20250604,190600,0.03528,0.0356,0.03528,0.03535,5498.18
FLMUSDTSWAP,3,20250604,190900,0.03536,0.03541,0.03533,0.03541,925.69
FLMUSDTSWAP,3,20250604,191200,0.03541,0.03557,0.03541,0.03554,2510.71
FLMUSDTSWAP,3,20250604,191500,0.03555,0.03568,0.03547,0.03552,3144.15
FLMUSDTSWAP,3,20250604,191800,0.03551,0.03557,0.03546,0.0355,1707.53
FLMUSDTSWAP,3,20250604,192100,0.0355,0.03553,0.03525,0.03525,1608.36
FLMUSDTSWAP,3,20250604,192400,0.03524,0.03529,0.03524,0.03527,1141.18
FLMUSDTSWAP,3,20250604,192700,0.03527,0.03537,0.03527,0.03531,2184.55
FLMUSDTSWAP,3,20250604,193000,0.03531,0.03533,0.03525,0.03533,1165.76
FLMUSDTSWAP,3,20250604,193300,0.03534,0.03534,0.03529,0.03534,1043.24
FLMUSDTSWAP,3,20250604,193600,0.03535,0.03536,0.03513,0.03523,3206.88
FLMUSDTSWAP,3,20250604,193900,0.03522,0.03525,0.03518,0.03525,1531.65
FLMUSDTSWAP,3,20250604,194200,0.03523,0.03527,0.03517,0.03522,1501.08
FLMUSDTSWAP,3,20250604,194500,0.0352,0.0352,0.03505,0.03515,2708.53
FLMUSDTSWAP,3,20250604,194800,0.03515,0.03516,0.03504,0.03515,1132.43
FLMUSDTSWAP,3,20250604,195100,0.03515,0.03517,0.0351,0.03516,1588.08
FLMUSDTSWAP,3,20250604,195400,0.03517,0.03518,0.03513,0.03513,423.55
FLMUSDTSWAP,3,20250604,195700,0.03514,0.03517,0.03512,0.03517,747.78
FLMUSDTSWAP,3,20250604,200000,0.03518,0.03523,0.03508,0.03515,1947.35
FLMUSDTSWAP,3,20250604,200300,0.03516,0.03523,0.03501,0.03503,3282.82
FLMUSDTSWAP,3,20250604,200600,0.03503,0.03512,0.03501,0.03507,2827.38
FLMUSDTSWAP,3,20250604,200900,0.03506,0.03506,0.03494,0.03496,1053.73
FLMUSDTSWAP,3,20250604,201200,0.03497,0.03503,0.03497,0.03499,1223.98
FLMUSDTSWAP,3,20250604,201500,0.03499,0.03501,0.03494,0.03496,2376.56
FLMUSDTSWAP,3,20250604,201800,0.03497,0.03506,0.03497,0.03502,1273.99
FLMUSDTSWAP,3,20250604,202100,0.03503,0.03508,0.03499,0.03505,1111.43
FLMUSDTSWAP,3,20250604,202400,0.03505,0.03516,0.03501,0.03514,3525.71
FLMUSDTSWAP,3,20250604,202700,0.03514,0.03517,0.03499,0.03501,716.79
FLMUSDTSWAP,3,20250604,203000,0.03499,0.03501,0.03483,0.03488,1681.76
FLMUSDTSWAP,3,20250604,203300,0.03489,0.03496,0.03486,0.03488,1655.7
FLMUSDTSWAP,3,20250604,203600,0.03487,0.03494,0.0348,0.03494,1452.68
FLMUSDTSWAP,3,20250604,203900,0.03494,0.03499,0.03491,0.03499,665.75
FLMUSDTSWAP,3,20250604,204200,0.035,0.03503,0.03496,0.035,726.29
FLMUSDTSWAP,3,20250604,204500,0.03499,0.03518,0.03499,0.03515,2458.05
FLMUSDTSWAP,3,20250604,204800,0.03516,0.03522,0.03512,0.03517,1039.12
FLMUSDTSWAP,3,20250604,205100,0.03518,0.03524,0.03515,0.03516,737.3
FLMUSDTSWAP,3,20250604,205400,0.03517,0.03519,0.03508,0.03516,2552.85
FLMUSDTSWAP,3,20250604,205700,0.03516,0.03516,0.03509,0.03512,470.97
FLMUSDTSWAP,3,20250604,210000,0.03511,0.03516,0.03504,0.03513,1926.66
FLMUSDTSWAP,3,20250604,210300,0.03514,0.03524,0.03514,0.03519,914.13
FLMUSDTSWAP,3,20250604,210600,0.03518,0.0352,0.03507,0.0351,898.71
FLMUSDTSWAP,3,20250604,210900,0.03509,0.03542,0.03509,0.03534,3152.8
FLMUSDTSWAP,3,20250604,211200,0.03536,0.03537,0.0353,0.0353,1097.29
FLMUSDTSWAP,3,20250604,211500,0.03531,0.03534,0.03526,0.03528,683.11
FLMUSDTSWAP,3,20250604,211800,0.03528,0.03535,0.03527,0.03531,725.74
FLMUSDTSWAP,3,20250604,212100,0.03531,0.0354,0.03531,0.03536,582.62
FLMUSDTSWAP,3,20250604,212400,0.03536,0.03537,0.0353,0.0353,592.24
FLMUSDTSWAP,3,20250604,212700,0.03529,0.03529,0.03522,0.03523,425.28
FLMUSDTSWAP,3,20250604,213000,0.03524,0.0353,0.03524,0.03528,340.1
FLMUSDTSWAP,3,20250604,213300,0.03527,0.03527,0.03522,0.03524,900.62
FLMUSDTSWAP,3,20250604,213600,0.03524,0.03526,0.03518,0.03522,1250.35
FLMUSDTSWAP,3,20250604,213900,0.03522,0.03522,0.03517,0.03521,694.36
FLMUSDTSWAP,3,20250604,214200,0.03521,0.03534,0.03521,0.0353,464.53
FLMUSDTSWAP,3,20250604,214500,0.03529,0.03531,0.0352,0.03524,841.31
FLMUSDTSWAP,3,20250604,214800,0.03524,0.03526,0.0352,0.0352,436.38
FLMUSDTSWAP,3,20250604,215100,0.0352,0.03531,0.0352,0.03528,449.64
FLMUSDTSWAP,3,20250604,215400,0.03527,0.03527,0.03523,0.03525,324.48
FLMUSDTSWAP,3,20250604,215700,0.03525,0.03529,0.0352,0.03528,634.64
FLMUSDTSWAP,3,20250604,220000,0.03526,0.03528,0.03517,0.03525,1002.97
FLMUSDTSWAP,3,20250604,220300,0.03524,0.03529,0.03524,0.03528,878.5
FLMUSDTSWAP,3,20250604,220600,0.03529,0.03529,0.03518,0.03524,944.96
FLMUSDTSWAP,3,20250604,220900,0.03523,0.03523,0.03516,0.0352,420.54
FLMUSDTSWAP,3,20250604,221200,0.03521,0.03521,0.03517,0.03518,390.55
FLMUSDTSWAP,3,20250604,221500,0.03517,0.03517,0.03493,0.03498,3145.43
FLMUSDTSWAP,3,20250604,221800,0.03498,0.03501,0.03497,0.03498,460.37
FLMUSDTSWAP,3,20250604,222100,0.03497,0.03497,0.03487,0.03491,879.15
