<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FLOKIUSDTSWAP,1440,20250225,030000,0.00008228,0.0000848,0.00007693,0.00008325,186.86
FLOKIUSDTSWAP,1440,20250226,030000,0.00008326,0.00008519,0.00007979,0.00008304,70.24
FLOKIUSDTSWAP,1440,20250227,030000,0.00008305,0.00008617,0.00008101,0.00008275,55.33
FLOKIUSDTSWAP,1440,20250228,030000,0.00008276,0.00008299,0.00007413,0.00008193,119.22
FLOKIUSDTSWAP,1440,20250301,030000,0.00008194,0.00008364,0.00007843,0.0000804,46.86
FLOKIUSDTSWAP,1440,20250302,030000,0.00008041,0.00008974,0.00007845,0.00008851,134.27
FLOKIUSDTSWAP,1440,20250303,030000,0.00008848,0.00008872,0.00007298,0.00007392,120.03
FLOKIUSDTSWAP,1440,20250304,030000,0.00007392,0.00007475,0.00006632,0.00007255,162.73
FLOKIUSDTSWAP,1440,20250305,030000,0.00007258,0.00007628,0.00007169,0.00007517,48.36
FLOKIUSDTSWAP,1440,20250306,030000,0.00007515,0.00007689,0.00007203,0.00007269,47.35
FLOKIUSDTSWAP,1440,20250307,030000,0.0000727,0.00007457,0.00006876,0.00007106,76.18
FLOKIUSDTSWAP,1440,20250308,030000,0.00007104,0.00007149,0.00006796,0.00006899,30.15
FLOKIUSDTSWAP,1440,20250309,030000,0.000069,0.00006918,0.0000586,0.00005953,59.97
FLOKIUSDTSWAP,1440,20250310,030000,0.00005955,0.00006586,0.00005624,0.00005725,91.25
FLOKIUSDTSWAP,1440,20250311,030000,0.00005726,0.00006314,0.00005287,0.00006099,95.92
FLOKIUSDTSWAP,1440,20250312,030000,0.00006096,0.00006355,0.00005917,0.00006181,83.7
FLOKIUSDTSWAP,1440,20250313,030000,0.0000618,0.00006229,0.00005795,0.00005967,60.99
FLOKIUSDTSWAP,1440,20250314,030000,0.00005968,0.00006358,0.00005954,0.00006157,40.59
FLOKIUSDTSWAP,1440,20250315,030000,0.00006157,0.00006386,0.00006094,0.00006291,24.7
FLOKIUSDTSWAP,1440,20250316,030000,0.0000629,0.00006303,0.00005862,0.00005944,38.74
FLOKIUSDTSWAP,1440,20250317,030000,0.00005945,0.00006329,0.00005941,0.00006199,65.75
FLOKIUSDTSWAP,1440,20250318,030000,0.00006198,0.00006223,0.00005901,0.00006175,38.18
FLOKIUSDTSWAP,1440,20250319,030000,0.00006176,0.00006465,0.00006054,0.00006423,57.17
