<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FLOKIUSDTSWAP,60,20250531,190000,0.00008406,0.00008607,0.00008373,0.00008542,3.23
FLOKIUSDTSWAP,60,20250531,200000,0.00008541,0.00008581,0.00008458,0.00008462,2.96
FLOKIUSDTSWAP,60,20250531,210000,0.00008464,0.00008593,0.00008455,0.00008558,1.99
FLOKIUSDTSWAP,60,20250531,220000,0.00008557,0.00008632,0.00008553,0.00008573,1.85
FLOKIUSDTSWAP,60,20250531,230000,0.00008571,0.00008613,0.00008533,0.00008596,0.83
FLOKIUSDTSWAP,60,20250601,000000,0.00008596,0.00008659,0.00008541,0.00008569,3.08
FLOKIUSDTSWAP,60,20250601,010000,0.0000857,0.00008585,0.00008496,0.00008501,2.53
FLOKIUSDTSWAP,60,20250601,020000,0.00008503,0.00008596,0.00008473,0.00008497,4.0
FLOKIUSDTSWAP,60,20250601,030000,0.00008499,0.00008563,0.00008451,0.00008507,1.79
FLOKIUSDTSWAP,60,20250601,040000,0.00008505,0.00008601,0.00008492,0.00008508,2.85
FLOKIUSDTSWAP,60,20250601,050000,0.00008507,0.00008563,0.00008409,0.00008526,2.55
FLOKIUSDTSWAP,60,20250601,060000,0.00008527,0.00008536,0.00008431,0.00008453,1.58
FLOKIUSDTSWAP,60,20250601,070000,0.00008451,0.00008558,0.0000841,0.00008538,1.17
FLOKIUSDTSWAP,60,20250601,080000,0.0000854,0.00008563,0.00008452,0.00008475,0.98
FLOKIUSDTSWAP,60,20250601,090000,0.00008477,0.00008497,0.0000842,0.00008439,1.2
FLOKIUSDTSWAP,60,20250601,100000,0.00008438,0.00008506,0.00008406,0.00008496,0.7
FLOKIUSDTSWAP,60,20250601,110000,0.00008495,0.00008519,0.00008407,0.00008464,0.91
FLOKIUSDTSWAP,60,20250601,120000,0.00008467,0.00008508,0.00008284,0.00008361,4.74
FLOKIUSDTSWAP,60,20250601,130000,0.00008361,0.00008378,0.00008283,0.00008338,1.39
FLOKIUSDTSWAP,60,20250601,140000,0.00008338,0.00008412,0.00008306,0.00008353,2.29
FLOKIUSDTSWAP,60,20250601,150000,0.00008355,0.00008364,0.00008223,0.00008283,2.36
FLOKIUSDTSWAP,60,20250601,160000,0.00008282,0.00008393,0.00008277,0.00008362,1.57
FLOKIUSDTSWAP,60,20250601,170000,0.00008363,0.00008533,0.00008363,0.00008481,2.64
FLOKIUSDTSWAP,60,20250601,180000,0.0000848,0.00008568,0.00008455,0.00008568,3.23
FLOKIUSDTSWAP,60,20250601,190000,0.00008569,0.00008703,0.00008548,0.0000863,6.35
FLOKIUSDTSWAP,60,20250601,200000,0.0000863,0.00008647,0.00008557,0.00008561,2.39
FLOKIUSDTSWAP,60,20250601,210000,0.0000856,0.00008566,0.00008333,0.00008414,3.21
