<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FLOKIUSDTSWAP,3,20250604,172700,0.00008378,0.00008378,0.00008356,0.00008358,0.06
FLOKIUSDTSWAP,3,20250604,173000,0.0000836,0.00008369,0.00008357,0.00008362,0.03
FLOKIUSDTSWAP,3,20250604,173300,0.00008364,0.00008388,0.00008364,0.00008372,0.08
FLOKIUSDTSWAP,3,20250604,173600,0.00008369,0.00008377,0.00008358,0.0000836,0.05
FLOKIUSDTSWAP,3,20250604,173900,0.00008359,0.00008381,0.00008359,0.00008373,0.12
FLOKIUSDTSWAP,3,20250604,174200,0.00008374,0.00008381,0.0000836,0.00008377,0.14
FLOKIUSDTSWAP,3,20250604,174500,0.00008379,0.00008389,0.00008362,0.00008389,0.06
FLOKIUSDTSWAP,3,20250604,174800,0.0000839,0.00008421,0.0000839,0.00008393,0.09
FLOKIUSDTSWAP,3,20250604,175100,0.00008391,0.00008403,0.00008391,0.00008403,0.06
FLOKIUSDTSWAP,3,20250604,175400,0.00008405,0.0000845,0.00008404,0.00008444,0.08
FLOKIUSDTSWAP,3,20250604,175700,0.00008445,0.00008466,0.00008438,0.00008466,0.1
FLOKIUSDTSWAP,3,20250604,180000,0.00008465,0.00008467,0.00008438,0.00008441,0.11
FLOKIUSDTSWAP,3,20250604,180300,0.00008437,0.00008448,0.00008432,0.0000844,0.04
FLOKIUSDTSWAP,3,20250604,180600,0.00008445,0.00008476,0.0000844,0.00008447,0.14
FLOKIUSDTSWAP,3,20250604,180900,0.00008444,0.00008457,0.00008439,0.00008455,0.06
FLOKIUSDTSWAP,3,20250604,181200,0.00008454,0.0000847,0.00008448,0.00008463,0.18
FLOKIUSDTSWAP,3,20250604,181500,0.00008464,0.00008511,0.00008464,0.00008506,0.16
FLOKIUSDTSWAP,3,20250604,181800,0.000085,0.00008522,0.00008496,0.00008497,0.22
FLOKIUSDTSWAP,3,20250604,182100,0.00008496,0.00008524,0.00008485,0.00008514,0.03
FLOKIUSDTSWAP,3,20250604,182400,0.00008518,0.00008526,0.0000851,0.00008513,0.06
FLOKIUSDTSWAP,3,20250604,182700,0.00008514,0.00008525,0.00008505,0.00008512,0.13
FLOKIUSDTSWAP,3,20250604,183000,0.00008512,0.00008519,0.0000849,0.00008519,0.07
FLOKIUSDTSWAP,3,20250604,183300,0.00008516,0.0000853,0.00008505,0.0000851,0.06
FLOKIUSDTSWAP,3,20250604,183600,0.00008507,0.00008558,0.00008507,0.0000855,0.3
FLOKIUSDTSWAP,3,20250604,183900,0.00008551,0.00008568,0.00008549,0.00008563,0.04
FLOKIUSDTSWAP,3,20250604,184200,0.00008568,0.00008581,0.00008554,0.0000857,0.27
FLOKIUSDTSWAP,3,20250604,184500,0.00008569,0.00008578,0.00008548,0.00008549,0.1
FLOKIUSDTSWAP,3,20250604,184800,0.00008548,0.00008552,0.00008531,0.00008539,0.06
FLOKIUSDTSWAP,3,20250604,185100,0.00008535,0.00008556,0.00008528,0.00008541,0.05
FLOKIUSDTSWAP,3,20250604,185400,0.0000854,0.0000858,0.0000854,0.00008574,0.14
FLOKIUSDTSWAP,3,20250604,185700,0.00008572,0.00008572,0.00008541,0.00008554,0.11
FLOKIUSDTSWAP,3,20250604,190000,0.00008557,0.0000856,0.00008535,0.00008538,0.05
FLOKIUSDTSWAP,3,20250604,190300,0.00008544,0.00008548,0.00008525,0.00008525,0.08
FLOKIUSDTSWAP,3,20250604,190600,0.00008523,0.00008531,0.00008506,0.00008506,0.14
FLOKIUSDTSWAP,3,20250604,190900,0.00008511,0.0000852,0.0000851,0.00008518,0.12
FLOKIUSDTSWAP,3,20250604,191200,0.00008519,0.00008525,0.0000851,0.00008513,0.07
FLOKIUSDTSWAP,3,20250604,191500,0.0000851,0.00008517,0.00008478,0.00008483,0.2
FLOKIUSDTSWAP,3,20250604,191800,0.00008484,0.00008509,0.00008471,0.00008505,0.1
FLOKIUSDTSWAP,3,20250604,192100,0.00008505,0.00008514,0.00008483,0.00008487,0.07
FLOKIUSDTSWAP,3,20250604,192400,0.00008485,0.00008485,0.00008455,0.00008457,0.09
FLOKIUSDTSWAP,3,20250604,192700,0.00008456,0.00008468,0.00008453,0.00008459,0.04
FLOKIUSDTSWAP,3,20250604,193000,0.00008457,0.00008473,0.00008447,0.0000847,0.14
FLOKIUSDTSWAP,3,20250604,193300,0.0000847,0.00008483,0.00008468,0.00008482,0.04
FLOKIUSDTSWAP,3,20250604,193600,0.00008484,0.00008486,0.00008472,0.00008485,0.06
FLOKIUSDTSWAP,3,20250604,193900,0.00008486,0.00008498,0.00008484,0.00008484,0.05
FLOKIUSDTSWAP,3,20250604,194200,0.00008483,0.00008483,0.00008469,0.00008477,0.02
FLOKIUSDTSWAP,3,20250604,194500,0.00008476,0.00008487,0.00008469,0.00008484,0.02
FLOKIUSDTSWAP,3,20250604,194800,0.00008486,0.00008495,0.00008473,0.0000849,0.02
FLOKIUSDTSWAP,3,20250604,195100,0.00008492,0.00008492,0.00008488,0.00008489,0.09
FLOKIUSDTSWAP,3,20250604,195400,0.00008491,0.00008511,0.00008489,0.00008496,0.08
FLOKIUSDTSWAP,3,20250604,195700,0.00008491,0.00008493,0.00008482,0.00008493,0.04
FLOKIUSDTSWAP,3,20250604,200000,0.00008493,0.00008497,0.00008464,0.00008464,0.08
FLOKIUSDTSWAP,3,20250604,200300,0.00008466,0.00008471,0.00008452,0.00008464,0.09
FLOKIUSDTSWAP,3,20250604,200600,0.00008465,0.00008465,0.00008451,0.00008463,0.03
FLOKIUSDTSWAP,3,20250604,200900,0.00008462,0.00008462,0.00008437,0.00008437,0.02
FLOKIUSDTSWAP,3,20250604,201200,0.00008444,0.00008462,0.00008444,0.00008459,0.02
FLOKIUSDTSWAP,3,20250604,201500,0.00008458,0.00008458,0.00008422,0.00008431,0.05
FLOKIUSDTSWAP,3,20250604,201800,0.00008436,0.00008446,0.00008436,0.00008446,0.03
FLOKIUSDTSWAP,3,20250604,202100,0.00008448,0.00008459,0.0000844,0.00008455,0.04
FLOKIUSDTSWAP,3,20250604,202400,0.00008454,0.00008462,0.00008422,0.00008425,0.03
FLOKIUSDTSWAP,3,20250604,202700,0.00008429,0.00008437,0.00008414,0.00008414,0.04
FLOKIUSDTSWAP,3,20250604,203000,0.00008413,0.00008413,0.0000838,0.00008386,0.12
FLOKIUSDTSWAP,3,20250604,203300,0.00008387,0.00008413,0.00008371,0.00008401,0.05
FLOKIUSDTSWAP,3,20250604,203600,0.000084,0.000084,0.00008376,0.00008386,0.13
FLOKIUSDTSWAP,3,20250604,203900,0.00008385,0.00008399,0.00008377,0.00008396,0.04
FLOKIUSDTSWAP,3,20250604,204200,0.00008396,0.00008399,0.00008389,0.00008392,0.1
FLOKIUSDTSWAP,3,20250604,204500,0.00008393,0.00008408,0.00008386,0.000084,0.03
FLOKIUSDTSWAP,3,20250604,204800,0.00008397,0.00008422,0.00008394,0.00008403,0.03
FLOKIUSDTSWAP,3,20250604,205100,0.00008403,0.00008409,0.00008395,0.00008401,0.15
FLOKIUSDTSWAP,3,20250604,205400,0.00008403,0.00008415,0.00008403,0.00008412,0.03
FLOKIUSDTSWAP,3,20250604,205700,0.00008411,0.00008414,0.00008402,0.00008405,0.03
FLOKIUSDTSWAP,3,20250604,210000,0.00008407,0.0000843,0.00008407,0.00008421,0.03
FLOKIUSDTSWAP,3,20250604,210300,0.00008426,0.00008442,0.00008422,0.00008438,0.02
FLOKIUSDTSWAP,3,20250604,210600,0.00008436,0.00008436,0.00008394,0.00008399,0.04
FLOKIUSDTSWAP,3,20250604,210900,0.00008399,0.00008427,0.00008395,0.00008425,0.03
FLOKIUSDTSWAP,3,20250604,211200,0.00008425,0.00008427,0.00008418,0.00008423,0.04
FLOKIUSDTSWAP,3,20250604,211500,0.00008424,0.00008431,0.00008423,0.00008429,0.02
FLOKIUSDTSWAP,3,20250604,211800,0.00008429,0.00008456,0.00008423,0.00008451,0.07
FLOKIUSDTSWAP,3,20250604,212100,0.00008453,0.00008455,0.0000844,0.00008444,0.04
FLOKIUSDTSWAP,3,20250604,212400,0.00008444,0.00008451,0.00008439,0.00008443,0.02
FLOKIUSDTSWAP,3,20250604,212700,0.00008443,0.00008452,0.00008442,0.00008442,0.02
FLOKIUSDTSWAP,3,20250604,213000,0.00008442,0.00008451,0.00008425,0.00008428,0.01
FLOKIUSDTSWAP,3,20250604,213300,0.00008429,0.0000843,0.00008413,0.00008416,0.02
FLOKIUSDTSWAP,3,20250604,213600,0.00008417,0.0000842,0.00008411,0.00008414,0.02
FLOKIUSDTSWAP,3,20250604,213900,0.00008413,0.0000842,0.00008409,0.00008411,0.02
FLOKIUSDTSWAP,3,20250604,214200,0.00008412,0.00008434,0.00008412,0.0000843,0.06
FLOKIUSDTSWAP,3,20250604,214500,0.00008433,0.00008439,0.00008421,0.00008427,0.02
FLOKIUSDTSWAP,3,20250604,214800,0.00008428,0.00008433,0.00008407,0.00008408,0.01
FLOKIUSDTSWAP,3,20250604,215100,0.00008408,0.00008408,0.00008395,0.000084,0.01
FLOKIUSDTSWAP,3,20250604,215400,0.00008398,0.00008401,0.00008382,0.0000839,0.06
FLOKIUSDTSWAP,3,20250604,215700,0.00008388,0.00008396,0.00008386,0.00008389,0.05
FLOKIUSDTSWAP,3,20250604,220000,0.00008389,0.00008395,0.00008384,0.00008389,0.02
FLOKIUSDTSWAP,3,20250604,220300,0.00008388,0.00008414,0.00008388,0.00008411,0.04
FLOKIUSDTSWAP,3,20250604,220600,0.00008411,0.00008411,0.0000838,0.00008385,0.02
FLOKIUSDTSWAP,3,20250604,220900,0.0000839,0.0000839,0.00008368,0.00008376,0.04
FLOKIUSDTSWAP,3,20250604,221200,0.00008378,0.00008387,0.00008378,0.00008381,0.01
FLOKIUSDTSWAP,3,20250604,221500,0.00008379,0.0000838,0.00008359,0.00008374,0.05
FLOKIUSDTSWAP,3,20250604,221800,0.00008375,0.0000839,0.00008375,0.00008385,0.03
FLOKIUSDTSWAP,3,20250604,222100,0.00008385,0.00008393,0.00008381,0.00008387,0.03
FLOKIUSDTSWAP,3,20250604,222400,0.00008385,0.00008388,0.0000838,0.0000838,0.0
