<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GALAUSDTSWAP,1440,20250225,030000,0.01878,0.02017,0.01776,0.0198,3022684.14
GALAUSDTSWAP,1440,20250226,030000,0.0198,0.02017,0.0188,0.01974,1591140.38
GALAUSDTSWAP,1440,20250227,030000,0.01974,0.02044,0.01934,0.01992,866674.04
GALAUSDTSWAP,1440,20250228,030000,0.01992,0.02011,0.01779,0.01998,2016120.21
GALAUSDTSWAP,1440,20250301,030000,0.01998,0.02011,0.0188,0.01966,860201.38
GALAUSDTSWAP,1440,20250302,030000,0.01966,0.02248,0.01914,0.02219,2635248.67
GALAUSDTSWAP,1440,20250303,030000,0.02219,0.02233,0.01799,0.0184,3227908.34
GALAUSDTSWAP,1440,20250304,030000,0.0184,0.01856,0.01603,0.0177,3405268.46
GALAUSDTSWAP,1440,20250305,030000,0.0177,0.01898,0.01744,0.01881,1200046.71
GALAUSDTSWAP,1440,20250306,030000,0.01881,0.0196,0.01829,0.01854,1147822.28
GALAUSDTSWAP,1440,20250307,030000,0.01855,0.01945,0.01737,0.01851,1851500.36
GALAUSDTSWAP,1440,20250308,030000,0.0185,0.01863,0.01724,0.01766,908950.88
GALAUSDTSWAP,1440,20250309,030000,0.01766,0.01776,0.01547,0.01587,1371005.26
GALAUSDTSWAP,1440,20250310,030000,0.01587,0.0173,0.01483,0.01501,1659427.65
GALAUSDTSWAP,1440,20250311,030000,0.01501,0.01636,0.01385,0.01585,2165211.1
GALAUSDTSWAP,1440,20250312,030000,0.01584,0.01689,0.01533,0.01664,1366737.17
GALAUSDTSWAP,1440,20250313,030000,0.01664,0.01689,0.01567,0.0162,1107962.9
GALAUSDTSWAP,1440,20250314,030000,0.01621,0.01703,0.01616,0.01656,751491.68
GALAUSDTSWAP,1440,20250315,030000,0.01657,0.01728,0.01642,0.01713,444736.33
GALAUSDTSWAP,1440,20250316,030000,0.01712,0.01737,0.01603,0.01628,953839.09
GALAUSDTSWAP,1440,20250317,030000,0.01628,0.01759,0.01623,0.01728,987850.6
GALAUSDTSWAP,1440,20250318,030000,0.01727,0.01734,0.01636,0.01732,1219181.64
GALAUSDTSWAP,1440,20250319,030000,0.01732,0.01784,0.017,0.01775,1574290.07
GALAUSDTSWAP,1440,20250320,030000,0.01774,0.0178,0.01686,0.01708,658549.67
GALAUSDTSWAP,1440,20250321,030000,0.01708,0.01727,0.01641,0.01666,839382.66
GALAUSDTSWAP,1440,20250322,030000,0.01666,0.01751,0.01663,0.01713,451848.37
GALAUSDTSWAP,1440,20250323,030000,0.01714,0.01752,0.0169,0.01725,513149.01
GALAUSDTSWAP,1440,20250324,030000,0.01725,0.01863,0.01708,0.01815,831146.8
GALAUSDTSWAP,1440,20250325,030000,0.01814,0.01876,0.01792,0.01859,594428.95
GALAUSDTSWAP,1440,20250326,030000,0.01858,0.01911,0.01808,0.01834,827571.28
GALAUSDTSWAP,1440,20250327,030000,0.01833,0.01892,0.01799,0.01834,802312.42
GALAUSDTSWAP,1440,20250328,030000,0.01834,0.01842,0.01625,0.01667,1636315.84
GALAUSDTSWAP,1440,20250329,030000,0.01666,0.01678,0.01474,0.01539,1593780.13
GALAUSDTSWAP,1440,20250330,030000,0.0154,0.01592,0.01509,0.01539,1205212.93
GALAUSDTSWAP,1440,20250331,030000,0.01539,0.01559,0.01476,0.01522,1321513.18
GALAUSDTSWAP,1440,20250401,030000,0.01522,0.01628,0.01519,0.01585,955773.02
GALAUSDTSWAP,1440,20250402,030000,0.01585,0.01614,0.01419,0.01453,1785325.9
GALAUSDTSWAP,1440,20250403,030000,0.01452,0.01539,0.01402,0.0149,1835694.63
GALAUSDTSWAP,1440,20250404,030000,0.0149,0.01536,0.01461,0.01502,1221214.55
GALAUSDTSWAP,1440,20250405,030000,0.01502,0.01521,0.01458,0.01484,487019.93
GALAUSDTSWAP,1440,20250406,030000,0.01484,0.0149,0.01255,0.01296,2276780.82
GALAUSDTSWAP,1440,20250407,030000,0.01297,0.01426,0.01175,0.01328,3222790.04
GALAUSDTSWAP,1440,20250408,030000,0.01328,0.0138,0.01261,0.01272,1345988.77
GALAUSDTSWAP,1440,20250409,030000,0.01272,0.0145,0.01206,0.01426,1718236.21
GALAUSDTSWAP,1440,20250410,030000,0.01426,0.01429,0.01344,0.01389,1209079.4
GALAUSDTSWAP,1440,20250411,030000,0.01388,0.01472,0.01386,0.01426,1270293.41
GALAUSDTSWAP,1440,20250412,030000,0.01427,0.01536,0.01421,0.01521,943095.15
GALAUSDTSWAP,1440,20250413,030000,0.0152,0.01534,0.0141,0.01435,1120253.57
GALAUSDTSWAP,1440,20250414,030000,0.01435,0.01528,0.01429,0.01465,1595920.37
GALAUSDTSWAP,1440,20250415,030000,0.01465,0.01494,0.01399,0.01406,774527.38
GALAUSDTSWAP,1440,20250416,030000,0.01407,0.01433,0.01355,0.01375,926264.57
GALAUSDTSWAP,1440,20250417,030000,0.01375,0.01414,0.01353,0.01379,735203.7
GALAUSDTSWAP,1440,20250418,030000,0.0138,0.01437,0.01366,0.01424,650413.21
GALAUSDTSWAP,1440,20250419,030000,0.01424,0.01553,0.0142,0.01532,915993.87
GALAUSDTSWAP,1440,20250420,030000,0.01532,0.01588,0.01494,0.01555,1038563.42
GALAUSDTSWAP,1440,20250421,030000,0.01555,0.01695,0.01526,0.01561,2491851.83
GALAUSDTSWAP,1440,20250422,030000,0.01561,0.01695,0.01533,0.01678,1564714.56
GALAUSDTSWAP,1440,20250423,030000,0.01679,0.01737,0.01655,0.01707,2024606.08
GALAUSDTSWAP,1440,20250424,030000,0.01706,0.01757,0.01606,0.01747,1691131.61
GALAUSDTSWAP,1440,20250425,030000,0.01746,0.01795,0.0171,0.01736,1362672.65
GALAUSDTSWAP,1440,20250426,030000,0.01736,0.01832,0.01716,0.0177,1045378.21
GALAUSDTSWAP,1440,20250427,030000,0.01771,0.01781,0.01643,0.01646,733797.59
GALAUSDTSWAP,1440,20250428,030000,0.01646,0.01739,0.01589,0.01733,1019638.52
GALAUSDTSWAP,1440,20250429,030000,0.01733,0.01765,0.01648,0.01673,825078.82
GALAUSDTSWAP,1440,20250430,030000,0.01673,0.01716,0.01611,0.0169,894007.99
GALAUSDTSWAP,1440,20250501,030000,0.01689,0.01744,0.01682,0.01714,847499.19
GALAUSDTSWAP,1440,20250502,030000,0.01714,0.01753,0.01661,0.01685,705539.66
GALAUSDTSWAP,1440,20250503,030000,0.01685,0.01685,0.01541,0.01562,910720.17
GALAUSDTSWAP,1440,20250504,030000,0.01562,0.01574,0.01499,0.0153,727715.24
GALAUSDTSWAP,1440,20250505,030000,0.0153,0.01572,0.01502,0.01522,852210.0
GALAUSDTSWAP,1440,20250506,030000,0.01522,0.01539,0.01431,0.015,818100.25
GALAUSDTSWAP,1440,20250507,030000,0.015,0.01539,0.01477,0.01518,770935.96
GALAUSDTSWAP,1440,20250508,030000,0.01518,0.01809,0.01514,0.01781,1352082.3
GALAUSDTSWAP,1440,20250509,030000,0.01781,0.01968,0.0178,0.0196,1921427.88
GALAUSDTSWAP,1440,20250510,030000,0.0196,0.02241,0.01933,0.02232,1554685.58
GALAUSDTSWAP,1440,20250511,030000,0.02232,0.02363,0.02127,0.02193,3910856.32
GALAUSDTSWAP,1440,20250512,030000,0.02192,0.02346,0.02103,0.02202,3430229.26
GALAUSDTSWAP,1440,20250513,030000,0.02203,0.02303,0.02039,0.02252,1876061.65
GALAUSDTSWAP,1440,20250514,030000,0.02253,0.02352,0.02126,0.02146,1366071.34
GALAUSDTSWAP,1440,20250515,030000,0.02147,0.02183,0.01927,0.01983,2292952.91
GALAUSDTSWAP,1440,20250516,030000,0.01984,0.02067,0.01924,0.01943,1212418.07
GALAUSDTSWAP,1440,20250517,030000,0.01943,0.01955,0.01823,0.01851,1621823.81
GALAUSDTSWAP,1440,20250518,030000,0.01851,0.02055,0.01822,0.02001,1981985.5
GALAUSDTSWAP,1440,20250519,030000,0.02002,0.02023,0.01803,0.01897,1790715.11
GALAUSDTSWAP,1440,20250520,030000,0.01898,0.01972,0.01823,0.01949,1193995.87
GALAUSDTSWAP,1440,20250521,030000,0.01948,0.02074,0.0191,0.0199,1974117.42
GALAUSDTSWAP,1440,20250522,030000,0.0199,0.02132,0.01988,0.02106,1744372.15
GALAUSDTSWAP,1440,20250523,030000,0.02106,0.02189,0.01865,0.01879,2552523.96
GALAUSDTSWAP,1440,20250524,030000,0.01878,0.01942,0.01863,0.01885,812416.51
GALAUSDTSWAP,1440,20250525,030000,0.01885,0.01916,0.01791,0.01909,897754.19
GALAUSDTSWAP,1440,20250526,030000,0.0191,0.01987,0.01876,0.01908,1336079.23
GALAUSDTSWAP,1440,20250527,030000,0.01909,0.01999,0.0184,0.01934,1134313.1
GALAUSDTSWAP,1440,20250528,030000,0.01934,0.01983,0.01857,0.01956,1503641.04
GALAUSDTSWAP,1440,20250529,030000,0.01956,0.02033,0.01842,0.01853,2164717.17
GALAUSDTSWAP,1440,20250530,030000,0.01853,0.01868,0.01607,0.01639,2388216.15
GALAUSDTSWAP,1440,20250531,030000,0.01638,0.01683,0.01557,0.01658,1010290.6
GALAUSDTSWAP,1440,20250601,030000,0.01658,0.01699,0.01608,0.0169,599115.46
GALAUSDTSWAP,1440,20250602,030000,0.0169,0.0174,0.01622,0.01725,849055.59
GALAUSDTSWAP,1440,20250603,030000,0.01726,0.01786,0.01692,0.01707,867149.17
GALAUSDTSWAP,1440,20250604,030000,0.01707,0.01741,0.01656,0.01675,652741.32
