<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMTUSDTSWAP,1440,20250225,030000,0.05857,0.06176,0.05386,0.06046,11476802.45
GMTUSDTSWAP,1440,20250226,030000,0.06045,0.06155,0.05757,0.06086,9279365.22
GMTUSDTSWAP,1440,20250227,030000,0.06088,0.06352,0.05988,0.06173,4095684.04
GMTUSDTSWAP,1440,20250228,030000,0.06172,0.06257,0.05541,0.0613,6625608.73
GMTUSDTSWAP,1440,20250301,030000,0.0613,0.0615,0.05762,0.05926,3390798.71
GMTUSDTSWAP,1440,20250302,030000,0.05926,0.06448,0.05747,0.06375,6435767.79
GMTUSDTSWAP,1440,20250303,030000,0.06378,0.06392,0.05108,0.05207,10385384.65
GMTUSDTSWAP,1440,20250304,030000,0.05206,0.05274,0.04675,0.05182,11858442.12
GMTUSDTSWAP,1440,20250305,030000,0.05183,0.05401,0.05073,0.05334,5490000.75
GMTUSDTSWAP,1440,20250306,030000,0.05333,0.05436,0.0513,0.05241,4971595.98
GMTUSDTSWAP,1440,20250307,030000,0.05242,0.05435,0.04984,0.05221,9068363.88
GMTUSDTSWAP,1440,20250308,030000,0.05222,0.05294,0.04931,0.05047,3729630.0
GMTUSDTSWAP,1440,20250309,030000,0.05048,0.05069,0.04409,0.04499,5048207.78
GMTUSDTSWAP,1440,20250310,030000,0.045,0.0514,0.04361,0.04426,8397380.61
GMTUSDTSWAP,1440,20250311,030000,0.04427,0.04758,0.04071,0.04628,7815438.77
GMTUSDTSWAP,1440,20250312,030000,0.04628,0.04883,0.04436,0.04774,4462609.63
GMTUSDTSWAP,1440,20250313,030000,0.04771,0.04936,0.04621,0.04784,3246261.83
GMTUSDTSWAP,1440,20250314,030000,0.04785,0.05143,0.04765,0.04984,4588881.51
GMTUSDTSWAP,1440,20250315,030000,0.04985,0.051,0.04927,0.05066,3328901.64
GMTUSDTSWAP,1440,20250316,030000,0.05065,0.0512,0.04679,0.04725,4010760.31
GMTUSDTSWAP,1440,20250317,030000,0.04726,0.05081,0.0472,0.04993,3980846.24
GMTUSDTSWAP,1440,20250318,030000,0.04991,0.05049,0.04809,0.05013,4150183.05
GMTUSDTSWAP,1440,20250319,030000,0.05014,0.0566,0.05011,0.05326,20329716.67
GMTUSDTSWAP,1440,20250320,030000,0.05327,0.05507,0.05125,0.0517,6609769.83
GMTUSDTSWAP,1440,20250321,030000,0.0517,0.0522,0.04943,0.05062,4734091.04
GMTUSDTSWAP,1440,20250322,030000,0.05062,0.05388,0.05021,0.05257,2344746.09
GMTUSDTSWAP,1440,20250323,030000,0.05256,0.05347,0.05116,0.05265,2234961.79
GMTUSDTSWAP,1440,20250324,030000,0.05262,0.05433,0.05086,0.05423,3128206.64
GMTUSDTSWAP,1440,20250325,030000,0.05422,0.05506,0.0528,0.055,2323805.0
GMTUSDTSWAP,1440,20250326,030000,0.05501,0.05651,0.05341,0.05501,2477258.95
GMTUSDTSWAP,1440,20250327,030000,0.05501,0.05789,0.05386,0.05449,4386921.86
GMTUSDTSWAP,1440,20250328,030000,0.05449,0.05523,0.04853,0.04944,4074009.37
GMTUSDTSWAP,1440,20250329,030000,0.04945,0.04988,0.04661,0.04718,3454407.34
GMTUSDTSWAP,1440,20250330,030000,0.04719,0.04957,0.04647,0.04785,2730832.12
GMTUSDTSWAP,1440,20250331,030000,0.04786,0.0485,0.04602,0.04741,2814503.74
GMTUSDTSWAP,1440,20250401,030000,0.04742,0.04973,0.04713,0.0485,1943104.07
GMTUSDTSWAP,1440,20250402,030000,0.0485,0.04918,0.04392,0.04459,4200799.08
GMTUSDTSWAP,1440,20250403,030000,0.04459,0.04719,0.04316,0.04529,3058383.11
GMTUSDTSWAP,1440,20250404,030000,0.04529,0.04618,0.04373,0.04547,2123075.05
GMTUSDTSWAP,1440,20250405,030000,0.04545,0.0461,0.04463,0.04511,1242632.95
GMTUSDTSWAP,1440,20250406,030000,0.04511,0.04526,0.0384,0.03965,3218365.82
GMTUSDTSWAP,1440,20250407,030000,0.03966,0.04291,0.03627,0.04093,4549892.8
GMTUSDTSWAP,1440,20250408,030000,0.04094,0.04205,0.03931,0.03981,2808752.12
GMTUSDTSWAP,1440,20250409,030000,0.03982,0.04478,0.03796,0.04395,3254344.29
GMTUSDTSWAP,1440,20250410,030000,0.04396,0.04424,0.04127,0.04281,2737854.47
GMTUSDTSWAP,1440,20250411,030000,0.04281,0.04524,0.04252,0.04455,2031708.79
GMTUSDTSWAP,1440,20250412,030000,0.04454,0.04682,0.04377,0.0462,2090869.24
GMTUSDTSWAP,1440,20250413,030000,0.04621,0.04645,0.04273,0.04358,3528685.62
GMTUSDTSWAP,1440,20250414,030000,0.04359,0.04718,0.04338,0.04712,3908114.37
GMTUSDTSWAP,1440,20250415,030000,0.04713,0.04721,0.04462,0.04478,3079264.52
GMTUSDTSWAP,1440,20250416,030000,0.04477,0.04558,0.04265,0.04365,2735247.15
GMTUSDTSWAP,1440,20250417,030000,0.04365,0.04418,0.04253,0.0431,1568678.38
GMTUSDTSWAP,1440,20250418,030000,0.0431,0.05698,0.04248,0.04954,36969717.83
GMTUSDTSWAP,1440,20250419,030000,0.04952,0.06292,0.04871,0.05982,100808741.2
GMTUSDTSWAP,1440,20250420,030000,0.05982,0.06454,0.05608,0.05751,48329883.81
GMTUSDTSWAP,1440,20250421,030000,0.05752,0.06206,0.05431,0.05922,29256185.47
GMTUSDTSWAP,1440,20250422,030000,0.05921,0.06257,0.0567,0.06058,24151732.77
GMTUSDTSWAP,1440,20250423,030000,0.06059,0.06068,0.05619,0.05693,10088770.92
