<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMTUSDTSWAP,3,20250604,172700,0.05149,0.05149,0.05143,0.05145,3113.75
GMTUSDTSWAP,3,20250604,173000,0.05144,0.05148,0.0514,0.05146,969.7
GMTUSDTSWAP,3,20250604,173300,0.05148,0.05161,0.05148,0.05156,5461.67
GMTUSDTSWAP,3,20250604,173600,0.05155,0.05156,0.05148,0.05151,2191.03
GMTUSDTSWAP,3,20250604,173900,0.0515,0.05159,0.0515,0.05159,4260.18
GMTUSDTSWAP,3,20250604,174200,0.05159,0.05162,0.05152,0.05162,5630.17
GMTUSDTSWAP,3,20250604,174500,0.05161,0.05173,0.05159,0.05173,4675.25
GMTUSDTSWAP,3,20250604,174800,0.05174,0.05183,0.0517,0.05174,3294.54
GMTUSDTSWAP,3,20250604,175100,0.05172,0.05178,0.0517,0.05176,5020.67
GMTUSDTSWAP,3,20250604,175400,0.05178,0.05195,0.05178,0.05193,3686.63
GMTUSDTSWAP,3,20250604,175700,0.05192,0.05198,0.05188,0.05198,6526.5
GMTUSDTSWAP,3,20250604,180000,0.05198,0.052,0.05193,0.05194,4909.67
GMTUSDTSWAP,3,20250604,180300,0.05192,0.05196,0.05185,0.05185,8749.92
GMTUSDTSWAP,3,20250604,180600,0.05186,0.05203,0.05186,0.05186,6358.97
GMTUSDTSWAP,3,20250604,180900,0.05187,0.05197,0.05183,0.05195,3091.82
GMTUSDTSWAP,3,20250604,181200,0.05194,0.05199,0.05192,0.05196,10850.89
GMTUSDTSWAP,3,20250604,181500,0.05196,0.05219,0.05196,0.05216,16813.16
GMTUSDTSWAP,3,20250604,181800,0.05215,0.05222,0.0521,0.05214,11805.98
GMTUSDTSWAP,3,20250604,182100,0.05214,0.05229,0.0521,0.05224,10642.03
GMTUSDTSWAP,3,20250604,182400,0.05225,0.05232,0.05224,0.05225,6860.63
GMTUSDTSWAP,3,20250604,182700,0.05226,0.05235,0.05223,0.05223,1991.63
GMTUSDTSWAP,3,20250604,183000,0.05223,0.05227,0.05212,0.05227,4359.38
GMTUSDTSWAP,3,20250604,183300,0.05228,0.05235,0.05222,0.05223,5490.97
GMTUSDTSWAP,3,20250604,183600,0.05224,0.05245,0.05223,0.05244,11362.57
GMTUSDTSWAP,3,20250604,183900,0.05244,0.05245,0.05238,0.05242,3164.96
GMTUSDTSWAP,3,20250604,184200,0.05243,0.05243,0.05226,0.05229,4177.41
GMTUSDTSWAP,3,20250604,184500,0.05228,0.0524,0.05228,0.0523,4810.49
GMTUSDTSWAP,3,20250604,184800,0.05227,0.05229,0.05221,0.05224,4055.89
GMTUSDTSWAP,3,20250604,185100,0.05224,0.05237,0.05221,0.05233,6847.46
GMTUSDTSWAP,3,20250604,185400,0.05233,0.05243,0.0523,0.05243,3018.5
GMTUSDTSWAP,3,20250604,185700,0.05241,0.05241,0.05231,0.05234,7148.57
GMTUSDTSWAP,3,20250604,190000,0.05234,0.05237,0.05228,0.05232,3034.88
GMTUSDTSWAP,3,20250604,190300,0.05232,0.05236,0.05223,0.05223,7335.21
GMTUSDTSWAP,3,20250604,190600,0.05222,0.05225,0.05215,0.05215,1513.39
GMTUSDTSWAP,3,20250604,190900,0.05215,0.05224,0.05215,0.05222,2852.08
GMTUSDTSWAP,3,20250604,191200,0.05222,0.05222,0.05216,0.05217,3039.36
GMTUSDTSWAP,3,20250604,191500,0.05217,0.05217,0.05206,0.05208,3987.09
GMTUSDTSWAP,3,20250604,191800,0.05207,0.05212,0.052,0.05211,4947.12
GMTUSDTSWAP,3,20250604,192100,0.05211,0.05212,0.05196,0.05196,4127.37
GMTUSDTSWAP,3,20250604,192400,0.05197,0.05197,0.05189,0.05191,3846.82
GMTUSDTSWAP,3,20250604,192700,0.0519,0.05201,0.0519,0.05193,4392.19
GMTUSDTSWAP,3,20250604,193000,0.05192,0.05202,0.05189,0.05202,7422.07
GMTUSDTSWAP,3,20250604,193300,0.05203,0.05215,0.05201,0.05215,15254.78
GMTUSDTSWAP,3,20250604,193600,0.05215,0.05216,0.05208,0.05211,7280.77
GMTUSDTSWAP,3,20250604,193900,0.05211,0.05216,0.05202,0.05202,3173.24
GMTUSDTSWAP,3,20250604,194200,0.05202,0.05202,0.05193,0.05196,785.66
GMTUSDTSWAP,3,20250604,194500,0.05195,0.05199,0.0519,0.05196,2283.83
GMTUSDTSWAP,3,20250604,194800,0.05196,0.05204,0.05192,0.05204,2465.14
GMTUSDTSWAP,3,20250604,195100,0.05201,0.05201,0.05196,0.05198,1464.81
GMTUSDTSWAP,3,20250604,195400,0.05197,0.05205,0.05196,0.05199,1535.51
GMTUSDTSWAP,3,20250604,195700,0.05199,0.05202,0.05193,0.05201,1976.97
GMTUSDTSWAP,3,20250604,200000,0.05202,0.05206,0.05193,0.05193,5967.58
GMTUSDTSWAP,3,20250604,200300,0.05194,0.05198,0.05187,0.05192,5728.1
GMTUSDTSWAP,3,20250604,200600,0.0519,0.05191,0.05177,0.0518,3463.34
GMTUSDTSWAP,3,20250604,200900,0.05179,0.05179,0.0517,0.0517,4354.45
GMTUSDTSWAP,3,20250604,201200,0.05172,0.05178,0.05172,0.05176,2514.57
GMTUSDTSWAP,3,20250604,201500,0.05175,0.05175,0.05162,0.05166,2384.54
GMTUSDTSWAP,3,20250604,201800,0.05165,0.0517,0.05165,0.05168,2475.69
GMTUSDTSWAP,3,20250604,202100,0.05169,0.05174,0.05164,0.05168,1687.37
GMTUSDTSWAP,3,20250604,202400,0.05166,0.05169,0.05154,0.05158,993.37
GMTUSDTSWAP,3,20250604,202700,0.05159,0.05161,0.05146,0.05146,2129.58
GMTUSDTSWAP,3,20250604,203000,0.05147,0.05147,0.05127,0.05129,4964.44
GMTUSDTSWAP,3,20250604,203300,0.05128,0.05143,0.05122,0.05138,12118.9
GMTUSDTSWAP,3,20250604,203600,0.05136,0.05137,0.05125,0.05137,5172.16
GMTUSDTSWAP,3,20250604,203900,0.05137,0.05141,0.05134,0.05139,2386.03
GMTUSDTSWAP,3,20250604,204200,0.05138,0.05138,0.05132,0.05134,1452.56
GMTUSDTSWAP,3,20250604,204500,0.05133,0.05139,0.0513,0.05131,1217.44
GMTUSDTSWAP,3,20250604,204800,0.05131,0.05142,0.05128,0.05132,5613.01
GMTUSDTSWAP,3,20250604,205100,0.05133,0.0514,0.05129,0.05139,1722.28
GMTUSDTSWAP,3,20250604,205400,0.05139,0.05145,0.05139,0.05142,653.63
GMTUSDTSWAP,3,20250604,205700,0.05143,0.05145,0.05142,0.05145,509.88
GMTUSDTSWAP,3,20250604,210000,0.05145,0.05162,0.05145,0.0516,10399.54
GMTUSDTSWAP,3,20250604,210300,0.0516,0.0517,0.05159,0.05169,3030.42
GMTUSDTSWAP,3,20250604,210600,0.05168,0.05168,0.0515,0.0515,2666.17
GMTUSDTSWAP,3,20250604,210900,0.05152,0.05159,0.05149,0.05158,1412.83
GMTUSDTSWAP,3,20250604,211200,0.05157,0.0516,0.05154,0.05158,892.01
GMTUSDTSWAP,3,20250604,211500,0.05158,0.0516,0.05155,0.05159,1107.01
GMTUSDTSWAP,3,20250604,211800,0.05158,0.05167,0.05155,0.05162,1071.21
GMTUSDTSWAP,3,20250604,212100,0.05162,0.05165,0.05159,0.05161,5560.97
GMTUSDTSWAP,3,20250604,212400,0.05161,0.05169,0.05161,0.05167,1057.9
GMTUSDTSWAP,3,20250604,212700,0.05167,0.05171,0.05167,0.05167,668.09
GMTUSDTSWAP,3,20250604,213000,0.05169,0.05176,0.05163,0.05168,3402.08
GMTUSDTSWAP,3,20250604,213300,0.05166,0.05166,0.05159,0.05161,1129.65
GMTUSDTSWAP,3,20250604,213600,0.05161,0.05164,0.05159,0.05159,3409.51
GMTUSDTSWAP,3,20250604,213900,0.0516,0.05161,0.05153,0.05154,1019.51
GMTUSDTSWAP,3,20250604,214200,0.05155,0.0516,0.05153,0.05158,1077.65
GMTUSDTSWAP,3,20250604,214500,0.05159,0.0516,0.05153,0.0516,1027.0
GMTUSDTSWAP,3,20250604,214800,0.05161,0.05167,0.05154,0.05156,1799.23
GMTUSDTSWAP,3,20250604,215100,0.05156,0.05156,0.0515,0.05151,935.2
GMTUSDTSWAP,3,20250604,215400,0.05151,0.05155,0.05138,0.05141,5418.96
GMTUSDTSWAP,3,20250604,215700,0.05142,0.05144,0.05137,0.05138,5373.6
GMTUSDTSWAP,3,20250604,220000,0.05138,0.05145,0.05138,0.05142,3370.84
GMTUSDTSWAP,3,20250604,220300,0.05139,0.0515,0.05139,0.05148,1333.42
GMTUSDTSWAP,3,20250604,220600,0.05149,0.0515,0.05136,0.0514,1974.69
GMTUSDTSWAP,3,20250604,220900,0.0514,0.0514,0.05124,0.0513,4926.9
GMTUSDTSWAP,3,20250604,221200,0.05131,0.05137,0.0513,0.05132,1134.93
GMTUSDTSWAP,3,20250604,221500,0.0513,0.05134,0.05125,0.05133,1663.2
GMTUSDTSWAP,3,20250604,221800,0.05133,0.05145,0.05133,0.05138,1428.67
GMTUSDTSWAP,3,20250604,222100,0.05138,0.05141,0.05136,0.05139,4057.89
GMTUSDTSWAP,3,20250604,222400,0.05139,0.0514,0.05135,0.05136,536.61
