<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOATUSDTSWAP,1440,20250225,030000,0.0831,0.094,0.0782,0.0899,2953463.0
GOATUSDTSWAP,1440,20250226,030000,0.0898,0.096,0.0871,0.0945,1824792.84
GOATUSDTSWAP,1440,20250227,030000,0.0946,0.1015,0.0911,0.0938,1809844.63
GOATUSDTSWAP,1440,20250228,030000,0.0938,0.1042,0.0881,0.1001,2735154.06
GOATUSDTSWAP,1440,20250301,030000,0.1002,0.1014,0.0883,0.0897,1499985.28
GOATUSDTSWAP,1440,20250302,030000,0.0897,0.1047,0.0886,0.1031,1934095.52
GOATUSDTSWAP,1440,20250303,030000,0.1032,0.1037,0.0771,0.0796,2478936.03
GOATUSDTSWAP,1440,20250304,030000,0.0796,0.0808,0.0689,0.0749,2881252.78
GOATUSDTSWAP,1440,20250305,030000,0.0749,0.07648,0.0702,0.07375,1054404.0
GOATUSDTSWAP,1440,20250306,030000,0.07375,0.07533,0.06725,0.06834,1608915.54
GOATUSDTSWAP,1440,20250307,030000,0.06834,0.06959,0.0621,0.06308,2201610.69
GOATUSDTSWAP,1440,20250308,030000,0.06309,0.06424,0.05981,0.0615,1069481.3
GOATUSDTSWAP,1440,20250309,030000,0.06148,0.06335,0.05281,0.05597,1880309.48
GOATUSDTSWAP,1440,20250310,030000,0.05599,0.05985,0.05191,0.05362,1707711.41
GOATUSDTSWAP,1440,20250311,030000,0.05362,0.05662,0.04856,0.05415,1935020.38
GOATUSDTSWAP,1440,20250312,030000,0.05415,0.05565,0.05152,0.0554,1419895.47
GOATUSDTSWAP,1440,20250313,030000,0.0554,0.0567,0.05206,0.05423,1217004.87
GOATUSDTSWAP,1440,20250314,030000,0.05423,0.05991,0.05412,0.05714,1369930.06
GOATUSDTSWAP,1440,20250315,030000,0.05714,0.05892,0.05618,0.05816,669743.03
GOATUSDTSWAP,1440,20250316,030000,0.05816,0.0601,0.05441,0.0548,1048305.62
GOATUSDTSWAP,1440,20250317,030000,0.05477,0.05973,0.0544,0.05781,1218215.15
GOATUSDTSWAP,1440,20250318,030000,0.05782,0.05782,0.05289,0.05688,1213621.16
GOATUSDTSWAP,1440,20250319,030000,0.05686,0.05883,0.05535,0.05871,1796751.27
GOATUSDTSWAP,1440,20250320,030000,0.05872,0.05935,0.05541,0.05633,981051.54
GOATUSDTSWAP,1440,20250321,030000,0.05631,0.05737,0.05271,0.05549,1065443.88
GOATUSDTSWAP,1440,20250322,030000,0.05551,0.05846,0.05533,0.05641,931549.67
GOATUSDTSWAP,1440,20250323,030000,0.0564,0.06043,0.05592,0.05907,1157805.09
GOATUSDTSWAP,1440,20250324,030000,0.05906,0.06491,0.05788,0.0636,1565391.97
GOATUSDTSWAP,1440,20250325,030000,0.0636,0.06378,0.06103,0.0636,935191.19
GOATUSDTSWAP,1440,20250326,030000,0.06361,0.06847,0.05984,0.06187,1406137.34
