<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOATUSDTSWAP,60,20250531,190000,0.11979,0.12381,0.1188,0.12335,79614.11
GOATUSDTSWAP,60,20250531,200000,0.12333,0.12484,0.12198,0.12214,89231.97
GOATUSDTSWAP,60,20250531,210000,0.12216,0.12618,0.12181,0.12584,49503.87
GOATUSDTSWAP,60,20250531,220000,0.12587,0.12788,0.12583,0.1265,68311.41
GOATUSDTSWAP,60,20250531,230000,0.12648,0.12662,0.12461,0.12475,47744.43
GOATUSDTSWAP,60,20250601,000000,0.12478,0.12589,0.12433,0.1252,60532.77
GOATUSDTSWAP,60,20250601,010000,0.12522,0.1254,0.12391,0.12426,30382.13
GOATUSDTSWAP,60,20250601,020000,0.12427,0.12573,0.12294,0.12357,62175.88
GOATUSDTSWAP,60,20250601,030000,0.12358,0.12423,0.12181,0.123,55899.44
GOATUSDTSWAP,60,20250601,040000,0.12302,0.12348,0.12114,0.12157,50696.42
GOATUSDTSWAP,60,20250601,050000,0.12157,0.12315,0.12019,0.12228,63646.64
GOATUSDTSWAP,60,20250601,060000,0.12228,0.12261,0.12028,0.12081,25609.83
GOATUSDTSWAP,60,20250601,070000,0.12079,0.12294,0.12026,0.1221,41551.52
GOATUSDTSWAP,60,20250601,080000,0.12212,0.12263,0.12094,0.12172,18560.77
GOATUSDTSWAP,60,20250601,090000,0.12167,0.12215,0.12045,0.12074,34771.58
GOATUSDTSWAP,60,20250601,100000,0.12072,0.1224,0.12004,0.12205,45399.65
GOATUSDTSWAP,60,20250601,110000,0.12205,0.12245,0.12016,0.1207,33696.42
GOATUSDTSWAP,60,20250601,120000,0.1207,0.12103,0.11777,0.11869,66112.94
GOATUSDTSWAP,60,20250601,130000,0.11868,0.12039,0.11857,0.11995,49391.77
GOATUSDTSWAP,60,20250601,140000,0.11992,0.12113,0.11897,0.12052,38009.0
GOATUSDTSWAP,60,20250601,150000,0.12055,0.12093,0.11839,0.11965,35514.51
GOATUSDTSWAP,60,20250601,160000,0.11964,0.12185,0.11959,0.12123,41030.18
