<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GRIFFAINUSDTSWAP,1440,20250225,030000,0.0489,0.061,0.0461,0.0589,4246774.19
GRIFFAINUSDTSWAP,1440,20250226,030000,0.059,0.0671,0.0565,0.0635,4104171.92
GRIFFAINUSDTSWAP,1440,20250227,030000,0.0635,0.068,0.0585,0.0616,3145648.71
GRIFFAINUSDTSWAP,1440,20250228,030000,0.0616,0.0669,0.0559,0.0632,3985397.6
GRIFFAINUSDTSWAP,1440,20250301,030000,0.0632,0.064,0.0486,0.0492,3128066.56
GRIFFAINUSDTSWAP,1440,20250302,030000,0.0492,0.0673,0.0477,0.0651,4558011.59
GRIFFAINUSDTSWAP,1440,20250303,030000,0.0651,0.0735,0.0557,0.0566,7839746.47
GRIFFAINUSDTSWAP,1440,20250304,030000,0.0566,0.0647,0.0528,0.061,4197272.62
GRIFFAINUSDTSWAP,1440,20250305,030000,0.061,0.0775,0.0579,0.07404,4150949.78
GRIFFAINUSDTSWAP,1440,20250306,030000,0.07404,0.0759,0.0596,0.06276,4292044.31
GRIFFAINUSDTSWAP,1440,20250307,030000,0.06276,0.0637,0.0463,0.04673,5438290.25
GRIFFAINUSDTSWAP,1440,20250308,030000,0.04674,0.04944,0.04233,0.04353,3115082.09
GRIFFAINUSDTSWAP,1440,20250309,030000,0.04356,0.04541,0.04116,0.04214,2819034.19
GRIFFAINUSDTSWAP,1440,20250310,030000,0.04215,0.04449,0.03387,0.03623,3877342.97
GRIFFAINUSDTSWAP,1440,20250311,030000,0.03626,0.04027,0.0349,0.0388,3375899.01
GRIFFAINUSDTSWAP,1440,20250312,030000,0.03879,0.04622,0.03621,0.04551,3493721.78
GRIFFAINUSDTSWAP,1440,20250313,030000,0.04551,0.04813,0.04316,0.04372,2774531.9
GRIFFAINUSDTSWAP,1440,20250314,030000,0.04373,0.04615,0.04034,0.04136,2886442.47
GRIFFAINUSDTSWAP,1440,20250315,030000,0.04137,0.04509,0.04088,0.04236,1792100.37
GRIFFAINUSDTSWAP,1440,20250316,030000,0.04237,0.04842,0.04147,0.0418,3358456.69
GRIFFAINUSDTSWAP,1440,20250317,030000,0.0418,0.04637,0.04032,0.04187,1432573.78
GRIFFAINUSDTSWAP,1440,20250318,030000,0.04188,0.04192,0.03448,0.03532,2313360.32
GRIFFAINUSDTSWAP,1440,20250319,030000,0.03532,0.04287,0.03492,0.04244,2035032.4
GRIFFAINUSDTSWAP,1440,20250320,030000,0.04245,0.04396,0.03934,0.04216,2458314.44
GRIFFAINUSDTSWAP,1440,20250321,030000,0.04216,0.04602,0.03956,0.04488,1940592.38
GRIFFAINUSDTSWAP,1440,20250322,030000,0.04488,0.04495,0.03996,0.04296,2461183.03
GRIFFAINUSDTSWAP,1440,20250323,030000,0.04296,0.04531,0.04099,0.0452,1406171.19
GRIFFAINUSDTSWAP,1440,20250324,030000,0.04521,0.05713,0.04419,0.05199,4274808.85
GRIFFAINUSDTSWAP,1440,20250325,030000,0.05199,0.05383,0.04546,0.04599,1882497.9
GRIFFAINUSDTSWAP,1440,20250326,030000,0.04597,0.05518,0.04331,0.04389,2080281.56
GRIFFAINUSDTSWAP,1440,20250327,030000,0.0439,0.04747,0.04224,0.04461,1693228.58
GRIFFAINUSDTSWAP,1440,20250328,030000,0.04461,0.04487,0.03869,0.03899,1942597.72
GRIFFAINUSDTSWAP,1440,20250329,030000,0.03898,0.0397,0.03594,0.03713,1142534.52
GRIFFAINUSDTSWAP,1440,20250330,030000,0.03714,0.03972,0.03619,0.03799,1204531.87
GRIFFAINUSDTSWAP,1440,20250331,030000,0.038,0.03872,0.03529,0.03612,1318984.22
GRIFFAINUSDTSWAP,1440,20250401,030000,0.03612,0.04006,0.036,0.03934,1313124.03
GRIFFAINUSDTSWAP,1440,20250402,030000,0.03933,0.03953,0.03255,0.03467,2154122.0
GRIFFAINUSDTSWAP,1440,20250403,030000,0.03467,0.03538,0.03002,0.03363,865020.0
GRIFFAINUSDTSWAP,1440,20250404,030000,0.03364,0.03437,0.03024,0.03324,806862.63
GRIFFAINUSDTSWAP,1440,20250405,030000,0.03324,0.03344,0.03089,0.03193,304951.11
GRIFFAINUSDTSWAP,1440,20250406,030000,0.03192,0.03197,0.02583,0.02803,727918.71
GRIFFAINUSDTSWAP,1440,20250407,030000,0.02805,0.03238,0.02715,0.0289,1101002.42
GRIFFAINUSDTSWAP,1440,20250408,030000,0.02889,0.0307,0.0249,0.02512,681596.22
GRIFFAINUSDTSWAP,1440,20250409,030000,0.02513,0.03182,0.02434,0.03087,701188.04
GRIFFAINUSDTSWAP,1440,20250410,030000,0.03086,0.03097,0.02745,0.02897,594213.9
GRIFFAINUSDTSWAP,1440,20250411,030000,0.02895,0.03166,0.02833,0.03045,534194.2
GRIFFAINUSDTSWAP,1440,20250412,030000,0.03044,0.03519,0.02956,0.03349,779142.51
GRIFFAINUSDTSWAP,1440,20250413,030000,0.03351,0.03412,0.02744,0.02875,896973.46
GRIFFAINUSDTSWAP,1440,20250414,030000,0.02873,0.0317,0.02802,0.02859,635400.29
GRIFFAINUSDTSWAP,1440,20250415,030000,0.0286,0.0298,0.0263,0.02665,542753.9
GRIFFAINUSDTSWAP,1440,20250416,030000,0.02665,0.02787,0.0254,0.02679,518042.07
GRIFFAINUSDTSWAP,1440,20250417,030000,0.02681,0.02914,0.02625,0.02845,634568.54
GRIFFAINUSDTSWAP,1440,20250418,030000,0.02846,0.029,0.02659,0.02735,540273.31
GRIFFAINUSDTSWAP,1440,20250419,030000,0.02736,0.0293,0.02707,0.02907,183818.41
GRIFFAINUSDTSWAP,1440,20250420,030000,0.02908,0.03155,0.02798,0.02967,661870.77
GRIFFAINUSDTSWAP,1440,20250421,030000,0.02968,0.03308,0.02951,0.03166,419251.4
GRIFFAINUSDTSWAP,1440,20250422,030000,0.03166,0.04327,0.03037,0.04312,1257716.07
GRIFFAINUSDTSWAP,1440,20250423,030000,0.04308,0.07197,0.04298,0.05314,4609596.23
GRIFFAINUSDTSWAP,1440,20250424,030000,0.05316,0.06597,0.04789,0.05903,1764701.06
GRIFFAINUSDTSWAP,1440,20250425,030000,0.05905,0.06909,0.05446,0.05786,2468094.31
GRIFFAINUSDTSWAP,1440,20250426,030000,0.05785,0.06963,0.05772,0.06871,2164847.83
GRIFFAINUSDTSWAP,1440,20250427,030000,0.06872,0.07366,0.05916,0.06097,1933627.0
GRIFFAINUSDTSWAP,1440,20250428,030000,0.06097,0.07417,0.05826,0.06514,1897466.03
GRIFFAINUSDTSWAP,1440,20250429,030000,0.06516,0.06924,0.05932,0.06274,1456539.72
GRIFFAINUSDTSWAP,1440,20250430,030000,0.06274,0.06481,0.05566,0.06069,791384.79
GRIFFAINUSDTSWAP,1440,20250501,030000,0.06065,0.07664,0.05947,0.07063,1813897.64
GRIFFAINUSDTSWAP,1440,20250502,030000,0.07061,0.07395,0.06515,0.06881,1214958.52
GRIFFAINUSDTSWAP,1440,20250503,030000,0.06881,0.07123,0.063,0.06418,573309.71
GRIFFAINUSDTSWAP,1440,20250504,030000,0.06414,0.06583,0.05775,0.05927,704081.26
GRIFFAINUSDTSWAP,1440,20250505,030000,0.05927,0.06458,0.05586,0.0568,469650.62
GRIFFAINUSDTSWAP,1440,20250506,030000,0.05681,0.05973,0.05056,0.05396,1208698.76
GRIFFAINUSDTSWAP,1440,20250507,030000,0.054,0.05917,0.05054,0.05561,722112.14
GRIFFAINUSDTSWAP,1440,20250508,030000,0.05563,0.07387,0.05467,0.07083,996846.82
GRIFFAINUSDTSWAP,1440,20250509,030000,0.07082,0.09025,0.06858,0.08732,1614760.45
GRIFFAINUSDTSWAP,1440,20250510,030000,0.08728,0.09534,0.08063,0.09287,1337178.74
GRIFFAINUSDTSWAP,1440,20250511,030000,0.09283,0.09369,0.08007,0.0884,1416306.85
GRIFFAINUSDTSWAP,1440,20250512,030000,0.08831,0.114,0.08726,0.10923,2967726.43
GRIFFAINUSDTSWAP,1440,20250513,030000,0.10924,0.15191,0.09759,0.13638,2866377.31
GRIFFAINUSDTSWAP,1440,20250514,030000,0.13635,0.13924,0.12302,0.12948,1474903.54
GRIFFAINUSDTSWAP,1440,20250515,030000,0.12949,0.13262,0.10564,0.107,1757373.92
GRIFFAINUSDTSWAP,1440,20250516,030000,0.10704,0.11482,0.09501,0.09666,1077914.74
GRIFFAINUSDTSWAP,1440,20250517,030000,0.09666,0.09798,0.08221,0.09024,1471345.47
GRIFFAINUSDTSWAP,1440,20250518,030000,0.09023,0.11879,0.08946,0.11211,1842345.28
GRIFFAINUSDTSWAP,1440,20250519,030000,0.11212,0.11239,0.09016,0.10229,1372761.4
GRIFFAINUSDTSWAP,1440,20250520,030000,0.10229,0.10798,0.09621,0.10335,1060213.96
GRIFFAINUSDTSWAP,1440,20250521,030000,0.10336,0.11358,0.09925,0.10721,1105111.89
GRIFFAINUSDTSWAP,1440,20250522,030000,0.10728,0.11644,0.10517,0.11113,791884.53
GRIFFAINUSDTSWAP,1440,20250523,030000,0.11112,0.11712,0.0874,0.089,1733039.41
GRIFFAINUSDTSWAP,1440,20250524,030000,0.08898,0.09566,0.08859,0.09266,524273.27
GRIFFAINUSDTSWAP,1440,20250525,030000,0.09268,0.09327,0.08275,0.09131,509418.59
GRIFFAINUSDTSWAP,1440,20250526,030000,0.09133,0.0963,0.08433,0.08703,531445.34
GRIFFAINUSDTSWAP,1440,20250527,030000,0.08707,0.09613,0.08357,0.09296,463867.6
GRIFFAINUSDTSWAP,1440,20250528,030000,0.093,0.09448,0.08213,0.08766,379257.44
GRIFFAINUSDTSWAP,1440,20250529,030000,0.08764,0.09016,0.07617,0.07746,482147.6
GRIFFAINUSDTSWAP,1440,20250530,030000,0.07746,0.07807,0.06234,0.06287,1030762.62
GRIFFAINUSDTSWAP,1440,20250531,030000,0.06287,0.06343,0.05765,0.06228,531114.44
GRIFFAINUSDTSWAP,1440,20250601,030000,0.06227,0.06648,0.05808,0.06616,400352.45
GRIFFAINUSDTSWAP,1440,20250602,030000,0.06618,0.06667,0.05916,0.06384,410042.35
GRIFFAINUSDTSWAP,1440,20250603,030000,0.06383,0.06695,0.05944,0.05989,463116.27
GRIFFAINUSDTSWAP,1440,20250604,030000,0.05987,0.06223,0.05706,0.05784,394874.92
