<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GRIFFAINUSDTSWAP,60,20250531,190000,0.06117,0.06271,0.06036,0.06179,25124.17
GRIFFAINUSDTSWAP,60,20250531,200000,0.06173,0.06199,0.06054,0.06077,14177.16
GRIFFAINUSDTSWAP,60,20250531,210000,0.06079,0.0626,0.06073,0.06241,14407.66
GRIFFAINUSDTSWAP,60,20250531,220000,0.06239,0.06313,0.06233,0.06272,11841.43
GRIFFAINUSDTSWAP,60,20250531,230000,0.06268,0.06315,0.06225,0.06293,17800.24
GRIFFAINUSDTSWAP,60,20250601,000000,0.06295,0.06343,0.06239,0.06302,10379.38
GRIFFAINUSDTSWAP,60,20250601,010000,0.06303,0.06318,0.06192,0.06201,8888.49
GRIFFAINUSDTSWAP,60,20250601,020000,0.06199,0.063,0.06157,0.06228,11602.48
GRIFFAINUSDTSWAP,60,20250601,030000,0.06227,0.06309,0.06159,0.06224,14682.33
GRIFFAINUSDTSWAP,60,20250601,040000,0.06223,0.06241,0.06082,0.06106,11853.57
GRIFFAINUSDTSWAP,60,20250601,050000,0.06106,0.06224,0.06019,0.06177,15509.06
GRIFFAINUSDTSWAP,60,20250601,060000,0.06179,0.06185,0.06064,0.06091,12503.95
GRIFFAINUSDTSWAP,60,20250601,070000,0.06091,0.06237,0.06074,0.06231,13879.87
GRIFFAINUSDTSWAP,60,20250601,080000,0.0623,0.06255,0.06138,0.06176,17260.65
GRIFFAINUSDTSWAP,60,20250601,090000,0.0617,0.06214,0.06132,0.06146,5646.6
GRIFFAINUSDTSWAP,60,20250601,100000,0.06145,0.06171,0.06074,0.06155,11598.44
GRIFFAINUSDTSWAP,60,20250601,110000,0.06155,0.06159,0.06069,0.0609,8196.8
GRIFFAINUSDTSWAP,60,20250601,120000,0.0609,0.0612,0.05808,0.05867,32529.8
GRIFFAINUSDTSWAP,60,20250601,130000,0.05867,0.05995,0.05859,0.05947,15250.86
GRIFFAINUSDTSWAP,60,20250601,140000,0.05948,0.06047,0.05869,0.06026,21262.14
GRIFFAINUSDTSWAP,60,20250601,150000,0.06026,0.06027,0.05858,0.05905,26883.61
GRIFFAINUSDTSWAP,60,20250601,160000,0.05905,0.06037,0.05885,0.05995,13244.8
GRIFFAINUSDTSWAP,60,20250601,170000,0.05994,0.06186,0.05991,0.06099,26861.99
GRIFFAINUSDTSWAP,60,20250601,180000,0.06099,0.06207,0.0607,0.06177,13400.42
GRIFFAINUSDTSWAP,60,20250601,190000,0.06176,0.0634,0.06144,0.06234,27984.32
GRIFFAINUSDTSWAP,60,20250601,200000,0.06232,0.06389,0.06212,0.06295,16875.13
GRIFFAINUSDTSWAP,60,20250601,210000,0.06289,0.06291,0.06077,0.06181,18996.55
GRIFFAINUSDTSWAP,60,20250601,220000,0.06184,0.06281,0.06184,0.06278,9181.51
GRIFFAINUSDTSWAP,60,20250601,230000,0.06273,0.06478,0.06234,0.06385,13003.05
