<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GRIFFAINUSDTSWAP,3,20250604,172700,0.05789,0.05794,0.0578,0.05791,507.52
GRIFFAINUSDTSWAP,3,20250604,173000,0.0579,0.05794,0.05766,0.05771,683.28
GRIFFAINUSDTSWAP,3,20250604,173300,0.05772,0.058,0.05771,0.05773,689.87
GRIFFAINUSDTSWAP,3,20250604,173600,0.05771,0.05771,0.05746,0.05753,661.53
GRIFFAINUSDTSWAP,3,20250604,173900,0.05753,0.05781,0.05745,0.05777,634.67
GRIFFAINUSDTSWAP,3,20250604,174200,0.05778,0.05781,0.05753,0.0577,611.14
GRIFFAINUSDTSWAP,3,20250604,174500,0.05769,0.05792,0.05757,0.05792,662.8
GRIFFAINUSDTSWAP,3,20250604,174800,0.05793,0.0581,0.05785,0.05793,1646.83
GRIFFAINUSDTSWAP,3,20250604,175100,0.0579,0.05803,0.05786,0.05798,1899.7
GRIFFAINUSDTSWAP,3,20250604,175400,0.05798,0.05846,0.05798,0.05844,1627.73
GRIFFAINUSDTSWAP,3,20250604,175700,0.05846,0.05873,0.05838,0.05871,1448.76
GRIFFAINUSDTSWAP,3,20250604,180000,0.05869,0.05879,0.05844,0.05844,3337.99
GRIFFAINUSDTSWAP,3,20250604,180300,0.05846,0.05879,0.05846,0.05867,840.36
GRIFFAINUSDTSWAP,3,20250604,180600,0.05868,0.05934,0.05868,0.05895,2574.12
GRIFFAINUSDTSWAP,3,20250604,180900,0.05896,0.05957,0.05896,0.05933,5199.98
GRIFFAINUSDTSWAP,3,20250604,181200,0.05929,0.05946,0.0592,0.0593,670.81
GRIFFAINUSDTSWAP,3,20250604,181500,0.05932,0.06,0.05932,0.05991,4224.47
GRIFFAINUSDTSWAP,3,20250604,181800,0.05986,0.06001,0.05971,0.05972,1855.96
GRIFFAINUSDTSWAP,3,20250604,182100,0.05976,0.06007,0.05967,0.05987,4524.01
GRIFFAINUSDTSWAP,3,20250604,182400,0.05986,0.06009,0.05986,0.05993,1384.14
GRIFFAINUSDTSWAP,3,20250604,182700,0.05993,0.06011,0.05985,0.05985,1251.4
GRIFFAINUSDTSWAP,3,20250604,183000,0.05985,0.06015,0.05958,0.06007,1358.3
GRIFFAINUSDTSWAP,3,20250604,183300,0.06009,0.06022,0.05992,0.05997,2044.92
GRIFFAINUSDTSWAP,3,20250604,183600,0.05999,0.06041,0.05996,0.06032,2290.9
GRIFFAINUSDTSWAP,3,20250604,183900,0.06035,0.0605,0.06031,0.06046,2040.37
GRIFFAINUSDTSWAP,3,20250604,184200,0.06047,0.06055,0.06018,0.06025,1538.48
GRIFFAINUSDTSWAP,3,20250604,184500,0.06023,0.06041,0.05999,0.05999,1444.38
GRIFFAINUSDTSWAP,3,20250604,184800,0.06001,0.06009,0.05974,0.05976,1811.76
GRIFFAINUSDTSWAP,3,20250604,185100,0.05978,0.05988,0.05968,0.0598,1052.61
GRIFFAINUSDTSWAP,3,20250604,185400,0.05978,0.06009,0.05975,0.06004,1440.16
