<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GUNUSDTSWAP,1440,20250331,030000,0.106,0.11607,0.07504,0.07751,12581500.72
GUNUSDTSWAP,1440,20250401,030000,0.07752,0.0847,0.0572,0.06304,16755626.45
GUNUSDTSWAP,1440,20250402,030000,0.06308,0.06499,0.05091,0.05296,10024542.84
GUNUSDTSWAP,1440,20250403,030000,0.05297,0.05599,0.04274,0.04414,7596792.66
GUNUSDTSWAP,1440,20250404,030000,0.04415,0.05023,0.04018,0.04158,7114971.13
GUNUSDTSWAP,1440,20250405,030000,0.04157,0.06069,0.04117,0.05604,9317326.25
GUNUSDTSWAP,1440,20250406,030000,0.05604,0.06878,0.05305,0.05696,22182264.11
GUNUSDTSWAP,1440,20250407,030000,0.05696,0.05739,0.04704,0.05332,13361343.19
GUNUSDTSWAP,1440,20250408,030000,0.05333,0.05603,0.04152,0.04313,8816226.02
GUNUSDTSWAP,1440,20250409,030000,0.04312,0.05206,0.04115,0.05056,7510622.84
GUNUSDTSWAP,1440,20250410,030000,0.05055,0.05121,0.04234,0.0426,5364569.46
GUNUSDTSWAP,1440,20250411,030000,0.04259,0.05672,0.04216,0.05497,6471591.3
GUNUSDTSWAP,1440,20250412,030000,0.05497,0.05974,0.04557,0.05586,10582115.51
GUNUSDTSWAP,1440,20250413,030000,0.05585,0.05911,0.05025,0.05241,4045710.22
GUNUSDTSWAP,1440,20250414,030000,0.05243,0.05718,0.04838,0.04867,4001975.66
GUNUSDTSWAP,1440,20250415,030000,0.04867,0.05004,0.04558,0.04641,2378428.87
GUNUSDTSWAP,1440,20250416,030000,0.0464,0.05331,0.04576,0.04984,2904061.72
GUNUSDTSWAP,1440,20250417,030000,0.04985,0.05518,0.04732,0.04933,4743412.44
GUNUSDTSWAP,1440,20250418,030000,0.04933,0.05224,0.04616,0.04715,2483044.89
GUNUSDTSWAP,1440,20250419,030000,0.04715,0.05595,0.04589,0.05125,2855325.4
GUNUSDTSWAP,1440,20250420,030000,0.05124,0.05431,0.04946,0.05075,2471182.33
GUNUSDTSWAP,1440,20250421,030000,0.05075,0.06396,0.05075,0.05874,5281054.44
GUNUSDTSWAP,1440,20250422,030000,0.05875,0.06413,0.0543,0.06054,3710048.05
GUNUSDTSWAP,1440,20250423,030000,0.06056,0.06528,0.05491,0.05559,2115239.56
GUNUSDTSWAP,1440,20250424,030000,0.0556,0.05946,0.05045,0.05795,1856456.09
GUNUSDTSWAP,1440,20250425,030000,0.05796,0.05878,0.05238,0.05491,1517910.79
GUNUSDTSWAP,1440,20250426,030000,0.05495,0.06124,0.05495,0.06059,1132331.85
