<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GUNUSDTSWAP,3,20250604,172700,0.03728,0.03736,0.03722,0.03723,190.13
GUNUSDTSWAP,3,20250604,173000,0.03726,0.0374,0.03722,0.0374,122.29
GUNUSDTSWAP,3,20250604,173300,0.0374,0.03749,0.03739,0.0374,286.26
GUNUSDTSWAP,3,20250604,173600,0.0374,0.03744,0.03736,0.03738,203.72
GUNUSDTSWAP,3,20250604,173900,0.03738,0.03743,0.03735,0.03739,92.7
GUNUSDTSWAP,3,20250604,174200,0.03739,0.03739,0.03729,0.03734,36.12
GUNUSDTSWAP,3,20250604,174500,0.03734,0.03744,0.03725,0.03742,97.46
GUNUSDTSWAP,3,20250604,174800,0.03743,0.0375,0.03736,0.03736,142.57
GUNUSDTSWAP,3,20250604,175100,0.03736,0.03739,0.03736,0.03739,28.73
GUNUSDTSWAP,3,20250604,175400,0.03741,0.03755,0.0374,0.03754,402.05
GUNUSDTSWAP,3,20250604,175700,0.03753,0.0376,0.03748,0.03758,166.63
GUNUSDTSWAP,3,20250604,180000,0.03758,0.03762,0.03749,0.0375,535.78
GUNUSDTSWAP,3,20250604,180300,0.0375,0.0376,0.03742,0.03747,502.76
GUNUSDTSWAP,3,20250604,180600,0.03749,0.03779,0.03749,0.03768,861.9
GUNUSDTSWAP,3,20250604,180900,0.03767,0.03773,0.03765,0.03771,182.93
GUNUSDTSWAP,3,20250604,181200,0.03771,0.03771,0.03758,0.03763,531.82
GUNUSDTSWAP,3,20250604,181500,0.03762,0.03781,0.03762,0.03777,325.86
GUNUSDTSWAP,3,20250604,181800,0.03777,0.03785,0.03774,0.03776,454.98
GUNUSDTSWAP,3,20250604,182100,0.0377,0.03781,0.03768,0.03779,230.72
GUNUSDTSWAP,3,20250604,182400,0.0378,0.03781,0.03778,0.03781,103.5
GUNUSDTSWAP,3,20250604,182700,0.0378,0.03784,0.03766,0.03766,26.88
GUNUSDTSWAP,3,20250604,183000,0.03769,0.0378,0.03768,0.0378,183.17
GUNUSDTSWAP,3,20250604,183300,0.03778,0.03782,0.03768,0.0377,365.18
GUNUSDTSWAP,3,20250604,183600,0.0377,0.0379,0.03768,0.03785,467.4
GUNUSDTSWAP,3,20250604,183900,0.03787,0.03787,0.0378,0.03783,173.22
GUNUSDTSWAP,3,20250604,184200,0.03782,0.03789,0.03779,0.03782,152.83
GUNUSDTSWAP,3,20250604,184500,0.03786,0.03787,0.03779,0.0378,242.34
GUNUSDTSWAP,3,20250604,184800,0.03781,0.03782,0.03776,0.03776,403.17
GUNUSDTSWAP,3,20250604,185100,0.03777,0.03788,0.03776,0.03785,55.45
GUNUSDTSWAP,3,20250604,185400,0.03784,0.03786,0.03776,0.03786,75.57
GUNUSDTSWAP,3,20250604,185700,0.03784,0.03788,0.03781,0.03787,65.2
GUNUSDTSWAP,3,20250604,190000,0.03786,0.03787,0.03775,0.03775,159.35
GUNUSDTSWAP,3,20250604,190300,0.03776,0.0378,0.03767,0.03767,324.89
GUNUSDTSWAP,3,20250604,190600,0.0377,0.03773,0.03762,0.03762,137.79
GUNUSDTSWAP,3,20250604,190900,0.03763,0.03767,0.03762,0.03767,242.26
GUNUSDTSWAP,3,20250604,191200,0.03767,0.03769,0.03764,0.03765,63.59
GUNUSDTSWAP,3,20250604,191500,0.03764,0.03768,0.03757,0.03757,317.64
GUNUSDTSWAP,3,20250604,191800,0.03757,0.0376,0.03746,0.0376,158.47
GUNUSDTSWAP,3,20250604,192100,0.0376,0.0376,0.03731,0.03731,1754.27
GUNUSDTSWAP,3,20250604,192400,0.03736,0.03736,0.03725,0.03727,406.44
GUNUSDTSWAP,3,20250604,192700,0.03728,0.03737,0.03725,0.03732,72.32
GUNUSDTSWAP,3,20250604,193000,0.03728,0.03742,0.03727,0.03742,216.75
