<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HBARUSDTSWAP,1440,20250225,030000,0.19655,0.20128,0.17552,0.19838,761020.53
HBARUSDTSWAP,1440,20250226,030000,0.19839,0.20182,0.18754,0.1962,433780.69
HBARUSDTSWAP,1440,20250227,030000,0.19621,0.20601,0.19387,0.19978,295564.66
HBARUSDTSWAP,1440,20250228,030000,0.19979,0.21656,0.17991,0.21355,627204.26
HBARUSDTSWAP,1440,20250301,030000,0.21352,0.26502,0.2114,0.25279,1667003.25
HBARUSDTSWAP,1440,20250302,030000,0.25276,0.28575,0.24238,0.26414,1829452.26
HBARUSDTSWAP,1440,20250303,030000,0.26415,0.28786,0.21985,0.22326,1394531.77
HBARUSDTSWAP,1440,20250304,030000,0.22328,0.24783,0.22028,0.24131,1423777.41
HBARUSDTSWAP,1440,20250305,030000,0.24127,0.26507,0.23941,0.24904,747721.33
HBARUSDTSWAP,1440,20250306,030000,0.24905,0.25584,0.23448,0.23767,536522.44
HBARUSDTSWAP,1440,20250307,030000,0.23768,0.25798,0.22426,0.23258,1110262.65
HBARUSDTSWAP,1440,20250308,030000,0.23257,0.23572,0.22267,0.22694,270273.6
HBARUSDTSWAP,1440,20250309,030000,0.22695,0.23138,0.19825,0.19945,336490.5
HBARUSDTSWAP,1440,20250310,030000,0.19946,0.2183,0.18817,0.18946,450087.31
HBARUSDTSWAP,1440,20250311,030000,0.18947,0.20427,0.1787,0.19704,569571.51
HBARUSDTSWAP,1440,20250312,030000,0.19705,0.21525,0.19279,0.20084,533355.98
HBARUSDTSWAP,1440,20250313,030000,0.20082,0.20298,0.18409,0.18938,341952.16
HBARUSDTSWAP,1440,20250314,030000,0.18939,0.19887,0.18787,0.19109,248300.14
HBARUSDTSWAP,1440,20250315,030000,0.1911,0.19725,0.1901,0.19275,173007.65
HBARUSDTSWAP,1440,20250316,030000,0.19276,0.19509,0.18175,0.18471,327980.99
HBARUSDTSWAP,1440,20250317,030000,0.1847,0.19592,0.18423,0.19148,250740.32
HBARUSDTSWAP,1440,20250318,030000,0.19147,0.19172,0.18222,0.18848,176445.54
HBARUSDTSWAP,1440,20250319,030000,0.18849,0.19841,0.18606,0.19752,225231.06
HBARUSDTSWAP,1440,20250320,030000,0.19754,0.19911,0.18729,0.1899,201992.75
HBARUSDTSWAP,1440,20250321,030000,0.18992,0.19157,0.18205,0.18461,146364.39
HBARUSDTSWAP,1440,20250322,030000,0.1846,0.1863,0.18043,0.18262,118000.14
HBARUSDTSWAP,1440,20250323,030000,0.18265,0.18601,0.1794,0.18595,175281.88
HBARUSDTSWAP,1440,20250324,030000,0.18596,0.19567,0.18381,0.19313,148756.66
HBARUSDTSWAP,1440,20250325,030000,0.19314,0.20142,0.19111,0.19471,136220.23
HBARUSDTSWAP,1440,20250326,030000,0.19468,0.20093,0.18942,0.19175,174294.94
HBARUSDTSWAP,1440,20250327,030000,0.19179,0.19709,0.1877,0.19358,146338.22
HBARUSDTSWAP,1440,20250328,030000,0.19359,0.19479,0.17967,0.18223,235327.52
HBARUSDTSWAP,1440,20250329,030000,0.18223,0.18342,0.16657,0.17205,232224.47
HBARUSDTSWAP,1440,20250330,030000,0.17207,0.17538,0.16667,0.16776,140371.99
HBARUSDTSWAP,1440,20250331,030000,0.1678,0.16826,0.15629,0.16313,296141.8
HBARUSDTSWAP,1440,20250401,030000,0.16313,0.17612,0.16178,0.17016,218019.51
HBARUSDTSWAP,1440,20250402,030000,0.1702,0.18069,0.15787,0.16135,376419.56
HBARUSDTSWAP,1440,20250403,030000,0.16136,0.16685,0.15199,0.16265,361060.07
HBARUSDTSWAP,1440,20250404,030000,0.16266,0.16816,0.15712,0.16429,266369.85
HBARUSDTSWAP,1440,20250405,030000,0.16428,0.16515,0.15883,0.16203,84645.81
HBARUSDTSWAP,1440,20250406,030000,0.16204,0.1629,0.13561,0.14007,220264.62
HBARUSDTSWAP,1440,20250407,030000,0.14008,0.15459,0.12487,0.15249,586518.67
