<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HBARUSDTSWAP,60,20250531,190000,0.16715,0.17011,0.1666,0.16909,8768.71
HBARUSDTSWAP,60,20250531,200000,0.16907,0.16907,0.16694,0.1673,5288.34
HBARUSDTSWAP,60,20250531,210000,0.16731,0.16843,0.16702,0.16765,2379.67
HBARUSDTSWAP,60,20250531,220000,0.16765,0.16879,0.16748,0.1677,2267.87
HBARUSDTSWAP,60,20250531,230000,0.1677,0.16825,0.16728,0.16824,1095.94
HBARUSDTSWAP,60,20250601,000000,0.16824,0.16892,0.16766,0.16814,3369.02
HBARUSDTSWAP,60,20250601,010000,0.16816,0.16831,0.16704,0.16705,1342.52
HBARUSDTSWAP,60,20250601,020000,0.16706,0.16831,0.16688,0.16728,3978.22
HBARUSDTSWAP,60,20250601,030000,0.1673,0.16736,0.16626,0.16683,4709.51
HBARUSDTSWAP,60,20250601,040000,0.16683,0.16791,0.1657,0.16621,3552.76
HBARUSDTSWAP,60,20250601,050000,0.16618,0.16718,0.16536,0.1668,4740.37
HBARUSDTSWAP,60,20250601,060000,0.16681,0.16758,0.16578,0.16707,2334.41
HBARUSDTSWAP,60,20250601,070000,0.16705,0.16943,0.16659,0.16915,7252.99
HBARUSDTSWAP,60,20250601,080000,0.16913,0.16957,0.16866,0.16902,3006.79
HBARUSDTSWAP,60,20250601,090000,0.16901,0.16902,0.16777,0.16784,3165.84
HBARUSDTSWAP,60,20250601,100000,0.16783,0.16826,0.16713,0.16792,2560.93
HBARUSDTSWAP,60,20250601,110000,0.16794,0.16817,0.16633,0.16689,4059.33
HBARUSDTSWAP,60,20250601,120000,0.1669,0.16741,0.16381,0.16515,8627.8
HBARUSDTSWAP,60,20250601,130000,0.16515,0.1658,0.1648,0.16568,2719.44
HBARUSDTSWAP,60,20250601,140000,0.16566,0.16675,0.1651,0.16613,2096.15
HBARUSDTSWAP,60,20250601,150000,0.16614,0.16628,0.16426,0.16497,2998.58
HBARUSDTSWAP,60,20250601,160000,0.16496,0.16648,0.16461,0.16582,2224.21
HBARUSDTSWAP,60,20250601,170000,0.16581,0.1678,0.16581,0.16678,3043.86
HBARUSDTSWAP,60,20250601,180000,0.16678,0.16757,0.16645,0.16714,1696.12
HBARUSDTSWAP,60,20250601,190000,0.16713,0.16919,0.16698,0.1684,7830.32
HBARUSDTSWAP,60,20250601,200000,0.16842,0.16871,0.16796,0.16819,2379.24
HBARUSDTSWAP,60,20250601,210000,0.1682,0.1682,0.16553,0.16663,4986.26
HBARUSDTSWAP,60,20250601,220000,0.16663,0.16793,0.16659,0.16784,2681.39
