<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HBARUSDTSWAP,3,20250604,172700,0.16896,0.16897,0.1687,0.16876,78.16
HBARUSDTSWAP,3,20250604,173000,0.16876,0.16893,0.16867,0.16893,164.56
HBARUSDTSWAP,3,20250604,173300,0.16896,0.1692,0.16892,0.16896,151.86
HBARUSDTSWAP,3,20250604,173600,0.16893,0.16902,0.16875,0.16875,78.01
HBARUSDTSWAP,3,20250604,173900,0.16878,0.1691,0.16878,0.16899,110.57
HBARUSDTSWAP,3,20250604,174200,0.169,0.16921,0.1689,0.16919,198.0
HBARUSDTSWAP,3,20250604,174500,0.16918,0.16941,0.16905,0.16941,156.25
HBARUSDTSWAP,3,20250604,174800,0.16942,0.16971,0.1693,0.16936,193.48
HBARUSDTSWAP,3,20250604,175100,0.16936,0.1695,0.16931,0.1695,94.18
HBARUSDTSWAP,3,20250604,175400,0.16953,0.1699,0.16953,0.1699,115.21
HBARUSDTSWAP,3,20250604,175700,0.1699,0.17019,0.16983,0.17019,193.4
HBARUSDTSWAP,3,20250604,180000,0.17019,0.17022,0.16997,0.16999,305.35
HBARUSDTSWAP,3,20250604,180300,0.17001,0.17006,0.1698,0.16994,225.13
HBARUSDTSWAP,3,20250604,180600,0.16995,0.17046,0.1699,0.16998,295.37
HBARUSDTSWAP,3,20250604,180900,0.16998,0.17042,0.16997,0.17039,141.63
HBARUSDTSWAP,3,20250604,181200,0.17038,0.17046,0.17028,0.17028,78.02
HBARUSDTSWAP,3,20250604,181500,0.17031,0.17097,0.17031,0.1709,441.0
HBARUSDTSWAP,3,20250604,181800,0.17086,0.17105,0.17071,0.17071,384.4
HBARUSDTSWAP,3,20250604,182100,0.17077,0.17105,0.17061,0.17094,172.0
HBARUSDTSWAP,3,20250604,182400,0.17095,0.17101,0.17082,0.17082,101.48
HBARUSDTSWAP,3,20250604,182700,0.1708,0.17099,0.17075,0.17075,86.72
HBARUSDTSWAP,3,20250604,183000,0.17077,0.17084,0.17052,0.17082,122.95
HBARUSDTSWAP,3,20250604,183300,0.17086,0.17099,0.17074,0.1708,274.69
HBARUSDTSWAP,3,20250604,183600,0.17081,0.1714,0.17081,0.17131,520.2
HBARUSDTSWAP,3,20250604,183900,0.17126,0.17131,0.17113,0.1712,80.27
HBARUSDTSWAP,3,20250604,184200,0.17119,0.17127,0.17066,0.17078,668.65
HBARUSDTSWAP,3,20250604,184500,0.17078,0.17112,0.17063,0.17073,836.86
HBARUSDTSWAP,3,20250604,184800,0.17069,0.17071,0.1704,0.17052,194.25
HBARUSDTSWAP,3,20250604,185100,0.17051,0.17085,0.17041,0.17075,72.33
HBARUSDTSWAP,3,20250604,185400,0.17067,0.17099,0.17067,0.17095,83.82
HBARUSDTSWAP,3,20250604,185700,0.17092,0.17092,0.17046,0.17055,114.0
HBARUSDTSWAP,3,20250604,190000,0.17055,0.17065,0.1704,0.1704,112.58
HBARUSDTSWAP,3,20250604,190300,0.17048,0.17058,0.17024,0.17024,115.93
HBARUSDTSWAP,3,20250604,190600,0.17024,0.17028,0.16992,0.17004,846.33
HBARUSDTSWAP,3,20250604,190900,0.17007,0.17039,0.17007,0.17035,128.01
HBARUSDTSWAP,3,20250604,191200,0.17035,0.17054,0.17028,0.17028,36.17
HBARUSDTSWAP,3,20250604,191500,0.17026,0.17036,0.16993,0.16997,42.26
HBARUSDTSWAP,3,20250604,191800,0.16998,0.17023,0.16983,0.17018,199.3
HBARUSDTSWAP,3,20250604,192100,0.17018,0.17031,0.16998,0.16998,132.01
HBARUSDTSWAP,3,20250604,192400,0.16997,0.16997,0.16962,0.16968,106.47
HBARUSDTSWAP,3,20250604,192700,0.16968,0.16968,0.16951,0.16958,201.26
HBARUSDTSWAP,3,20250604,193000,0.16958,0.16987,0.16952,0.16987,68.75
HBARUSDTSWAP,3,20250604,193300,0.16988,0.1702,0.16988,0.17017,185.42
HBARUSDTSWAP,3,20250604,193600,0.17018,0.17022,0.1701,0.17022,51.04
HBARUSDTSWAP,3,20250604,193900,0.17021,0.17042,0.17021,0.17029,80.93
HBARUSDTSWAP,3,20250604,194200,0.1703,0.1703,0.17008,0.17017,18.17
HBARUSDTSWAP,3,20250604,194500,0.17017,0.17027,0.17006,0.17018,53.54
HBARUSDTSWAP,3,20250604,194800,0.17018,0.17024,0.17002,0.17024,85.16
HBARUSDTSWAP,3,20250604,195100,0.17022,0.17032,0.17015,0.1703,65.88
HBARUSDTSWAP,3,20250604,195400,0.17031,0.17052,0.1703,0.17033,163.17
HBARUSDTSWAP,3,20250604,195700,0.17033,0.17033,0.17026,0.17032,24.24
HBARUSDTSWAP,3,20250604,200000,0.17033,0.1704,0.17014,0.17023,99.78
HBARUSDTSWAP,3,20250604,200300,0.17025,0.17028,0.16983,0.16986,78.89
HBARUSDTSWAP,3,20250604,200600,0.16988,0.16988,0.16968,0.16976,25.52
HBARUSDTSWAP,3,20250604,200900,0.16976,0.16976,0.16956,0.16961,43.65
HBARUSDTSWAP,3,20250604,201200,0.1696,0.1699,0.1696,0.16983,17.3
HBARUSDTSWAP,3,20250604,201500,0.16982,0.16982,0.16928,0.16936,82.16
HBARUSDTSWAP,3,20250604,201800,0.16935,0.16947,0.16931,0.1694,71.41
HBARUSDTSWAP,3,20250604,202100,0.16941,0.16954,0.16932,0.16943,53.35
HBARUSDTSWAP,3,20250604,202400,0.16943,0.16947,0.16918,0.16931,89.15
HBARUSDTSWAP,3,20250604,202700,0.16932,0.16941,0.16894,0.16898,140.23
HBARUSDTSWAP,3,20250604,203000,0.16898,0.16898,0.16842,0.16865,257.47
HBARUSDTSWAP,3,20250604,203300,0.16867,0.16896,0.16848,0.16887,172.08
HBARUSDTSWAP,3,20250604,203600,0.16886,0.16888,0.16852,0.16883,210.59
HBARUSDTSWAP,3,20250604,203900,0.16881,0.16895,0.16857,0.16891,176.07
HBARUSDTSWAP,3,20250604,204200,0.16892,0.16893,0.16884,0.16885,42.58
HBARUSDTSWAP,3,20250604,204500,0.16885,0.16899,0.16879,0.16882,144.11
HBARUSDTSWAP,3,20250604,204800,0.1688,0.1691,0.16873,0.16882,136.05
HBARUSDTSWAP,3,20250604,205100,0.16882,0.16903,0.16876,0.16895,111.39
HBARUSDTSWAP,3,20250604,205400,0.16896,0.16914,0.16896,0.16914,82.55
HBARUSDTSWAP,3,20250604,205700,0.16912,0.16923,0.16911,0.16923,35.77
HBARUSDTSWAP,3,20250604,210000,0.16924,0.16945,0.16924,0.16932,95.91
HBARUSDTSWAP,3,20250604,210300,0.16934,0.16968,0.16934,0.16955,255.38
HBARUSDTSWAP,3,20250604,210600,0.16957,0.16958,0.16897,0.16897,60.84
HBARUSDTSWAP,3,20250604,210900,0.16897,0.16912,0.16874,0.1691,350.76
HBARUSDTSWAP,3,20250604,211200,0.16909,0.16909,0.16898,0.16906,30.62
HBARUSDTSWAP,3,20250604,211500,0.16905,0.16917,0.16896,0.16911,77.59
HBARUSDTSWAP,3,20250604,211800,0.16912,0.16931,0.16895,0.16924,53.68
HBARUSDTSWAP,3,20250604,212100,0.16925,0.16939,0.16922,0.16931,85.95
HBARUSDTSWAP,3,20250604,212400,0.1693,0.16932,0.16919,0.16928,37.72
HBARUSDTSWAP,3,20250604,212700,0.16928,0.16947,0.16926,0.16938,43.22
HBARUSDTSWAP,3,20250604,213000,0.16937,0.1695,0.16923,0.16933,77.99
HBARUSDTSWAP,3,20250604,213300,0.16931,0.16931,0.1691,0.1691,50.12
HBARUSDTSWAP,3,20250604,213600,0.16912,0.16918,0.16911,0.16915,68.39
HBARUSDTSWAP,3,20250604,213900,0.16916,0.16919,0.16893,0.16897,26.39
HBARUSDTSWAP,3,20250604,214200,0.16898,0.16914,0.16896,0.16907,57.4
HBARUSDTSWAP,3,20250604,214500,0.16909,0.16915,0.16879,0.1689,76.9
HBARUSDTSWAP,3,20250604,214800,0.16891,0.16902,0.16873,0.16881,134.57
HBARUSDTSWAP,3,20250604,215100,0.16878,0.16879,0.16861,0.16867,130.77
