<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HMSTRUSDTSWAP,1440,20250225,030000,0.001683,0.001853,0.001624,0.001711,104060.98
HMSTRUSDTSWAP,1440,20250226,030000,0.001712,0.001834,0.001652,0.001745,53630.35
HMSTRUSDTSWAP,1440,20250227,030000,0.001744,0.001853,0.001697,0.00184,35314.97
HMSTRUSDTSWAP,1440,20250228,030000,0.001842,0.002085,0.001734,0.001955,191558.02
HMSTRUSDTSWAP,1440,20250301,030000,0.001955,0.001973,0.001829,0.001861,52282.13
HMSTRUSDTSWAP,1440,20250302,030000,0.001862,0.002144,0.001846,0.002114,61687.48
HMSTRUSDTSWAP,1440,20250303,030000,0.002113,0.002179,0.00198,0.001992,62914.82
HMSTRUSDTSWAP,1440,20250304,030000,0.001992,0.002212,0.001948,0.002075,149851.05
HMSTRUSDTSWAP,1440,20250305,030000,0.002075,0.002176,0.00202,0.002111,51508.19
HMSTRUSDTSWAP,1440,20250306,030000,0.002109,0.002179,0.002029,0.002036,62553.72
HMSTRUSDTSWAP,1440,20250307,030000,0.002035,0.002171,0.00189,0.001997,124832.57
HMSTRUSDTSWAP,1440,20250308,030000,0.001995,0.002116,0.001903,0.00207,102277.04
HMSTRUSDTSWAP,1440,20250309,030000,0.002071,0.00217,0.001948,0.002127,194858.58
HMSTRUSDTSWAP,1440,20250310,030000,0.002128,0.002304,0.002083,0.002138,250780.79
HMSTRUSDTSWAP,1440,20250311,030000,0.002138,0.00229,0.00212,0.002185,135228.08
HMSTRUSDTSWAP,1440,20250312,030000,0.002184,0.002277,0.002145,0.002185,105646.2
HMSTRUSDTSWAP,1440,20250313,030000,0.002184,0.002185,0.002125,0.002136,61722.58
HMSTRUSDTSWAP,1440,20250314,030000,0.002136,0.002365,0.002123,0.002186,80580.51
HMSTRUSDTSWAP,1440,20250315,030000,0.002185,0.002209,0.002126,0.002158,61383.43
HMSTRUSDTSWAP,1440,20250316,030000,0.002157,0.002212,0.002139,0.002143,42957.03
HMSTRUSDTSWAP,1440,20250317,030000,0.002143,0.002175,0.001958,0.00203,103178.25
HMSTRUSDTSWAP,1440,20250318,030000,0.00203,0.00242,0.001861,0.00202,282741.98
HMSTRUSDTSWAP,1440,20250319,030000,0.00202,0.002194,0.001982,0.00219,112719.64
