<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HMSTRUSDTSWAP,60,20250531,190000,0.002018,0.002041,0.002015,0.002033,332.46
HMSTRUSDTSWAP,60,20250531,200000,0.002033,0.002039,0.002022,0.002026,229.37
HMSTRUSDTSWAP,60,20250531,210000,0.002025,0.002033,0.002016,0.002021,197.93
HMSTRUSDTSWAP,60,20250531,220000,0.002021,0.00203,0.002018,0.00202,257.74
HMSTRUSDTSWAP,60,20250531,230000,0.002021,0.002023,0.002013,0.002018,170.11
HMSTRUSDTSWAP,60,20250601,000000,0.002018,0.002041,0.002018,0.002037,235.67
HMSTRUSDTSWAP,60,20250601,010000,0.002039,0.002039,0.002025,0.002027,138.66
HMSTRUSDTSWAP,60,20250601,020000,0.002026,0.002052,0.002024,0.002036,1583.23
HMSTRUSDTSWAP,60,20250601,030000,0.002036,0.002048,0.002022,0.002045,499.98
HMSTRUSDTSWAP,60,20250601,040000,0.002044,0.002056,0.002025,0.002028,239.6
HMSTRUSDTSWAP,60,20250601,050000,0.002027,0.002055,0.002016,0.00205,896.0
HMSTRUSDTSWAP,60,20250601,060000,0.002051,0.002052,0.002034,0.002039,206.29
HMSTRUSDTSWAP,60,20250601,070000,0.002039,0.002053,0.002034,0.002049,153.63
HMSTRUSDTSWAP,60,20250601,080000,0.002049,0.002053,0.002036,0.002045,325.67
HMSTRUSDTSWAP,60,20250601,090000,0.002045,0.002046,0.002022,0.002026,382.3
HMSTRUSDTSWAP,60,20250601,100000,0.002024,0.002025,0.00201,0.002016,273.57
HMSTRUSDTSWAP,60,20250601,110000,0.002016,0.00202,0.001991,0.002003,619.31
HMSTRUSDTSWAP,60,20250601,120000,0.002004,0.002007,0.001975,0.001987,745.79
HMSTRUSDTSWAP,60,20250601,130000,0.001988,0.001993,0.001972,0.001987,624.53
HMSTRUSDTSWAP,60,20250601,140000,0.001987,0.002015,0.001983,0.002001,707.65
HMSTRUSDTSWAP,60,20250601,150000,0.002002,0.002006,0.001986,0.001993,587.68
HMSTRUSDTSWAP,60,20250601,160000,0.001993,0.00202,0.001992,0.002007,748.61
HMSTRUSDTSWAP,60,20250601,170000,0.002008,0.00203,0.002006,0.00202,362.27
HMSTRUSDTSWAP,60,20250601,180000,0.002021,0.002027,0.002012,0.002025,161.22
HMSTRUSDTSWAP,60,20250601,190000,0.002024,0.002043,0.002021,0.002031,418.3
HMSTRUSDTSWAP,60,20250601,200000,0.002031,0.002031,0.001987,0.001995,1028.56
HMSTRUSDTSWAP,60,20250601,210000,0.001996,0.002001,0.001981,0.001996,775.92
HMSTRUSDTSWAP,60,20250601,220000,0.001995,0.002005,0.001994,0.002005,92.69
HMSTRUSDTSWAP,60,20250601,230000,0.002003,0.002019,0.002003,0.002007,190.53
HMSTRUSDTSWAP,60,20250602,000000,0.002007,0.002032,0.002006,0.002027,185.46
HMSTRUSDTSWAP,60,20250602,010000,0.002028,0.002036,0.002019,0.002024,145.8
HMSTRUSDTSWAP,60,20250602,020000,0.002024,0.002033,0.002021,0.002027,132.44
HMSTRUSDTSWAP,60,20250602,030000,0.002027,0.002033,0.002019,0.002029,202.51
HMSTRUSDTSWAP,60,20250602,040000,0.002029,0.002037,0.00202,0.002021,126.02
HMSTRUSDTSWAP,60,20250602,050000,0.002021,0.002027,0.002008,0.002013,197.87
HMSTRUSDTSWAP,60,20250602,060000,0.002013,0.002014,0.001998,0.002001,218.3
HMSTRUSDTSWAP,60,20250602,070000,0.002001,0.00201,0.001995,0.001997,237.44
HMSTRUSDTSWAP,60,20250602,080000,0.001997,0.002008,0.001979,0.001988,202.56
HMSTRUSDTSWAP,60,20250602,090000,0.001988,0.002009,0.001983,0.002003,210.75
HMSTRUSDTSWAP,60,20250602,100000,0.002002,0.002015,0.002002,0.002007,303.68
HMSTRUSDTSWAP,60,20250602,110000,0.002006,0.002013,0.002,0.002007,155.2
HMSTRUSDTSWAP,60,20250602,120000,0.002008,0.002019,0.001997,0.001999,285.85
HMSTRUSDTSWAP,60,20250602,130000,0.002,0.002005,0.001991,0.002,239.53
HMSTRUSDTSWAP,60,20250602,140000,0.002,0.002002,0.001984,0.001996,336.12
HMSTRUSDTSWAP,60,20250602,150000,0.001996,0.002018,0.001987,0.00201,322.84
HMSTRUSDTSWAP,60,20250602,160000,0.002009,0.002023,0.002001,0.002004,246.05
HMSTRUSDTSWAP,60,20250602,170000,0.002002,0.002023,0.001996,0.002012,203.39
HMSTRUSDTSWAP,60,20250602,180000,0.002013,0.002027,0.002009,0.00202,265.77
HMSTRUSDTSWAP,60,20250602,190000,0.002021,0.002023,0.002007,0.002017,128.73
HMSTRUSDTSWAP,60,20250602,200000,0.00202,0.002024,0.00201,0.002024,98.09
HMSTRUSDTSWAP,60,20250602,210000,0.002023,0.002035,0.002015,0.002017,290.17
HMSTRUSDTSWAP,60,20250602,220000,0.002016,0.002019,0.001986,0.001996,439.89
HMSTRUSDTSWAP,60,20250602,230000,0.001996,0.002022,0.001996,0.002021,456.19
HMSTRUSDTSWAP,60,20250603,000000,0.002019,0.002036,0.002019,0.002034,268.29
HMSTRUSDTSWAP,60,20250603,010000,0.002036,0.002051,0.002036,0.002044,322.29
HMSTRUSDTSWAP,60,20250603,020000,0.002044,0.002053,0.00204,0.002043,214.88
HMSTRUSDTSWAP,60,20250603,030000,0.002043,0.00206,0.002042,0.002054,316.14
HMSTRUSDTSWAP,60,20250603,040000,0.002055,0.002074,0.002053,0.002072,505.36
HMSTRUSDTSWAP,60,20250603,050000,0.002072,0.002077,0.002056,0.002062,332.36
HMSTRUSDTSWAP,60,20250603,060000,0.002062,0.002066,0.00205,0.002054,307.79
HMSTRUSDTSWAP,60,20250603,070000,0.002054,0.002057,0.002027,0.002032,525.4
HMSTRUSDTSWAP,60,20250603,080000,0.002033,0.00205,0.002033,0.00205,234.14
HMSTRUSDTSWAP,60,20250603,090000,0.00205,0.002054,0.002043,0.002052,394.88
HMSTRUSDTSWAP,60,20250603,100000,0.002051,0.002051,0.002035,0.002036,172.26
HMSTRUSDTSWAP,60,20250603,110000,0.002037,0.00204,0.002022,0.002032,375.14
HMSTRUSDTSWAP,60,20250603,120000,0.002033,0.002044,0.00203,0.002041,265.37
HMSTRUSDTSWAP,60,20250603,130000,0.002042,0.002043,0.002033,0.002037,216.65
HMSTRUSDTSWAP,60,20250603,140000,0.002038,0.002043,0.002029,0.002033,271.07
HMSTRUSDTSWAP,60,20250603,150000,0.002035,0.002038,0.002027,0.002036,234.77
HMSTRUSDTSWAP,60,20250603,160000,0.002035,0.002051,0.002031,0.002041,511.61
HMSTRUSDTSWAP,60,20250603,170000,0.002042,0.002044,0.002015,0.002038,1413.33
