<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HMSTRUSDTSWAP,3,20250604,172700,0.002009,0.00201,0.002007,0.002008,89.49
HMSTRUSDTSWAP,3,20250604,173000,0.002009,0.002009,0.002007,0.002009,1.27
HMSTRUSDTSWAP,3,20250604,173300,0.002009,0.00201,0.002007,0.002008,4.91
HMSTRUSDTSWAP,3,20250604,173600,0.002009,0.00201,0.002008,0.002008,1.37
HMSTRUSDTSWAP,3,20250604,173900,0.002009,0.002012,0.002009,0.002012,0.6
HMSTRUSDTSWAP,3,20250604,174200,0.002012,0.002013,0.002009,0.002011,5.1
HMSTRUSDTSWAP,3,20250604,174500,0.002011,0.002014,0.002009,0.002013,6.6
HMSTRUSDTSWAP,3,20250604,174800,0.002014,0.002016,0.002013,0.002013,34.0
HMSTRUSDTSWAP,3,20250604,175100,0.002013,0.002015,0.002012,0.002014,7.8
HMSTRUSDTSWAP,3,20250604,175400,0.002014,0.002018,0.002014,0.002015,25.72
HMSTRUSDTSWAP,3,20250604,175700,0.002016,0.002019,0.002014,0.002018,163.51
HMSTRUSDTSWAP,3,20250604,180000,0.002017,0.002018,0.002015,0.002015,30.07
HMSTRUSDTSWAP,3,20250604,180300,0.002015,0.002016,0.002014,0.002014,4.48
HMSTRUSDTSWAP,3,20250604,180600,0.002016,0.002021,0.002016,0.002017,66.05
HMSTRUSDTSWAP,3,20250604,180900,0.002017,0.002019,0.002016,0.002019,2.27
HMSTRUSDTSWAP,3,20250604,181200,0.002018,0.002019,0.002017,0.002018,0.58
HMSTRUSDTSWAP,3,20250604,181500,0.002019,0.002027,0.002019,0.002024,22.91
HMSTRUSDTSWAP,3,20250604,181800,0.002023,0.002025,0.002021,0.002021,6.61
HMSTRUSDTSWAP,3,20250604,182100,0.002022,0.002024,0.002021,0.002024,1.76
HMSTRUSDTSWAP,3,20250604,182400,0.002024,0.002025,0.002023,0.002024,1.4
HMSTRUSDTSWAP,3,20250604,182700,0.002024,0.002025,0.002022,0.002022,1.26
HMSTRUSDTSWAP,3,20250604,183000,0.002021,0.002021,0.002019,0.002021,10.59
HMSTRUSDTSWAP,3,20250604,183300,0.002022,0.002023,0.002021,0.002021,28.13
HMSTRUSDTSWAP,3,20250604,183600,0.002021,0.002029,0.002021,0.002029,88.57
HMSTRUSDTSWAP,3,20250604,183900,0.002029,0.002031,0.002026,0.002029,69.44
HMSTRUSDTSWAP,3,20250604,184200,0.00203,0.002031,0.002029,0.002029,6.92
HMSTRUSDTSWAP,3,20250604,184500,0.00203,0.002031,0.002027,0.002028,4.51
HMSTRUSDTSWAP,3,20250604,184800,0.002027,0.002027,0.002025,0.002026,2.09
HMSTRUSDTSWAP,3,20250604,185100,0.002025,0.002028,0.002025,0.002026,17.65
HMSTRUSDTSWAP,3,20250604,185400,0.002026,0.002029,0.002025,0.002029,12.12
HMSTRUSDTSWAP,3,20250604,185700,0.002029,0.002029,0.002026,0.002026,8.77
HMSTRUSDTSWAP,3,20250604,190000,0.002027,0.002027,0.002025,0.002027,14.19
HMSTRUSDTSWAP,3,20250604,190300,0.002027,0.002027,0.002024,0.002024,21.17
HMSTRUSDTSWAP,3,20250604,190600,0.002024,0.002025,0.002022,0.002022,2.43
HMSTRUSDTSWAP,3,20250604,190900,0.002023,0.002026,0.002022,0.002026,9.33
HMSTRUSDTSWAP,3,20250604,191200,0.002026,0.002026,0.002025,0.002025,12.71
HMSTRUSDTSWAP,3,20250604,191500,0.002025,0.002025,0.002023,0.002024,4.41
HMSTRUSDTSWAP,3,20250604,191800,0.002024,0.002024,0.00202,0.002024,6.9
HMSTRUSDTSWAP,3,20250604,192100,0.002025,0.002025,0.00202,0.00202,22.15
HMSTRUSDTSWAP,3,20250604,192400,0.002021,0.002021,0.002019,0.00202,7.7
HMSTRUSDTSWAP,3,20250604,192700,0.00202,0.002022,0.00202,0.002022,0.05
HMSTRUSDTSWAP,3,20250604,193000,0.002022,0.002022,0.002021,0.002021,1.67
HMSTRUSDTSWAP,3,20250604,193300,0.002022,0.002022,0.002021,0.002022,8.58
HMSTRUSDTSWAP,3,20250604,193600,0.002023,0.002024,0.002022,0.002024,0.95
HMSTRUSDTSWAP,3,20250604,193900,0.002023,0.002026,0.002023,0.002025,0.52
HMSTRUSDTSWAP,3,20250604,194200,0.002025,0.002025,0.002022,0.002024,51.36
HMSTRUSDTSWAP,3,20250604,194500,0.002024,0.002024,0.00202,0.002022,61.79
HMSTRUSDTSWAP,3,20250604,194800,0.002022,0.002023,0.00202,0.002023,12.6
HMSTRUSDTSWAP,3,20250604,195100,0.002024,0.002024,0.002023,0.002024,1.2
HMSTRUSDTSWAP,3,20250604,195400,0.002025,0.002026,0.002022,0.002024,43.18
HMSTRUSDTSWAP,3,20250604,195700,0.002024,0.002027,0.002024,0.002027,24.0
HMSTRUSDTSWAP,3,20250604,200000,0.002027,0.002029,0.002024,0.002026,26.73
HMSTRUSDTSWAP,3,20250604,200300,0.002027,0.002027,0.002026,0.002027,33.82
HMSTRUSDTSWAP,3,20250604,200600,0.002026,0.002026,0.002024,0.002025,13.69
HMSTRUSDTSWAP,3,20250604,200900,0.002024,0.002024,0.002022,0.002023,0.8
HMSTRUSDTSWAP,3,20250604,201200,0.002024,0.002026,0.002024,0.002025,18.11
HMSTRUSDTSWAP,3,20250604,201500,0.002025,0.002025,0.002024,0.002024,9.15
HMSTRUSDTSWAP,3,20250604,201800,0.002025,0.002025,0.002025,0.002025,0.35
HMSTRUSDTSWAP,3,20250604,202100,0.002026,0.002027,0.002024,0.002026,12.59
HMSTRUSDTSWAP,3,20250604,202400,0.002026,0.002026,0.002021,0.002021,1.5
HMSTRUSDTSWAP,3,20250604,202700,0.002022,0.002023,0.00202,0.00202,3.29
HMSTRUSDTSWAP,3,20250604,203000,0.002019,0.002019,0.002012,0.002013,37.33
HMSTRUSDTSWAP,3,20250604,203300,0.002012,0.002014,0.002009,0.002013,16.67
HMSTRUSDTSWAP,3,20250604,203600,0.002011,0.002011,0.002009,0.002011,5.52
HMSTRUSDTSWAP,3,20250604,203900,0.002012,0.002016,0.002011,0.002015,7.31
HMSTRUSDTSWAP,3,20250604,204200,0.002016,0.002017,0.002013,0.002015,8.29
HMSTRUSDTSWAP,3,20250604,204500,0.002015,0.002016,0.002013,0.002013,12.1
HMSTRUSDTSWAP,3,20250604,204800,0.002013,0.002017,0.002012,0.002014,17.75
HMSTRUSDTSWAP,3,20250604,205100,0.002014,0.002016,0.002013,0.002015,7.5
HMSTRUSDTSWAP,3,20250604,205400,0.002016,0.002017,0.002015,0.002015,13.05
HMSTRUSDTSWAP,3,20250604,205700,0.002016,0.002016,0.002013,0.002013,18.55
HMSTRUSDTSWAP,3,20250604,210000,0.002015,0.002016,0.002013,0.002015,8.83
HMSTRUSDTSWAP,3,20250604,210300,0.002016,0.002019,0.002015,0.002019,25.4
HMSTRUSDTSWAP,3,20250604,210600,0.002019,0.00202,0.002016,0.002016,69.17
HMSTRUSDTSWAP,3,20250604,210900,0.002015,0.00202,0.002015,0.00202,0.66
HMSTRUSDTSWAP,3,20250604,211200,0.002019,0.002019,0.002018,0.002018,1.31
HMSTRUSDTSWAP,3,20250604,211500,0.002018,0.002018,0.002017,0.002018,1.23
HMSTRUSDTSWAP,3,20250604,211800,0.002017,0.002019,0.002015,0.002019,0.87
