<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HUMAUSDTSWAP,1440,20250526,030000,0.06963,0.0761,0.0635,0.06685,1514284.07
HUMAUSDTSWAP,1440,20250527,030000,0.06682,0.06964,0.05529,0.05927,1777822.81
HUMAUSDTSWAP,1440,20250528,030000,0.05926,0.05934,0.05042,0.05201,950362.04
HUMAUSDTSWAP,1440,20250529,030000,0.05201,0.0559,0.05101,0.05151,813272.26
HUMAUSDTSWAP,1440,20250530,030000,0.05151,0.05255,0.03805,0.03827,844309.78
HUMAUSDTSWAP,1440,20250531,030000,0.03824,0.03892,0.0356,0.03711,493826.2
HUMAUSDTSWAP,1440,20250601,030000,0.03711,0.03926,0.03605,0.0369,414204.93
HUMAUSDTSWAP,1440,20250602,030000,0.03688,0.04166,0.03671,0.03912,606977.35
HUMAUSDTSWAP,1440,20250603,030000,0.03912,0.04434,0.03891,0.04144,539699.64
HUMAUSDTSWAP,1440,20250604,030000,0.04143,0.04341,0.03847,0.03865,310131.85
