<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HUMAUSDTSWAP,3,20250604,172700,0.03964,0.03968,0.03943,0.03955,516.79
HUMAUSDTSWAP,3,20250604,173000,0.03953,0.03954,0.03939,0.0394,661.89
HUMAUSDTSWAP,3,20250604,173300,0.03941,0.03943,0.03926,0.03932,661.46
HUMAUSDTSWAP,3,20250604,173600,0.03933,0.03933,0.03901,0.03902,767.09
HUMAUSDTSWAP,3,20250604,173900,0.03903,0.03933,0.03901,0.0393,716.24
HUMAUSDTSWAP,3,20250604,174200,0.03929,0.03932,0.03921,0.03927,473.09
HUMAUSDTSWAP,3,20250604,174500,0.03926,0.03939,0.03917,0.03935,577.51
HUMAUSDTSWAP,3,20250604,174800,0.03936,0.03948,0.03931,0.03938,481.88
HUMAUSDTSWAP,3,20250604,175100,0.03937,0.03943,0.03924,0.03928,686.73
HUMAUSDTSWAP,3,20250604,175400,0.03927,0.03932,0.03925,0.03931,430.83
HUMAUSDTSWAP,3,20250604,175700,0.03932,0.03959,0.03932,0.03956,706.15
HUMAUSDTSWAP,3,20250604,180000,0.03957,0.03965,0.03952,0.03956,639.77
HUMAUSDTSWAP,3,20250604,180300,0.03957,0.03961,0.03941,0.03946,861.12
HUMAUSDTSWAP,3,20250604,180600,0.03947,0.03966,0.03946,0.03957,344.14
HUMAUSDTSWAP,3,20250604,180900,0.03959,0.0397,0.03958,0.03965,352.87
HUMAUSDTSWAP,3,20250604,181200,0.03964,0.0397,0.03961,0.03966,290.13
HUMAUSDTSWAP,3,20250604,181500,0.03966,0.0398,0.0396,0.03978,787.17
HUMAUSDTSWAP,3,20250604,181800,0.03977,0.03985,0.03968,0.0397,842.21
HUMAUSDTSWAP,3,20250604,182100,0.0397,0.03983,0.03967,0.03979,243.8
HUMAUSDTSWAP,3,20250604,182400,0.03979,0.03986,0.03969,0.03972,487.19
HUMAUSDTSWAP,3,20250604,182700,0.03972,0.0398,0.03964,0.03976,617.05
HUMAUSDTSWAP,3,20250604,183000,0.03976,0.03983,0.03972,0.03978,322.53
HUMAUSDTSWAP,3,20250604,183300,0.03979,0.03988,0.03969,0.03972,502.95
HUMAUSDTSWAP,3,20250604,183600,0.03972,0.0398,0.03966,0.03979,320.26
HUMAUSDTSWAP,3,20250604,183900,0.03979,0.03989,0.03974,0.03987,531.99
HUMAUSDTSWAP,3,20250604,184200,0.03988,0.04008,0.03982,0.04003,2056.49
HUMAUSDTSWAP,3,20250604,184500,0.04002,0.04008,0.03985,0.03988,645.32
HUMAUSDTSWAP,3,20250604,184800,0.03988,0.03988,0.03976,0.03976,588.75
HUMAUSDTSWAP,3,20250604,185100,0.03975,0.03986,0.03971,0.03982,467.9
HUMAUSDTSWAP,3,20250604,185400,0.03981,0.03995,0.03977,0.03989,322.22
HUMAUSDTSWAP,3,20250604,185700,0.03987,0.0399,0.03975,0.03988,412.3
HUMAUSDTSWAP,3,20250604,190000,0.03985,0.03986,0.03945,0.03954,1226.9
HUMAUSDTSWAP,3,20250604,190300,0.03953,0.03958,0.03941,0.03944,538.56
HUMAUSDTSWAP,3,20250604,190600,0.03944,0.03951,0.03934,0.03942,1541.28
HUMAUSDTSWAP,3,20250604,190900,0.03943,0.03944,0.03934,0.03936,340.12
HUMAUSDTSWAP,3,20250604,191200,0.03936,0.03938,0.03927,0.03928,410.41
HUMAUSDTSWAP,3,20250604,191500,0.03927,0.03933,0.0392,0.03926,467.63
HUMAUSDTSWAP,3,20250604,191800,0.03926,0.03949,0.03922,0.03949,342.43
HUMAUSDTSWAP,3,20250604,192100,0.03948,0.03951,0.03939,0.03943,442.18
