<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICXUSDTSWAP,60,20250531,190000,0.11857,0.12298,0.11844,0.122,17079.18
ICXUSDTSWAP,60,20250531,200000,0.12201,0.12232,0.12012,0.12017,8375.74
ICXUSDTSWAP,60,20250531,210000,0.12023,0.12053,0.11923,0.11962,7652.64
ICXUSDTSWAP,60,20250531,220000,0.1196,0.12057,0.11947,0.11958,4904.2
ICXUSDTSWAP,60,20250531,230000,0.11956,0.12139,0.11909,0.12128,6477.28
ICXUSDTSWAP,60,20250601,000000,0.12128,0.12137,0.11933,0.11934,6439.85
ICXUSDTSWAP,60,20250601,010000,0.11934,0.12132,0.1193,0.12069,7357.07
ICXUSDTSWAP,60,20250601,020000,0.12076,0.12099,0.11928,0.11966,9221.11
ICXUSDTSWAP,60,20250601,030000,0.11966,0.12231,0.11427,0.11512,63191.85
ICXUSDTSWAP,60,20250601,040000,0.1151,0.1151,0.11292,0.11387,34599.64
ICXUSDTSWAP,60,20250601,050000,0.1139,0.1161,0.11277,0.1156,17903.14
ICXUSDTSWAP,60,20250601,060000,0.1156,0.11655,0.11507,0.11605,8897.96
ICXUSDTSWAP,60,20250601,070000,0.11606,0.11736,0.11549,0.11674,8631.5
ICXUSDTSWAP,60,20250601,080000,0.11677,0.11739,0.1166,0.11716,5044.0
ICXUSDTSWAP,60,20250601,090000,0.11715,0.11737,0.11595,0.11595,4765.54
ICXUSDTSWAP,60,20250601,100000,0.11598,0.11691,0.11577,0.1168,4428.12
ICXUSDTSWAP,60,20250601,110000,0.11677,0.11689,0.11506,0.11532,4918.82
ICXUSDTSWAP,60,20250601,120000,0.11532,0.11541,0.11346,0.11402,12822.55
ICXUSDTSWAP,60,20250601,130000,0.114,0.11461,0.1134,0.11439,6163.64
ICXUSDTSWAP,60,20250601,140000,0.11439,0.11574,0.11399,0.1148,5665.28
ICXUSDTSWAP,60,20250601,150000,0.11478,0.11537,0.11412,0.11532,5355.75
ICXUSDTSWAP,60,20250601,160000,0.11524,0.11619,0.11506,0.1159,4844.8
ICXUSDTSWAP,60,20250601,170000,0.11592,0.1173,0.11592,0.11648,6270.46
ICXUSDTSWAP,60,20250601,180000,0.11643,0.11754,0.11606,0.11705,4748.48
ICXUSDTSWAP,60,20250601,190000,0.11701,0.12143,0.1168,0.11995,18507.82
ICXUSDTSWAP,60,20250601,200000,0.1201,0.12202,0.11928,0.12079,19274.85
ICXUSDTSWAP,60,20250601,210000,0.12078,0.12182,0.12051,0.12089,14772.6
ICXUSDTSWAP,60,20250601,220000,0.12087,0.12114,0.1196,0.12096,11177.09
ICXUSDTSWAP,60,20250601,230000,0.12099,0.12275,0.1204,0.12188,10734.47
ICXUSDTSWAP,60,20250602,000000,0.1219,0.12237,0.12024,0.12033,5669.2
ICXUSDTSWAP,60,20250602,010000,0.12031,0.1208,0.12002,0.12029,3896.96
ICXUSDTSWAP,60,20250602,020000,0.12027,0.12092,0.11941,0.11975,6901.33
ICXUSDTSWAP,60,20250602,030000,0.11973,0.1261,0.11894,0.12565,102691.22
ICXUSDTSWAP,60,20250602,040000,0.12565,0.12826,0.1241,0.12758,74689.5
ICXUSDTSWAP,60,20250602,050000,0.12757,0.12942,0.12525,0.12671,109404.54
ICXUSDTSWAP,60,20250602,060000,0.12673,0.12786,0.12313,0.12365,60862.34
ICXUSDTSWAP,60,20250602,070000,0.12363,0.12683,0.12302,0.12641,45685.86
ICXUSDTSWAP,60,20250602,080000,0.12639,0.12772,0.12499,0.12731,60501.88
ICXUSDTSWAP,60,20250602,090000,0.12732,0.12862,0.12644,0.12732,120113.43
ICXUSDTSWAP,60,20250602,100000,0.12733,0.12999,0.12573,0.12703,155501.64
ICXUSDTSWAP,60,20250602,110000,0.12696,0.12746,0.12552,0.12649,43454.22
ICXUSDTSWAP,60,20250602,120000,0.12656,0.12682,0.1253,0.12604,32849.41
ICXUSDTSWAP,60,20250602,130000,0.12605,0.12703,0.12342,0.12508,67590.28
ICXUSDTSWAP,60,20250602,140000,0.12508,0.12573,0.1237,0.12438,37675.35
ICXUSDTSWAP,60,20250602,150000,0.12435,0.12573,0.12413,0.12522,29136.82
ICXUSDTSWAP,60,20250602,160000,0.12522,0.12578,0.12346,0.12372,32189.93
ICXUSDTSWAP,60,20250602,170000,0.1237,0.12486,0.12227,0.12298,33233.24
ICXUSDTSWAP,60,20250602,180000,0.123,0.12354,0.12231,0.1226,14642.66
ICXUSDTSWAP,60,20250602,190000,0.12262,0.1237,0.12215,0.12356,23465.79
ICXUSDTSWAP,60,20250602,200000,0.12353,0.12357,0.12264,0.12308,6679.39
ICXUSDTSWAP,60,20250602,210000,0.12306,0.12413,0.12284,0.12308,9144.22
ICXUSDTSWAP,60,20250602,220000,0.12309,0.12366,0.12249,0.12298,7711.59
ICXUSDTSWAP,60,20250602,230000,0.12301,0.13043,0.12297,0.13028,73933.81
ICXUSDTSWAP,60,20250603,000000,0.13027,0.13449,0.13016,0.13343,109177.59
ICXUSDTSWAP,60,20250603,010000,0.13339,0.13448,0.13187,0.13208,67450.52
ICXUSDTSWAP,60,20250603,020000,0.13215,0.13234,0.12958,0.13002,34708.14
ICXUSDTSWAP,60,20250603,030000,0.13007,0.13036,0.12859,0.12934,26239.93
