<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICXUSDTSWAP,3,20250604,172700,0.15082,0.15104,0.15057,0.1508,2855.63
ICXUSDTSWAP,3,20250604,173000,0.15085,0.15089,0.15044,0.1505,3834.31
ICXUSDTSWAP,3,20250604,173300,0.15052,0.15059,0.14772,0.14776,20434.29
ICXUSDTSWAP,3,20250604,173600,0.14776,0.14787,0.14651,0.14712,24284.8
ICXUSDTSWAP,3,20250604,173900,0.1472,0.14756,0.14644,0.14734,16132.83
ICXUSDTSWAP,3,20250604,174200,0.14736,0.14746,0.14672,0.14684,8091.54
ICXUSDTSWAP,3,20250604,174500,0.14684,0.14757,0.14679,0.14741,4555.86
ICXUSDTSWAP,3,20250604,174800,0.14746,0.1483,0.14742,0.14803,9462.95
ICXUSDTSWAP,3,20250604,175100,0.14801,0.14861,0.14797,0.1485,5033.67
ICXUSDTSWAP,3,20250604,175400,0.14854,0.14881,0.14787,0.14857,5743.45
ICXUSDTSWAP,3,20250604,175700,0.14861,0.14936,0.14846,0.14909,5785.09
ICXUSDTSWAP,3,20250604,180000,0.14911,0.14932,0.1487,0.14871,7434.33
ICXUSDTSWAP,3,20250604,180300,0.14881,0.14927,0.14868,0.14896,4181.71
ICXUSDTSWAP,3,20250604,180600,0.14897,0.1493,0.14897,0.14909,7588.38
ICXUSDTSWAP,3,20250604,180900,0.14917,0.15012,0.14897,0.14992,5927.42
ICXUSDTSWAP,3,20250604,181200,0.14993,0.15084,0.14945,0.15041,6606.37
ICXUSDTSWAP,3,20250604,181500,0.15043,0.151,0.15017,0.15045,7432.45
ICXUSDTSWAP,3,20250604,181800,0.15046,0.15059,0.15007,0.15044,2285.94
ICXUSDTSWAP,3,20250604,182100,0.15045,0.15083,0.1503,0.1503,3790.59
ICXUSDTSWAP,3,20250604,182400,0.15037,0.15108,0.15031,0.15104,4602.52
ICXUSDTSWAP,3,20250604,182700,0.15099,0.15135,0.15082,0.15091,3727.49
ICXUSDTSWAP,3,20250604,183000,0.1509,0.15115,0.15054,0.15082,3299.43
ICXUSDTSWAP,3,20250604,183300,0.15083,0.15087,0.15029,0.15065,5170.75
ICXUSDTSWAP,3,20250604,183600,0.15068,0.15074,0.15029,0.15055,2497.52
ICXUSDTSWAP,3,20250604,183900,0.15054,0.1508,0.15026,0.15036,1605.81
ICXUSDTSWAP,3,20250604,184200,0.15038,0.15102,0.15035,0.15045,2092.99
ICXUSDTSWAP,3,20250604,184500,0.15048,0.15064,0.14997,0.15037,4647.88
ICXUSDTSWAP,3,20250604,184800,0.15038,0.15046,0.14942,0.15034,8089.99
ICXUSDTSWAP,3,20250604,185100,0.15032,0.15035,0.14986,0.14998,2803.17
ICXUSDTSWAP,3,20250604,185400,0.14998,0.15027,0.14985,0.14988,3380.1
ICXUSDTSWAP,3,20250604,185700,0.14985,0.15067,0.14936,0.15055,6169.02
ICXUSDTSWAP,3,20250604,190000,0.15051,0.15054,0.15007,0.15036,4336.49
ICXUSDTSWAP,3,20250604,190300,0.15037,0.15038,0.14962,0.14963,8369.59
ICXUSDTSWAP,3,20250604,190600,0.14963,0.14996,0.14954,0.14974,2859.28
ICXUSDTSWAP,3,20250604,190900,0.14975,0.15049,0.14974,0.15008,3407.41
ICXUSDTSWAP,3,20250604,191200,0.15005,0.15018,0.14931,0.14931,2473.27
ICXUSDTSWAP,3,20250604,191500,0.14931,0.14931,0.14888,0.14907,3379.03
ICXUSDTSWAP,3,20250604,191800,0.1491,0.15006,0.14897,0.15006,4023.17
ICXUSDTSWAP,3,20250604,192100,0.15007,0.15127,0.14992,0.15117,7411.21
ICXUSDTSWAP,3,20250604,192400,0.15116,0.1519,0.15086,0.15121,12459.06
ICXUSDTSWAP,3,20250604,192700,0.15124,0.1518,0.15115,0.15131,6012.7
ICXUSDTSWAP,3,20250604,193000,0.15131,0.1523,0.15125,0.15229,5641.59
ICXUSDTSWAP,3,20250604,193300,0.15223,0.15295,0.15209,0.15238,12824.62
ICXUSDTSWAP,3,20250604,193600,0.1524,0.15375,0.15237,0.15371,14786.91
ICXUSDTSWAP,3,20250604,193900,0.15372,0.1539,0.15279,0.15299,13020.55
ICXUSDTSWAP,3,20250604,194200,0.153,0.15364,0.15276,0.15288,7223.89
ICXUSDTSWAP,3,20250604,194500,0.15288,0.15292,0.15221,0.15245,8965.65
ICXUSDTSWAP,3,20250604,194800,0.15248,0.15299,0.15215,0.15244,6290.56
ICXUSDTSWAP,3,20250604,195100,0.15246,0.15388,0.15246,0.15317,7401.02
ICXUSDTSWAP,3,20250604,195400,0.15315,0.15339,0.15284,0.15302,2783.5
ICXUSDTSWAP,3,20250604,195700,0.15303,0.15344,0.15274,0.15282,2599.21
ICXUSDTSWAP,3,20250604,200000,0.15282,0.15385,0.15281,0.1536,6317.12
ICXUSDTSWAP,3,20250604,200300,0.15355,0.1536,0.15261,0.15283,6340.23
ICXUSDTSWAP,3,20250604,200600,0.15283,0.15289,0.15253,0.15289,2160.56
ICXUSDTSWAP,3,20250604,200900,0.15285,0.15334,0.15257,0.15273,2220.45
ICXUSDTSWAP,3,20250604,201200,0.15272,0.15314,0.15176,0.15225,6698.45
ICXUSDTSWAP,3,20250604,201500,0.15222,0.15253,0.15179,0.1522,4317.57
ICXUSDTSWAP,3,20250604,201800,0.15214,0.15293,0.15212,0.15272,4504.87
ICXUSDTSWAP,3,20250604,202100,0.15272,0.15293,0.15141,0.15189,3206.2
ICXUSDTSWAP,3,20250604,202400,0.15189,0.15245,0.15136,0.15207,5733.09
ICXUSDTSWAP,3,20250604,202700,0.15212,0.15219,0.15122,0.15126,3243.5
ICXUSDTSWAP,3,20250604,203000,0.15124,0.15158,0.15102,0.15113,3038.56
ICXUSDTSWAP,3,20250604,203300,0.15112,0.15222,0.15082,0.15184,3373.0
ICXUSDTSWAP,3,20250604,203600,0.15184,0.15198,0.15099,0.15108,4710.23
ICXUSDTSWAP,3,20250604,203900,0.1511,0.1515,0.15067,0.15101,4542.97
ICXUSDTSWAP,3,20250604,204200,0.151,0.15128,0.1507,0.15125,2035.48
ICXUSDTSWAP,3,20250604,204500,0.15126,0.1513,0.15072,0.15075,4648.07
ICXUSDTSWAP,3,20250604,204800,0.15073,0.15157,0.15048,0.15143,3678.72
ICXUSDTSWAP,3,20250604,205100,0.15144,0.15176,0.15111,0.15161,3350.16
ICXUSDTSWAP,3,20250604,205400,0.15161,0.15172,0.15079,0.15117,2381.64
ICXUSDTSWAP,3,20250604,205700,0.15117,0.15178,0.15105,0.15148,1298.7
ICXUSDTSWAP,3,20250604,210000,0.15154,0.15255,0.15154,0.15214,3460.42
ICXUSDTSWAP,3,20250604,210300,0.15207,0.1524,0.15142,0.15143,3097.06
ICXUSDTSWAP,3,20250604,210600,0.15142,0.15149,0.1506,0.15069,2505.7
ICXUSDTSWAP,3,20250604,210900,0.1507,0.15104,0.15063,0.15074,2093.68
ICXUSDTSWAP,3,20250604,211200,0.1507,0.15073,0.14975,0.14983,6227.53
ICXUSDTSWAP,3,20250604,211500,0.14987,0.15034,0.14958,0.1501,3789.16
ICXUSDTSWAP,3,20250604,211800,0.15012,0.15034,0.14993,0.15002,1688.1
ICXUSDTSWAP,3,20250604,212100,0.15006,0.15018,0.14987,0.15016,1830.88
ICXUSDTSWAP,3,20250604,212400,0.15015,0.15016,0.14945,0.14947,1830.93
ICXUSDTSWAP,3,20250604,212700,0.14948,0.14962,0.1493,0.14957,2067.91
ICXUSDTSWAP,3,20250604,213000,0.14958,0.14959,0.14888,0.14902,2818.54
ICXUSDTSWAP,3,20250604,213300,0.14901,0.14926,0.14894,0.14897,1437.35
ICXUSDTSWAP,3,20250604,213600,0.14899,0.14931,0.14887,0.14908,1834.81
ICXUSDTSWAP,3,20250604,213900,0.14908,0.14913,0.14894,0.14903,1208.44
ICXUSDTSWAP,3,20250604,214200,0.14902,0.14931,0.14899,0.14899,569.26
ICXUSDTSWAP,3,20250604,214500,0.149,0.14909,0.1488,0.1489,1161.9
ICXUSDTSWAP,3,20250604,214800,0.14893,0.14915,0.14773,0.14793,3296.42
ICXUSDTSWAP,3,20250604,215100,0.14788,0.14788,0.14701,0.14728,7176.02
ICXUSDTSWAP,3,20250604,215400,0.14727,0.14782,0.14722,0.1476,2249.4
ICXUSDTSWAP,3,20250604,215700,0.1476,0.14829,0.1476,0.14809,2166.33
ICXUSDTSWAP,3,20250604,220000,0.14809,0.14848,0.14782,0.14814,2575.73
ICXUSDTSWAP,3,20250604,220300,0.14807,0.14865,0.14797,0.14861,1573.98
ICXUSDTSWAP,3,20250604,220600,0.14858,0.14881,0.14836,0.14853,790.59
ICXUSDTSWAP,3,20250604,220900,0.14849,0.14849,0.14801,0.14818,729.83
ICXUSDTSWAP,3,20250604,221200,0.14819,0.14834,0.14796,0.14806,987.24
ICXUSDTSWAP,3,20250604,221500,0.14805,0.1481,0.14739,0.14777,1632.4
ICXUSDTSWAP,3,20250604,221800,0.14777,0.14849,0.14776,0.14839,2430.37
ICXUSDTSWAP,3,20250604,222100,0.14839,0.14866,0.14826,0.1486,1643.72
ICXUSDTSWAP,3,20250604,222400,0.14861,0.14861,0.14844,0.14844,208.8
