<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IOSTUSDTSWAP,1440,20250225,030000,0.004506,0.004664,0.004286,0.004612,1928.75
IOSTUSDTSWAP,1440,20250226,030000,0.004612,0.004691,0.004398,0.004556,1218.69
IOSTUSDTSWAP,1440,20250227,030000,0.004556,0.004681,0.004455,0.00457,856.06
IOSTUSDTSWAP,1440,20250228,030000,0.004571,0.004658,0.004236,0.004618,1504.35
IOSTUSDTSWAP,1440,20250301,030000,0.00462,0.004658,0.004446,0.004607,648.72
IOSTUSDTSWAP,1440,20250302,030000,0.004605,0.004996,0.004522,0.004976,1154.92
IOSTUSDTSWAP,1440,20250303,030000,0.004975,0.00499,0.004305,0.004337,1416.71
IOSTUSDTSWAP,1440,20250304,030000,0.004335,0.00437,0.004018,0.004311,1475.03
IOSTUSDTSWAP,1440,20250305,030000,0.00431,0.00444,0.004236,0.004426,780.14
IOSTUSDTSWAP,1440,20250306,030000,0.004425,0.004552,0.00432,0.004371,692.84
IOSTUSDTSWAP,1440,20250307,030000,0.004371,0.004525,0.004163,0.004372,1195.63
IOSTUSDTSWAP,1440,20250308,030000,0.004371,0.004411,0.004285,0.004343,690.71
IOSTUSDTSWAP,1440,20250309,030000,0.004343,0.004377,0.0039,0.003937,864.69
IOSTUSDTSWAP,1440,20250310,030000,0.003937,0.005549,0.003881,0.005145,110523.41
IOSTUSDTSWAP,1440,20250311,030000,0.005147,0.005324,0.004581,0.005108,87496.84
IOSTUSDTSWAP,1440,20250312,030000,0.005106,0.005165,0.004641,0.004807,28279.86
IOSTUSDTSWAP,1440,20250313,030000,0.004807,0.004807,0.004473,0.004655,10452.0
IOSTUSDTSWAP,1440,20250314,030000,0.004654,0.005719,0.004588,0.004753,79159.55
IOSTUSDTSWAP,1440,20250315,030000,0.00475,0.004992,0.004673,0.004913,28878.35
IOSTUSDTSWAP,1440,20250316,030000,0.004912,0.004913,0.004485,0.004585,11275.34
IOSTUSDTSWAP,1440,20250317,030000,0.004584,0.004598,0.004435,0.004543,7236.85
IOSTUSDTSWAP,1440,20250318,030000,0.004544,0.004544,0.004262,0.004353,5094.12
IOSTUSDTSWAP,1440,20250319,030000,0.004352,0.004415,0.004256,0.004358,4177.15
IOSTUSDTSWAP,1440,20250320,030000,0.004358,0.004371,0.004222,0.004299,2458.62
IOSTUSDTSWAP,1440,20250321,030000,0.004298,0.00432,0.004125,0.004164,2958.28
IOSTUSDTSWAP,1440,20250322,030000,0.004164,0.004311,0.004142,0.00422,2126.64
IOSTUSDTSWAP,1440,20250323,030000,0.004221,0.004234,0.004093,0.004169,2011.31
IOSTUSDTSWAP,1440,20250324,030000,0.00417,0.004325,0.004127,0.004295,2657.67
IOSTUSDTSWAP,1440,20250325,030000,0.004295,0.004361,0.004255,0.004345,2617.83
IOSTUSDTSWAP,1440,20250326,030000,0.004345,0.004454,0.004222,0.004273,2869.8
IOSTUSDTSWAP,1440,20250327,030000,0.004273,0.004355,0.004149,0.004289,4251.66
IOSTUSDTSWAP,1440,20250328,030000,0.004288,0.004295,0.00399,0.004073,8640.77
IOSTUSDTSWAP,1440,20250329,030000,0.004073,0.004095,0.003799,0.003854,6463.09
IOSTUSDTSWAP,1440,20250330,030000,0.003855,0.003948,0.003797,0.003845,2555.49
IOSTUSDTSWAP,1440,20250331,030000,0.003846,0.00394,0.003743,0.003875,4104.01
IOSTUSDTSWAP,1440,20250401,030000,0.003876,0.003979,0.003824,0.003876,2402.74
IOSTUSDTSWAP,1440,20250402,030000,0.003875,0.003914,0.003582,0.003635,3854.91
IOSTUSDTSWAP,1440,20250403,030000,0.003636,0.003775,0.003487,0.003652,2235.48
IOSTUSDTSWAP,1440,20250404,030000,0.003653,0.003683,0.003475,0.003601,2619.14
IOSTUSDTSWAP,1440,20250405,030000,0.003601,0.003636,0.003524,0.003584,909.18
IOSTUSDTSWAP,1440,20250406,030000,0.003584,0.003598,0.003073,0.003157,2084.6
IOSTUSDTSWAP,1440,20250407,030000,0.003155,0.003348,0.002834,0.003211,2732.66
IOSTUSDTSWAP,1440,20250408,030000,0.003213,0.003306,0.003056,0.003085,1282.2
IOSTUSDTSWAP,1440,20250409,030000,0.003085,0.003477,0.002974,0.003437,3549.51
IOSTUSDTSWAP,1440,20250410,030000,0.003437,0.003536,0.003283,0.003406,2592.56
IOSTUSDTSWAP,1440,20250411,030000,0.003406,0.003604,0.003388,0.003559,2216.89
IOSTUSDTSWAP,1440,20250412,030000,0.003558,0.003734,0.003487,0.003687,1275.03
IOSTUSDTSWAP,1440,20250413,030000,0.003687,0.003719,0.003468,0.00351,1394.57
IOSTUSDTSWAP,1440,20250414,030000,0.003511,0.003604,0.003419,0.003462,1216.79
IOSTUSDTSWAP,1440,20250415,030000,0.003463,0.003572,0.003436,0.003453,1202.39
IOSTUSDTSWAP,1440,20250416,030000,0.003455,0.003569,0.003405,0.003474,1373.73
IOSTUSDTSWAP,1440,20250417,030000,0.003475,0.003822,0.003467,0.003768,3793.22
IOSTUSDTSWAP,1440,20250418,030000,0.003767,0.003923,0.003623,0.003757,2665.85
IOSTUSDTSWAP,1440,20250419,030000,0.003758,0.003977,0.003717,0.00382,2491.56
IOSTUSDTSWAP,1440,20250420,030000,0.003819,0.003876,0.003702,0.003867,932.9
IOSTUSDTSWAP,1440,20250421,030000,0.003866,0.003922,0.003789,0.003812,832.77
IOSTUSDTSWAP,1440,20250422,030000,0.003811,0.004048,0.00371,0.00396,1690.3
IOSTUSDTSWAP,1440,20250423,030000,0.003962,0.004065,0.0039,0.003968,1911.53
IOSTUSDTSWAP,1440,20250424,030000,0.003965,0.004014,0.003763,0.003994,1264.38
IOSTUSDTSWAP,1440,20250425,030000,0.003996,0.004082,0.003941,0.004044,1267.71
IOSTUSDTSWAP,1440,20250426,030000,0.004044,0.004161,0.003999,0.004155,1071.91
IOSTUSDTSWAP,1440,20250427,030000,0.004155,0.004184,0.003964,0.00397,1006.67
IOSTUSDTSWAP,1440,20250428,030000,0.003972,0.004086,0.003867,0.004021,1074.4
IOSTUSDTSWAP,1440,20250429,030000,0.004023,0.004117,0.003872,0.00392,771.15
IOSTUSDTSWAP,1440,20250430,030000,0.003919,0.00397,0.003758,0.003945,1011.94
IOSTUSDTSWAP,1440,20250501,030000,0.003942,0.004055,0.003897,0.003963,624.02
IOSTUSDTSWAP,1440,20250502,030000,0.003965,0.004023,0.00392,0.004019,716.76
IOSTUSDTSWAP,1440,20250503,030000,0.004018,0.004029,0.003766,0.0038,687.3
IOSTUSDTSWAP,1440,20250504,030000,0.003799,0.00381,0.003617,0.003629,915.72
IOSTUSDTSWAP,1440,20250505,030000,0.003629,0.003851,0.003597,0.003758,1245.57
IOSTUSDTSWAP,1440,20250506,030000,0.003757,0.003759,0.003458,0.003593,1391.68
IOSTUSDTSWAP,1440,20250507,030000,0.003592,0.003623,0.00349,0.003558,948.53
IOSTUSDTSWAP,1440,20250508,030000,0.003559,0.00405,0.003553,0.004009,1203.1
IOSTUSDTSWAP,1440,20250509,030000,0.004008,0.004238,0.003965,0.004186,2234.46
IOSTUSDTSWAP,1440,20250510,030000,0.004186,0.004544,0.004185,0.004537,3653.66
IOSTUSDTSWAP,1440,20250511,030000,0.004536,0.004912,0.004214,0.004333,4373.44
IOSTUSDTSWAP,1440,20250512,030000,0.004334,0.0045,0.004096,0.004311,1528.04
IOSTUSDTSWAP,1440,20250513,030000,0.004312,0.004438,0.004066,0.004393,1143.13
IOSTUSDTSWAP,1440,20250514,030000,0.004392,0.004428,0.004172,0.004204,1254.25
IOSTUSDTSWAP,1440,20250515,030000,0.004199,0.004261,0.00387,0.003989,2231.8
IOSTUSDTSWAP,1440,20250516,030000,0.003991,0.004067,0.003858,0.003891,1030.56
IOSTUSDTSWAP,1440,20250517,030000,0.00389,0.003909,0.003744,0.003789,892.91
IOSTUSDTSWAP,1440,20250518,030000,0.003789,0.003996,0.003706,0.003942,1225.48
IOSTUSDTSWAP,1440,20250519,030000,0.003942,0.003963,0.003669,0.003841,1388.01
IOSTUSDTSWAP,1440,20250520,030000,0.003842,0.003969,0.003795,0.003959,909.13
IOSTUSDTSWAP,1440,20250521,030000,0.003958,0.004058,0.003867,0.004018,1082.0
IOSTUSDTSWAP,1440,20250522,030000,0.004018,0.004186,0.004012,0.004172,954.54
IOSTUSDTSWAP,1440,20250523,030000,0.004172,0.004241,0.00386,0.003884,1347.03
IOSTUSDTSWAP,1440,20250524,030000,0.003882,0.00406,0.003864,0.003931,692.92
IOSTUSDTSWAP,1440,20250525,030000,0.003932,0.003941,0.003751,0.003927,855.8
IOSTUSDTSWAP,1440,20250526,030000,0.003927,0.003979,0.003829,0.003871,744.63
IOSTUSDTSWAP,1440,20250527,030000,0.00387,0.003991,0.003789,0.003919,714.75
IOSTUSDTSWAP,1440,20250528,030000,0.00392,0.003958,0.003771,0.003868,1055.69
IOSTUSDTSWAP,1440,20250529,030000,0.00387,0.003937,0.003598,0.003708,2182.29
IOSTUSDTSWAP,1440,20250530,030000,0.003708,0.003733,0.003446,0.003475,1608.55
IOSTUSDTSWAP,1440,20250531,030000,0.003474,0.003484,0.003334,0.003373,1354.62
IOSTUSDTSWAP,1440,20250601,030000,0.003372,0.003464,0.00331,0.003457,1199.18
IOSTUSDTSWAP,1440,20250602,030000,0.003458,0.003536,0.0034,0.003528,638.44
IOSTUSDTSWAP,1440,20250603,030000,0.003527,0.003674,0.003525,0.00361,553.17
IOSTUSDTSWAP,1440,20250604,030000,0.003609,0.003669,0.003524,0.003577,894.05
