<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IOSTUSDTSWAP,60,20250531,190000,0.0034,0.003432,0.003394,0.003419,26.1
IOSTUSDTSWAP,60,20250531,200000,0.003421,0.003427,0.003398,0.0034,27.5
IOSTUSDTSWAP,60,20250531,210000,0.003399,0.003422,0.003396,0.003409,32.44
IOSTUSDTSWAP,60,20250531,220000,0.003411,0.003412,0.003386,0.003395,48.84
IOSTUSDTSWAP,60,20250531,230000,0.003394,0.003406,0.003388,0.003395,35.81
IOSTUSDTSWAP,60,20250601,000000,0.003396,0.003406,0.003387,0.003389,29.66
IOSTUSDTSWAP,60,20250601,010000,0.00339,0.003392,0.003375,0.003384,13.8
IOSTUSDTSWAP,60,20250601,020000,0.00338,0.003392,0.00337,0.003373,20.28
IOSTUSDTSWAP,60,20250601,030000,0.003372,0.003386,0.003361,0.003382,114.54
IOSTUSDTSWAP,60,20250601,040000,0.003383,0.003399,0.003357,0.003364,27.12
IOSTUSDTSWAP,60,20250601,050000,0.003362,0.00338,0.003345,0.003374,45.37
IOSTUSDTSWAP,60,20250601,060000,0.003375,0.003388,0.003355,0.003378,27.85
IOSTUSDTSWAP,60,20250601,070000,0.003377,0.003412,0.003371,0.003402,29.84
IOSTUSDTSWAP,60,20250601,080000,0.003402,0.003412,0.003399,0.003405,24.57
IOSTUSDTSWAP,60,20250601,090000,0.003404,0.003405,0.003383,0.003384,25.45
IOSTUSDTSWAP,60,20250601,100000,0.003381,0.003382,0.003363,0.00337,27.56
IOSTUSDTSWAP,60,20250601,110000,0.00337,0.003411,0.003343,0.003352,418.42
IOSTUSDTSWAP,60,20250601,120000,0.003352,0.003363,0.00331,0.003334,59.61
IOSTUSDTSWAP,60,20250601,130000,0.003335,0.003348,0.003326,0.003347,53.68
IOSTUSDTSWAP,60,20250601,140000,0.003346,0.003365,0.003342,0.00335,21.24
IOSTUSDTSWAP,60,20250601,150000,0.003349,0.003356,0.003332,0.003344,28.03
IOSTUSDTSWAP,60,20250601,160000,0.003345,0.003371,0.003342,0.003365,22.23
IOSTUSDTSWAP,60,20250601,170000,0.003365,0.003402,0.003365,0.00339,39.91
IOSTUSDTSWAP,60,20250601,180000,0.003392,0.003398,0.003381,0.003387,17.32
IOSTUSDTSWAP,60,20250601,190000,0.003385,0.003415,0.003381,0.003403,54.15
IOSTUSDTSWAP,60,20250601,200000,0.003403,0.003416,0.003402,0.00341,12.74
IOSTUSDTSWAP,60,20250601,210000,0.003408,0.003408,0.003376,0.0034,56.76
IOSTUSDTSWAP,60,20250601,220000,0.0034,0.003414,0.003394,0.003414,27.29
IOSTUSDTSWAP,60,20250601,230000,0.003414,0.003438,0.003406,0.00343,19.99
IOSTUSDTSWAP,60,20250602,000000,0.003432,0.003458,0.003429,0.003451,16.82
IOSTUSDTSWAP,60,20250602,010000,0.003452,0.003458,0.003444,0.003453,11.4
IOSTUSDTSWAP,60,20250602,020000,0.003453,0.003464,0.003452,0.003457,18.53
IOSTUSDTSWAP,60,20250602,030000,0.003458,0.003472,0.003454,0.003463,18.89
IOSTUSDTSWAP,60,20250602,040000,0.003463,0.003487,0.00346,0.003464,37.29
IOSTUSDTSWAP,60,20250602,050000,0.003464,0.003482,0.003445,0.003447,51.31
IOSTUSDTSWAP,60,20250602,060000,0.00345,0.003451,0.003426,0.00343,26.58
IOSTUSDTSWAP,60,20250602,070000,0.003432,0.003432,0.00341,0.003415,27.61
IOSTUSDTSWAP,60,20250602,080000,0.003414,0.003429,0.003402,0.003422,21.46
IOSTUSDTSWAP,60,20250602,090000,0.003423,0.00345,0.00341,0.003441,32.84
IOSTUSDTSWAP,60,20250602,100000,0.003441,0.003473,0.003441,0.003447,16.14
IOSTUSDTSWAP,60,20250602,110000,0.003448,0.003467,0.003433,0.003438,22.62
IOSTUSDTSWAP,60,20250602,120000,0.003439,0.003439,0.003405,0.003413,25.22
IOSTUSDTSWAP,60,20250602,130000,0.003411,0.003424,0.003403,0.003414,38.89
IOSTUSDTSWAP,60,20250602,140000,0.003415,0.003424,0.0034,0.003417,16.89
IOSTUSDTSWAP,60,20250602,150000,0.003417,0.003474,0.003411,0.003467,34.97
IOSTUSDTSWAP,60,20250602,160000,0.003467,0.003474,0.00344,0.00345,20.0
IOSTUSDTSWAP,60,20250602,170000,0.003449,0.003486,0.00344,0.003472,26.49
IOSTUSDTSWAP,60,20250602,180000,0.003474,0.003487,0.003451,0.003469,15.2
IOSTUSDTSWAP,60,20250602,190000,0.003471,0.003474,0.003437,0.003453,30.45
IOSTUSDTSWAP,60,20250602,200000,0.003453,0.003458,0.003437,0.003451,19.61
IOSTUSDTSWAP,60,20250602,210000,0.003451,0.003469,0.003444,0.003452,16.53
IOSTUSDTSWAP,60,20250602,220000,0.003453,0.003461,0.003415,0.003436,24.11
IOSTUSDTSWAP,60,20250602,230000,0.003437,0.003483,0.003437,0.003483,31.16
IOSTUSDTSWAP,60,20250603,000000,0.003484,0.003502,0.003482,0.003502,31.06
IOSTUSDTSWAP,60,20250603,010000,0.003504,0.003534,0.003504,0.003526,29.25
