<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
IOSTUSDTSWAP,3,20250604,172700,0.003558,0.003559,0.003556,0.003557,11.02
IOSTUSDTSWAP,3,20250604,173000,0.003558,0.00356,0.003555,0.003558,4.42
IOSTUSDTSWAP,3,20250604,173300,0.00356,0.003569,0.00356,0.003568,7.31
IOSTUSDTSWAP,3,20250604,173600,0.003568,0.003568,0.003563,0.003563,2.73
IOSTUSDTSWAP,3,20250604,173900,0.003564,0.003566,0.003563,0.003566,1.66
IOSTUSDTSWAP,3,20250604,174200,0.003566,0.003569,0.003564,0.003569,2.42
IOSTUSDTSWAP,3,20250604,174500,0.00357,0.003578,0.00357,0.003578,4.76
IOSTUSDTSWAP,3,20250604,174800,0.003578,0.003582,0.003577,0.003578,1.19
IOSTUSDTSWAP,3,20250604,175100,0.003576,0.003577,0.003574,0.003577,2.55
IOSTUSDTSWAP,3,20250604,175400,0.003578,0.003583,0.003578,0.003581,0.91
IOSTUSDTSWAP,3,20250604,175700,0.003583,0.003587,0.003581,0.003586,2.33
IOSTUSDTSWAP,3,20250604,180000,0.003588,0.003588,0.003583,0.003583,5.51
IOSTUSDTSWAP,3,20250604,180300,0.003584,0.003587,0.003584,0.003585,1.95
IOSTUSDTSWAP,3,20250604,180600,0.003586,0.003594,0.003586,0.00359,11.09
IOSTUSDTSWAP,3,20250604,180900,0.003586,0.003589,0.003586,0.003588,1.3
IOSTUSDTSWAP,3,20250604,181200,0.003588,0.003592,0.003588,0.003591,2.06
IOSTUSDTSWAP,3,20250604,181500,0.003591,0.003601,0.003589,0.003601,3.89
IOSTUSDTSWAP,3,20250604,181800,0.003599,0.003607,0.003598,0.003601,4.83
IOSTUSDTSWAP,3,20250604,182100,0.0036,0.003606,0.003599,0.003606,2.67
IOSTUSDTSWAP,3,20250604,182400,0.003605,0.003605,0.003602,0.003602,0.34
IOSTUSDTSWAP,3,20250604,182700,0.003603,0.003604,0.0036,0.003601,2.32
IOSTUSDTSWAP,3,20250604,183000,0.003601,0.003602,0.003596,0.003601,1.85
IOSTUSDTSWAP,3,20250604,183300,0.003604,0.003605,0.0036,0.0036,4.29
IOSTUSDTSWAP,3,20250604,183600,0.0036,0.00361,0.0036,0.003608,3.09
IOSTUSDTSWAP,3,20250604,183900,0.003609,0.00361,0.003609,0.003609,1.45
IOSTUSDTSWAP,3,20250604,184200,0.003609,0.003613,0.003608,0.003608,0.82
IOSTUSDTSWAP,3,20250604,184500,0.003609,0.003612,0.003608,0.00361,0.73
IOSTUSDTSWAP,3,20250604,184800,0.003608,0.003608,0.003604,0.003608,0.48
IOSTUSDTSWAP,3,20250604,185100,0.003609,0.003613,0.003608,0.003613,0.56
IOSTUSDTSWAP,3,20250604,185400,0.003612,0.003617,0.00361,0.003617,1.38
IOSTUSDTSWAP,3,20250604,185700,0.003615,0.003615,0.003611,0.003611,0.71
IOSTUSDTSWAP,3,20250604,190000,0.003613,0.003616,0.003613,0.003614,4.61
IOSTUSDTSWAP,3,20250604,190300,0.003615,0.003615,0.003602,0.003602,3.2
IOSTUSDTSWAP,3,20250604,190600,0.003604,0.003605,0.003598,0.003598,3.42
IOSTUSDTSWAP,3,20250604,190900,0.003598,0.003604,0.003598,0.003603,1.76
IOSTUSDTSWAP,3,20250604,191200,0.003604,0.003605,0.003603,0.003604,0.62
IOSTUSDTSWAP,3,20250604,191500,0.003605,0.003609,0.003602,0.003602,9.8
IOSTUSDTSWAP,3,20250604,191800,0.003601,0.003607,0.003599,0.003607,1.15
IOSTUSDTSWAP,3,20250604,192100,0.003607,0.003608,0.003605,0.003605,1.15
IOSTUSDTSWAP,3,20250604,192400,0.003603,0.003604,0.003602,0.003602,0.59
IOSTUSDTSWAP,3,20250604,192700,0.003598,0.0036,0.003598,0.0036,0.16
IOSTUSDTSWAP,3,20250604,193000,0.0036,0.003601,0.003599,0.003601,0.59
IOSTUSDTSWAP,3,20250604,193300,0.003601,0.003605,0.003601,0.003605,2.39
IOSTUSDTSWAP,3,20250604,193600,0.003604,0.003605,0.003603,0.003603,0.33
IOSTUSDTSWAP,3,20250604,193900,0.003604,0.003607,0.003603,0.003603,1.24
IOSTUSDTSWAP,3,20250604,194200,0.003602,0.003602,0.003601,0.003601,0.31
IOSTUSDTSWAP,3,20250604,194500,0.003601,0.003603,0.0036,0.003603,0.93
IOSTUSDTSWAP,3,20250604,194800,0.003601,0.003604,0.0036,0.003604,0.98
IOSTUSDTSWAP,3,20250604,195100,0.003603,0.003603,0.003603,0.003603,0.01
IOSTUSDTSWAP,3,20250604,195400,0.003603,0.003608,0.003603,0.003605,1.12
IOSTUSDTSWAP,3,20250604,195700,0.003604,0.003604,0.003603,0.003603,0.06
IOSTUSDTSWAP,3,20250604,200000,0.003604,0.003605,0.0036,0.0036,1.53
IOSTUSDTSWAP,3,20250604,200300,0.003601,0.003601,0.003599,0.003599,0.49
IOSTUSDTSWAP,3,20250604,200600,0.003598,0.003598,0.003595,0.003595,0.79
IOSTUSDTSWAP,3,20250604,200900,0.003595,0.003595,0.003592,0.003592,0.37
IOSTUSDTSWAP,3,20250604,201200,0.003593,0.003594,0.003593,0.003594,0.12
IOSTUSDTSWAP,3,20250604,201500,0.003595,0.003595,0.00359,0.00359,1.11
IOSTUSDTSWAP,3,20250604,201800,0.00359,0.003592,0.00359,0.003592,0.15
IOSTUSDTSWAP,3,20250604,202100,0.003593,0.003593,0.003592,0.003592,0.61
IOSTUSDTSWAP,3,20250604,202400,0.003592,0.003592,0.003585,0.003586,1.85
IOSTUSDTSWAP,3,20250604,202700,0.003587,0.003587,0.003579,0.003581,1.66
IOSTUSDTSWAP,3,20250604,203000,0.003581,0.003581,0.003572,0.003572,0.98
IOSTUSDTSWAP,3,20250604,203300,0.003571,0.003577,0.003567,0.003575,1.32
IOSTUSDTSWAP,3,20250604,203600,0.003575,0.003575,0.00357,0.003574,7.35
IOSTUSDTSWAP,3,20250604,203900,0.003575,0.003579,0.003573,0.003579,1.27
IOSTUSDTSWAP,3,20250604,204200,0.003579,0.00358,0.003578,0.003578,2.14
IOSTUSDTSWAP,3,20250604,204500,0.003577,0.003578,0.003574,0.003574,1.85
IOSTUSDTSWAP,3,20250604,204800,0.003573,0.003581,0.003573,0.003578,2.19
IOSTUSDTSWAP,3,20250604,205100,0.003578,0.003582,0.003577,0.003582,0.48
IOSTUSDTSWAP,3,20250604,205400,0.00358,0.003586,0.00358,0.003584,0.71
IOSTUSDTSWAP,3,20250604,205700,0.003584,0.003585,0.003583,0.003585,1.05
IOSTUSDTSWAP,3,20250604,210000,0.003586,0.003587,0.003584,0.003586,2.69
IOSTUSDTSWAP,3,20250604,210300,0.003587,0.003593,0.003587,0.003593,1.39
IOSTUSDTSWAP,3,20250604,210600,0.003592,0.003593,0.003586,0.003586,7.09
IOSTUSDTSWAP,3,20250604,210900,0.003585,0.003588,0.003583,0.003586,0.57
IOSTUSDTSWAP,3,20250604,211200,0.003585,0.003587,0.003585,0.003587,0.15
IOSTUSDTSWAP,3,20250604,211500,0.003588,0.003591,0.003588,0.003589,0.63
IOSTUSDTSWAP,3,20250604,211800,0.00359,0.00359,0.003588,0.003588,1.37
IOSTUSDTSWAP,3,20250604,212100,0.003588,0.003588,0.003587,0.003587,0.18
IOSTUSDTSWAP,3,20250604,212400,0.003588,0.00359,0.003588,0.003589,0.44
IOSTUSDTSWAP,3,20250604,212700,0.00359,0.00359,0.003589,0.003589,0.73
IOSTUSDTSWAP,3,20250604,213000,0.00359,0.003592,0.003589,0.003591,1.65
IOSTUSDTSWAP,3,20250604,213300,0.00359,0.00359,0.003588,0.003588,0.73
IOSTUSDTSWAP,3,20250604,213600,0.003588,0.003588,0.003588,0.003588,0.29
IOSTUSDTSWAP,3,20250604,213900,0.003588,0.003588,0.003585,0.003585,1.36
IOSTUSDTSWAP,3,20250604,214200,0.003586,0.00359,0.003586,0.00359,2.52
IOSTUSDTSWAP,3,20250604,214500,0.00359,0.00359,0.003587,0.003587,1.3
IOSTUSDTSWAP,3,20250604,214800,0.003588,0.003591,0.003587,0.003587,0.97
IOSTUSDTSWAP,3,20250604,215100,0.003586,0.003586,0.003583,0.003584,0.61
IOSTUSDTSWAP,3,20250604,215400,0.003581,0.003581,0.003578,0.003579,0.35
IOSTUSDTSWAP,3,20250604,215700,0.003579,0.003582,0.003579,0.003581,0.91
IOSTUSDTSWAP,3,20250604,220000,0.003579,0.003579,0.003577,0.003578,9.96
IOSTUSDTSWAP,3,20250604,220300,0.003578,0.003584,0.003578,0.003582,1.47
IOSTUSDTSWAP,3,20250604,220600,0.003584,0.003584,0.003577,0.00358,1.53
IOSTUSDTSWAP,3,20250604,220900,0.003576,0.003577,0.003576,0.003577,0.03
IOSTUSDTSWAP,3,20250604,221200,0.003578,0.003579,0.003575,0.003575,1.32
IOSTUSDTSWAP,3,20250604,221500,0.003575,0.003575,0.003572,0.003574,0.58
IOSTUSDTSWAP,3,20250604,221800,0.003576,0.003579,0.003576,0.003579,0.3
IOSTUSDTSWAP,3,20250604,222100,0.003578,0.00358,0.003578,0.00358,0.06
IOSTUSDTSWAP,3,20250604,222400,0.00358,0.00358,0.003577,0.003577,0.66
