<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
JELLYJELLYUSDTSWAP,1440,20250326,030000,0.02483,0.02748,0.01889,0.02031,879133.64
JELLYJELLYUSDTSWAP,1440,20250327,030000,0.02033,0.02337,0.01735,0.01799,1163751.53
JELLYJELLYUSDTSWAP,1440,20250328,030000,0.01801,0.01819,0.01461,0.01493,542714.83
JELLYJELLYUSDTSWAP,1440,20250329,030000,0.01494,0.01672,0.01417,0.01494,470683.89
JELLYJELLYUSDTSWAP,1440,20250330,030000,0.01494,0.0159,0.01352,0.01455,353730.69
JELLYJELLYUSDTSWAP,1440,20250331,030000,0.01455,0.01649,0.0143,0.01559,371240.43
JELLYJELLYUSDTSWAP,1440,20250401,030000,0.01558,0.01617,0.01256,0.01261,212408.65
JELLYJELLYUSDTSWAP,1440,20250402,030000,0.01261,0.01265,0.01113,0.01193,209080.03
JELLYJELLYUSDTSWAP,1440,20250403,030000,0.01194,0.01272,0.01146,0.01194,109695.75
JELLYJELLYUSDTSWAP,1440,20250404,030000,0.01194,0.01218,0.01093,0.01182,88104.15
JELLYJELLYUSDTSWAP,1440,20250405,030000,0.01183,0.01193,0.00953,0.01079,138220.81
JELLYJELLYUSDTSWAP,1440,20250406,030000,0.01079,0.01102,0.01001,0.01061,104008.47
JELLYJELLYUSDTSWAP,1440,20250407,030000,0.0106,0.0126,0.0103,0.01158,144957.26
JELLYJELLYUSDTSWAP,1440,20250408,030000,0.01157,0.01194,0.01021,0.0103,127694.86
JELLYJELLYUSDTSWAP,1440,20250409,030000,0.0103,0.01178,0.00999,0.01144,86723.54
JELLYJELLYUSDTSWAP,1440,20250410,030000,0.01143,0.01152,0.01016,0.0109,90339.57
JELLYJELLYUSDTSWAP,1440,20250411,030000,0.0109,0.01299,0.01087,0.01237,100700.59
JELLYJELLYUSDTSWAP,1440,20250412,030000,0.01237,0.0142,0.01057,0.01252,168740.79
JELLYJELLYUSDTSWAP,1440,20250413,030000,0.01252,0.01294,0.01159,0.01215,72651.41
JELLYJELLYUSDTSWAP,1440,20250414,030000,0.01216,0.01271,0.01184,0.01207,50818.26
JELLYJELLYUSDTSWAP,1440,20250415,030000,0.01206,0.01345,0.01186,0.01277,76627.88
JELLYJELLYUSDTSWAP,1440,20250416,030000,0.01277,0.01446,0.01224,0.01315,123526.51
JELLYJELLYUSDTSWAP,1440,20250417,030000,0.01316,0.01376,0.01235,0.01325,45267.37
JELLYJELLYUSDTSWAP,1440,20250418,030000,0.01325,0.01408,0.00853,0.01052,197916.36
JELLYJELLYUSDTSWAP,1440,20250419,030000,0.01051,0.01095,0.00973,0.01079,85517.44
JELLYJELLYUSDTSWAP,1440,20250420,030000,0.01078,0.0125,0.01056,0.01158,78267.77
JELLYJELLYUSDTSWAP,1440,20250421,030000,0.01158,0.01246,0.01076,0.01113,64672.7
JELLYJELLYUSDTSWAP,1440,20250422,030000,0.01114,0.01252,0.01102,0.01246,32043.94
JELLYJELLYUSDTSWAP,1440,20250423,030000,0.01246,0.02665,0.01222,0.02594,458821.55
JELLYJELLYUSDTSWAP,1440,20250424,030000,0.02595,0.02937,0.02079,0.02416,867312.45
JELLYJELLYUSDTSWAP,1440,20250425,030000,0.02416,0.03049,0.02341,0.02708,419130.22
JELLYJELLYUSDTSWAP,1440,20250426,030000,0.02709,0.03796,0.02652,0.03707,572354.76
JELLYJELLYUSDTSWAP,1440,20250427,030000,0.03709,0.03915,0.03051,0.03273,626921.51
JELLYJELLYUSDTSWAP,1440,20250428,030000,0.03272,0.03662,0.03146,0.0344,218622.77
JELLYJELLYUSDTSWAP,1440,20250429,030000,0.03438,0.03698,0.03218,0.03444,151626.32
JELLYJELLYUSDTSWAP,1440,20250430,030000,0.03444,0.03875,0.03276,0.0359,168877.78
JELLYJELLYUSDTSWAP,1440,20250501,030000,0.03591,0.04262,0.03371,0.03649,225117.2
JELLYJELLYUSDTSWAP,1440,20250502,030000,0.03646,0.03833,0.03273,0.03372,124887.39
JELLYJELLYUSDTSWAP,1440,20250503,030000,0.03374,0.03772,0.033,0.03586,133294.8
JELLYJELLYUSDTSWAP,1440,20250504,030000,0.03587,0.03714,0.03402,0.03556,96399.01
JELLYJELLYUSDTSWAP,1440,20250505,030000,0.03557,0.03841,0.03433,0.03564,145021.7
JELLYJELLYUSDTSWAP,1440,20250506,030000,0.03562,0.03679,0.03087,0.03407,115106.78
JELLYJELLYUSDTSWAP,1440,20250507,030000,0.03408,0.03566,0.03266,0.03398,73516.49
JELLYJELLYUSDTSWAP,1440,20250508,030000,0.034,0.04184,0.03348,0.03883,121001.95
JELLYJELLYUSDTSWAP,1440,20250509,030000,0.03882,0.04666,0.0256,0.03015,529665.71
JELLYJELLYUSDTSWAP,1440,20250510,030000,0.03012,0.03175,0.02666,0.02987,108819.83
JELLYJELLYUSDTSWAP,1440,20250511,030000,0.02988,0.03269,0.02835,0.03109,99738.24
JELLYJELLYUSDTSWAP,1440,20250512,030000,0.03107,0.03695,0.02735,0.02846,154981.7
JELLYJELLYUSDTSWAP,1440,20250513,030000,0.02851,0.06,0.02729,0.0577,626877.82
JELLYJELLYUSDTSWAP,1440,20250514,030000,0.0577,0.07202,0.03099,0.03229,2418140.07
JELLYJELLYUSDTSWAP,1440,20250515,030000,0.03229,0.038,0.02789,0.03584,1004336.08
JELLYJELLYUSDTSWAP,1440,20250516,030000,0.03586,0.03991,0.02919,0.03235,892163.34
JELLYJELLYUSDTSWAP,1440,20250517,030000,0.03235,0.03396,0.03057,0.03309,229995.95
JELLYJELLYUSDTSWAP,1440,20250518,030000,0.03309,0.0381,0.03145,0.0336,257115.32
JELLYJELLYUSDTSWAP,1440,20250519,030000,0.0336,0.03367,0.03001,0.03205,110397.77
JELLYJELLYUSDTSWAP,1440,20250520,030000,0.03204,0.03231,0.02822,0.02893,105184.28
JELLYJELLYUSDTSWAP,1440,20250521,030000,0.02893,0.03522,0.02671,0.03479,322329.93
JELLYJELLYUSDTSWAP,1440,20250522,030000,0.03479,0.03742,0.03195,0.03283,228962.1
JELLYJELLYUSDTSWAP,1440,20250523,030000,0.03285,0.03375,0.02932,0.02964,104845.44
JELLYJELLYUSDTSWAP,1440,20250524,030000,0.02965,0.0329,0.02907,0.03141,68879.41
JELLYJELLYUSDTSWAP,1440,20250525,030000,0.03142,0.03253,0.02917,0.03106,67376.33
JELLYJELLYUSDTSWAP,1440,20250526,030000,0.03107,0.03172,0.0301,0.03145,31704.73
JELLYJELLYUSDTSWAP,1440,20250527,030000,0.03143,0.03213,0.02997,0.03113,33708.61
JELLYJELLYUSDTSWAP,1440,20250528,030000,0.03111,0.03369,0.02952,0.03205,44596.93
JELLYJELLYUSDTSWAP,1440,20250529,030000,0.03204,0.03238,0.02986,0.03001,33668.5
JELLYJELLYUSDTSWAP,1440,20250530,030000,0.03002,0.0304,0.02398,0.02441,78572.07
JELLYJELLYUSDTSWAP,1440,20250531,030000,0.0244,0.02738,0.02405,0.02683,24174.76
JELLYJELLYUSDTSWAP,1440,20250601,030000,0.02682,0.02683,0.02383,0.02621,36745.76
JELLYJELLYUSDTSWAP,1440,20250602,030000,0.02622,0.02659,0.02427,0.02578,18182.29
JELLYJELLYUSDTSWAP,1440,20250603,030000,0.02579,0.02889,0.02561,0.0277,35255.78
JELLYJELLYUSDTSWAP,1440,20250604,030000,0.02772,0.02811,0.02506,0.02605,24287.13
